role_id,person_id,body_id,first_seen,last_seen,n_votes
1,1,1,2020-02-18,2025-12-16,451
2,1,3,2021-12-07,2025-09-16,18
3,2,2,2026-02-26,2026-07-09,15
4,3,2,2020-01-09,2021-04-22,99
5,4,2,2021-05-13,2026-07-09,264
6,5,2,2020-01-09,2021-04-22,120
7,6,2,2022-03-10,2026-02-12,219
8,7,1,2021-12-07,2026-06-02,476
9,7,3,2021-12-07,2025-09-16,18
10,8,1,2020-02-18,2026-06-02,493
11,8,3,2021-12-07,2025-09-16,17
12,9,2,2025-04-24,2026-07-09,39
13,10,1,2020-02-18,2020-05-05,18
14,11,2,2020-01-09,2026-06-11,334
15,12,2,2021-04-22,2025-04-24,242
16,13,1,2026-01-06,2026-06-02,45
17,14,2,2021-05-13,2026-07-09,275
18,15,1,2020-02-18,2025-11-04,432
19,15,3,2021-12-07,2025-09-16,18
20,16,1,2026-01-06,2026-06-02,45
21,17,1,2024-01-02,2026-06-02,284
22,17,3,2024-06-18,2025-09-16,5
23,18,2,2020-01-09,2022-02-10,174
24,19,2,2020-01-09,2024-05-23,331
25,20,2,2020-01-09,2022-02-24,156
26,21,2,2022-03-10,2026-07-09,191
27,22,2,2024-08-22,2026-07-09,71
28,23,1,2020-02-18,2023-12-05,213
29,23,3,2021-12-07,2023-11-21,13
30,24,2,2020-01-09,2021-03-11,111
