city,native_label,motion_type_std,land_use_type
lehi,Appointment,Appointment,
lehi,Budget Amendment,Budget,
lehi,Ceremonial,Ceremonial,
lehi,Contract/Purchase,Contract-Purchase,
lehi,Grant-Funding,Grant-Funding,
lehi,Interlocal,Interlocal,
lehi,Land-Use/Zoning,Land-Use,
lehi,Ordinance,Ordinance,
lehi,Other,,
lehi,Procedural/Administrative,Procedural-Administrative,
lehi,Public Hearing Action,Public-Hearing,
lehi,Resolution,Resolution,
logan,Appointment,Appointment,
logan,Budget Amendment,Budget,
logan,Ceremonial,Ceremonial,
logan,Interlocal,Interlocal,
logan,Land-Use/Zoning,Land-Use,
logan,Ordinance,Ordinance,
logan,Other,,
logan,Procedural/Administrative,Procedural-Administrative,
logan,Resolution,Resolution,
nephi,Appointment,Appointment,
nephi,Budget Amendment,Budget,
nephi,Ceremonial,Ceremonial,
nephi,Contract/Purchase,Contract-Purchase,
nephi,Grant-Funding,Grant-Funding,
nephi,Interlocal,Interlocal,
nephi,Land-Use/Zoning,Land-Use,
nephi,Ordinance,Ordinance,
nephi,Other,,
nephi,Procedural/Administrative,Procedural-Administrative,
nephi,Public Hearing Action,Public-Hearing,
nephi,Resolution,Resolution,
ogden,Annexation,Land-Use,Annexation
ogden,Appointment,Appointment,
ogden,Budget Amendment,Budget,
ogden,Ceremonial,Ceremonial,
ogden,Conditional Use Permit,Land-Use,Conditional-Use
ogden,Contract/Purchase,Contract-Purchase,
ogden,Grant-Funding,Grant-Funding,
ogden,Land-Use/Zoning,Land-Use,
ogden,Ordinance,Ordinance,
ogden,Other,,
ogden,Procedural/Administrative,Procedural-Administrative,
ogden,Public Hearing Action,Public-Hearing,
ogden,Resolution,Resolution,
ogden,Rezone,Land-Use,Rezone
ogden,Site Plan,Land-Use,Site-Plan-Design-Review
ogden,Street/Alley Vacation,Land-Use,Vacation
ogden,Subdivision/Plat,Land-Use,Subdivision-Plat
ogden,Zoning Text/General Plan Amendment,Land-Use,
orem,Annexation,Land-Use,Annexation
orem,Appointment,Appointment,
orem,Budget Amendment,Budget,
orem,Ceremonial,Ceremonial,
orem,Code/Ordinance Amendment,Land-Use,Text-Amendment
orem,Conditional Use,Land-Use,Conditional-Use
orem,Contract/Purchase,Contract-Purchase,
orem,General Plan,Land-Use,General-Plan-Amendment
orem,Grant-Funding,Grant-Funding,
orem,Interlocal,Interlocal,
orem,Land-Use/Zoning,Land-Use,
orem,Ordinance,Ordinance,
orem,Other,,
orem,Plat/Subdivision,Land-Use,Subdivision-Plat
orem,Procedural/Administrative,Procedural-Administrative,
orem,Resolution,Resolution,
orem,Rezone,Land-Use,Rezone
orem,Site Plan,Land-Use,Site-Plan-Design-Review
park_city,Appointment,Appointment,
park_city,Budget Amendment,Budget,
park_city,Ceremonial,Ceremonial,
park_city,Contract/Purchase,Contract-Purchase,
park_city,Grant-Funding,Grant-Funding,
park_city,Interlocal,Interlocal,
park_city,Land-Use/Zoning,Land-Use,
park_city,Ordinance,Ordinance,
park_city,Other,,
park_city,Procedural/Administrative,Procedural-Administrative,
park_city,Public Hearing Action,Public-Hearing,
park_city,Resolution,Resolution,
provo,Annexation,Land-Use,Annexation
provo,Appointment,Appointment,
provo,Budget Amendment,Budget,
provo,Conditional Use Permit,Land-Use,Conditional-Use
provo,Contract/Purchase,Contract-Purchase,
provo,General Plan Amendment,Land-Use,General-Plan-Amendment
provo,Grant-Funding,Grant-Funding,
provo,Interlocal,Interlocal,
provo,Land-Use/Other,Land-Use,Other-Land-Use
provo,Land-Use/Zoning,Land-Use,
provo,Ordinance,Ordinance,
provo,Ordinance Text Amendment,Land-Use,Text-Amendment
provo,Other,,
provo,Procedural/Administrative,Procedural-Administrative,
provo,Project Plan,Land-Use,Site-Plan-Design-Review
