precinct,district,source_year
SJD001,1,geo2020layer
SJD002,3,geo2020layer
SJD003,3,geo2020layer
SJD004,3,geo2020layer
SJD005,3,geo2020layer
SJD006,2,geo2020layer
SJD007,2,geo2020layer
SJD008,2,geo2020layer
SJD009,2,geo2020layer
SJD010,2,geo2020layer
SJD011,2,geo2020layer
SJD012,1,geo2020layer
SJD013,1,geo2020layer
SJD014,1,geo2020layer
SJD015,3,geo2020layer
SJD016,3,geo2020layer
SJD017,3,geo2020layer
SJD018,3,geo2020layer
SJD019,3,geo2020layer
SJD020,2,geo2020layer
SJD021,2,geo2020layer
SJD022,2,geo2020layer
SJD023,2,geo2020layer
SJD024,1,geo2020layer
SJD025,1,geo2020layer
SJD026,4,geo2020layer
SJD027,3,geo2020layer
SJD028,3,geo2020layer
SJD029,4,geo2020layer
SJD030,5,geo2020layer
SJD031,5,geo2020layer
SJD032,4,geo2020layer
SJD033,5,geo2020layer
SJD034,5,geo2020layer
SJD035,5,geo2020layer
SJD036,5,geo2020layer
SJD037,5,geo2020layer
SJD038,2,geo2020layer
SJD039,2,geo2020layer
SJD040,2,geo2020layer
SJD041,2,geo2020layer
SJD042,2,geo2020layer
SJD043,1,geo2020layer
SJD044,1,geo2020layer
SJD045,5,geo2020layer
SJD046,5,geo2020layer
SJD047,1,geo2020layer
SJD048,1,geo2020layer
SJD049,5,geo2020layer
SJD050,1,geo2020layer
SJD051,1,geo2020layer
SJD052,1,geo2020layer
SJD053,4,geo2020layer
SJD054,4,geo2020layer
SJD055,4,geo2020layer
SJD056,4,geo2020layer
SJD057,4,geo2020layer
SJD058,5,geo2020layer
SJD059,4,geo2020layer
SJD060,4,geo2020layer
SJD061,4,geo2020layer
SJD062,4,geo2020layer
SJD063,1,geo2020layer
SJD064,4,geo2020layer
SJD065,4,geo2020layer
SJD901,3,geo2020layer
SJD902,4,geo2020layer
SJD903,4,geo2020layer
