week_ending,period_start,n_comments,n_meetings,n_motions,n_contested,meeting_types
2020-01-07,2020-01-01,0,2,13,0,city council regular meeting; city council study meeting
2020-01-21,2020-01-15,0,2,10,0,city council study meeting; combined city council redevelopment agency meeting
2020-02-04,2020-01-29,0,3,9,0,city council budget meeting; city council regular meeting; city council study meeting
2020-02-18,2020-02-12,0,2,8,0,city council regular meeting; city council study meeting
2020-07-28,2020-07-22,0,1,3,0,city council emergency meeting
2020-08-04,2020-07-29,0,2,4,0,city council regular meeting; city council study meeting
2020-08-18,2020-08-12,0,2,4,0,city council regular meeting; city council study meeting
2020-09-01,2020-08-26,0,2,7,0,city council study meeting; combined city council redevelopment agency meeting
2020-09-15,2020-09-09,0,2,11,0,city council regular meeting; city council study meeting
2020-10-06,2020-09-30,0,2,4,0,city council regular meeting; city council study meeting
2020-10-20,2020-10-14,0,2,4,0,city council regular meeting; city council study meeting
2020-10-27,2020-10-21,0,1,1,0,city council strategic planning meeting
2020-11-17,2020-11-11,0,2,8,0,city council regular meeting; city council study meeting
2020-12-01,2020-11-25,0,2,7,0,city council regular meeting; city council study meeting
2021-01-05,2020-12-30,0,2,8,0,city council regular meeting; city council study meeting
2021-01-19,2021-01-13,0,2,11,0,city council regular meeting; city council study meeting
2021-01-26,2021-01-20,0,1,3,0,city council closed session meeting
2021-02-02,2021-01-27,0,3,7,0,city council budget meeting; city council regular meeting; city council study meeting
2021-02-16,2021-02-10,0,2,5,0,city council regular meeting; city council study meeting
2021-03-02,2021-02-24,0,2,9,0,city council regular meeting; city council study meeting
2021-03-16,2021-03-10,0,2,7,0,city council regular meeting; city council study meeting
2021-04-06,2021-03-31,0,2,11,0,city council regular meeting; city council study meeting
2021-04-20,2021-04-14,0,2,16,0,city council regular meeting; city council study meeting
2021-05-04,2021-04-28,0,1,6,0,city council study meeting
2021-05-18,2021-05-12,0,2,6,0,city council regular meeting; city council study meeting
2021-06-01,2021-05-26,0,2,8,0,city council regular meeting; city council study meeting
2021-06-15,2021-06-09,0,2,15,0,city council regular meeting; city council study meeting
2021-07-20,2021-07-14,0,1,10,0,city council regular meeting
2021-08-03,2021-07-28,0,2,8,0,city council regular meeting; city council study meeting
2021-08-17,2021-08-11,0,2,5,0,city council regular meeting; city council study meeting
2021-09-07,2021-09-01,0,2,8,0,city council regular meeting; city council study meeting
2021-09-21,2021-09-15,0,2,6,0,city council regular meeting; city council study meeting
2021-10-05,2021-09-29,0,2,10,0,city council regular meeting; city council study meeting
2021-10-12,2021-10-06,0,1,1,0,city council strategic planning meeting
2021-10-19,2021-10-13,0,2,6,0,city council regular meeting; city council study meeting
2021-10-26,2021-10-20,0,1,1,0,city council regular meeting
2021-11-16,2021-11-10,0,3,7,0,city council board of canvass meeting; city council regular meeting; city council study meeting
2021-11-30,2021-11-24,0,1,1,0,city council budget meeting
2021-12-07,2021-12-01,0,2,12,0,city council regular meeting; city council study meeting
2022-01-04,2021-12-29,0,2,15,0,city council regular meeting; city council study meeting
2022-01-18,2022-01-12,0,2,13,0,city council regular meeting; city council study meeting
2022-02-01,2022-01-26,0,3,9,0,city council budget meeting; city council regular meeting; city council study meeting
2022-02-15,2022-02-09,0,2,7,0,city council regular meeting; city council study meeting
2022-03-01,2022-02-23,0,1,1,0,city council budget meeting
2022-03-15,2022-03-09,0,3,10,0,city council budget meeting; city council regular meeting; city council study meeting
2022-04-05,2022-03-30,0,2,14,0,city council regular meeting; city council study meeting
2022-04-19,2022-04-13,0,2,15,0,city council regular meeting; city council study meeting
2022-05-03,2022-04-27,0,2,16,0,city council regular meeting; city council study meeting
2022-05-17,2022-05-11,0,2,8,0,city council regular meeting; city council study meeting
2022-06-07,2022-06-01,0,2,8,0,city council regular meeting; city council study meeting
2022-06-21,2022-06-15,0,2,14,0,city council regular meeting; city council study meeting
2022-07-19,2022-07-13,0,2,9,0,city council regular meeting; city council study meeting
2022-08-02,2022-07-27,0,1,2,0,city council study meeting
2022-08-16,2022-08-10,0,2,9,0,city council regular meeting; city council study meeting
2022-09-06,2022-08-31,0,2,6,0,city council regular meeting; city council study meeting
2022-09-20,2022-09-14,0,2,8,0,city council regular meeting; city council study meeting
2022-10-04,2022-09-28,0,2,7,0,city council regular meeting; city council study meeting
2022-10-18,2022-10-12,0,3,10,0,city council regular meeting; city council strategic planning meeting; city council study meeting
2022-11-15,2022-11-09,0,3,17,0,city council regular meeting; city council study meeting
2022-12-06,2022-11-30,0,2,7,0,city council regular meeting; city council study meeting
2022-12-20,2022-12-14,0,1,1,0,city council strategic planning meeting
2023-01-03,2022-12-28,0,2,11,0,city council regular meeting; city council study meeting
2023-01-17,2023-01-11,0,2,10,3,city council regular meeting; city council study meeting
2023-01-24,2023-01-18,0,1,1,0,city council budget meeting
2023-01-31,2023-01-25,0,1,1,0,city council budget meeting
2023-02-07,2023-02-01,0,2,11,0,city council regular meeting; city council study meeting
2023-02-21,2023-02-15,0,2,9,0,city council regular meeting; city council study meeting
2023-03-07,2023-03-01,0,2,7,1,city council planning commission study meeting; city council regular meeting
2023-03-21,2023-03-15,0,2,8,0,city council regular meeting; city council study meeting
2023-04-04,2023-03-29,0,2,11,0,city council regular meeting; city council study meeting
2023-04-18,2023-04-12,0,2,11,0,city council regular meeting; city council study meeting
2023-05-02,2023-04-26,0,2,13,0,city council regular meeting; city council study meeting
2023-05-16,2023-05-10,0,2,8,1,city council regular meeting; city council study meeting
2023-06-06,2023-05-31,0,1,9,0,city council regular meeting
2023-06-20,2023-06-14,0,2,14,0,city council regular meeting; city council study meeting
2023-07-18,2023-07-12,0,2,12,0,city council regular meeting; city council study meeting
2023-08-01,2023-07-26,0,2,15,0,city council regular meeting; city council study meeting
2023-08-15,2023-08-09,0,2,14,0,city council regular meeting; city council study meeting
2023-09-19,2023-09-13,0,2,16,0,city council regular meeting; city council study meeting
2023-10-03,2023-09-27,0,2,6,0,city council regular meeting; city council study meeting
2023-10-10,2023-10-04,0,1,3,0,city council regular meeting
2023-10-17,2023-10-11,0,2,6,0,city council regular meeting; city council study meeting
2023-11-07,2023-11-01,0,2,5,0,city council regular meeting; city council study meeting
2023-11-14,2023-11-08,0,1,1,0,city council strategic planning meeting
2023-12-05,2023-11-29,0,3,10,0,city council board of canvass meeting; city council regular meeting; city council study meeting
2024-01-02,2023-12-27,0,2,6,0,city council regular meeting; city council study meeting
2024-01-16,2024-01-10,0,2,15,0,city council regular meeting; city council study meeting
2024-01-30,2024-01-24,0,1,1,0,city council budget meeting
2024-02-06,2024-01-31,0,2,8,0,city council regular meeting; city council study meeting
2024-02-20,2024-02-14,0,2,6,0,city council regular meeting; city council study meeting
2024-03-05,2024-02-28,0,2,2,0,city council budget meeting; city council study meeting
2024-03-19,2024-03-13,0,2,9,0,city council regular meeting; city council study meeting
2024-04-02,2024-03-27,0,2,5,0,city council regular meeting; city council study meeting
2024-05-21,2024-05-15,0,2,8,0,city council regular meeting; city council study meeting
2024-06-04,2024-05-29,0,2,3,0,city council regular meeting; city council study meeting
2024-06-18,2024-06-12,0,2,7,0,city council regular meeting; city council study meeting
2024-07-16,2024-07-10,0,2,10,0,city council regular meeting; city council study meeting
2024-08-06,2024-07-31,0,1,2,0,city council regular meeting
2024-08-20,2024-08-14,0,2,8,0,city council regular meeting; city council study meeting
2024-09-03,2024-08-28,0,2,2,0,city council regular meeting; city council study meeting
2024-09-17,2024-09-11,0,2,3,0,city council regular meeting; city council study meeting
2024-10-01,2024-09-25,0,2,3,0,city council regular meeting; city council study meeting
2024-10-15,2024-10-09,0,2,5,0,city council regular meeting; city council study meeting
2024-11-19,2024-11-13,0,2,6,0,city council regular meeting; city council strategic planning meeting
2024-12-03,2024-11-27,0,2,8,2,city council regular meeting; city council study meeting
2025-01-07,2025-01-01,0,2,10,0,city council regular meeting; city council study meeting
2025-01-21,2025-01-15,0,2,5,0,city council regular meeting; city council study meeting
2025-02-04,2025-01-29,0,3,5,0,city council budget meeting; city council regular meeting; city council study meeting
2025-02-18,2025-02-12,0,2,10,1,city council regular meeting; city council study meeting
2025-03-04,2025-02-26,0,2,9,0,city council regular meeting; city council study meeting
2025-03-18,2025-03-12,0,1,6,0,city council regular meeting
2025-04-01,2025-03-26,0,2,8,0,city council regular meeting; city council study meeting
2025-05-06,2025-04-30,0,2,16,0,city council study meeting; combined city council redevelopment agency meeting
2025-06-03,2025-05-28,0,2,13,0,city council study meeting; combined city council redevelopment agency meeting
2025-06-17,2025-06-11,0,2,15,1,city council regular meeting; city council study meeting
2025-07-15,2025-07-09,0,2,14,0,city council regular meeting; city council study meeting
2025-08-05,2025-07-30,0,2,10,0,city council regular meeting; city council study meeting
2025-08-19,2025-08-13,0,2,14,1,city council regular meeting; city council study meeting
2025-09-02,2025-08-27,0,2,8,3,city council regular meeting; city council study meeting
2025-09-16,2025-09-10,0,2,6,0,city council regular meeting; city council study meeting
2025-10-07,2025-10-01,0,2,8,0,city council regular meeting; city council study meeting
2025-10-21,2025-10-15,0,2,10,0,city council regular meeting; city council study meeting
2025-11-18,2025-11-12,0,3,13,0,city council board of canvass meeting; city council regular meeting; city council study meeting
2025-12-02,2025-11-26,0,2,13,1,city council regular meeting; city council study meeting
2026-01-06,2025-12-31,0,2,5,0,city council regular meeting; city council study meeting
2026-01-13,2026-01-07,0,1,1,0,city council budget meeting
2026-01-20,2026-01-14,0,1,3,0,city council study meeting
2026-02-03,2026-01-28,0,1,6,0,city council regular meeting
2026-02-17,2026-02-11,0,2,6,0,city council regular meeting; city council study meeting
2026-03-03,2026-02-25,0,2,9,0,city council regular meeting; city council study meeting
2026-03-10,2026-03-04,0,1,1,0,city council budget meeting
2026-03-17,2026-03-11,0,1,3,0,city council budget meeting
2026-04-07,2026-04-01,0,2,11,0,city council regular meeting; city council study meeting
2026-05-05,2026-04-29,0,2,18,0,city council study meeting; combined city council redevelopment agency meeting
2026-05-19,2026-05-13,0,2,6,0,city council regular meeting; city council study meeting
