date,title,body,meeting_type,packet_kind,source_url,retrieved_date,format,extraction_method,path,source,pmn_body,notice_url,bytes,sha256,doc_class,fetch_status,text_path,text_chars
2019-01-17,190117_EmigrationTPC_Packet1of4.pdf,PlanningCommission,,supporting_docs,https://www.utah.gov/pmn/files/459015.pdf,2026-07-14,text,none (oversize; raw retained),raw/2019-01-17/459015_190117_EmigrationTPC_Packet1of4.pdf,pmn,1562,https://www.utah.gov/pmn/sitemap/notice/507785.html,137177479,6b6ac27456e9e4be,,,,
2019-01-17,190117_EmigrationTPC_Packet2of4.pdf,PlanningCommission,,supporting_docs,https://www.utah.gov/pmn/files/459017.pdf,2026-07-14,text,none (oversize; raw retained),raw/2019-01-17/459017_190117_EmigrationTPC_Packet2of4.pdf,pmn,1562,https://www.utah.gov/pmn/sitemap/notice/507785.html,472172646,522e23e2752d96eb,,,,
2019-04-23,2019 Metro Township Candidate Filing Notice EMIGRATION CANYON - UT Public Notice Website.docx,Council,,supporting_docs,https://www.utah.gov/pmn/files/488507.docx,2026-07-14,text,none (docx raw retained),raw/2019-04-23/488507_2019_Metro_Township_Candidate_Filing_Notice_EMIGRATION_CANYON_-_UT_Public_Notice_Website.docx,pmn,5809,https://www.utah.gov/pmn/sitemap/notice/529743.html,69759,4ff9ed6a3938b7d9,,,,
2019-04-25,190425_Land Use Legal Training.pdf,PlanningCommission,,supporting_docs,https://www.utah.gov/pmn/files/488319.pdf,2026-07-14,text,pdftotext -layout,raw/2019-04-25/488319_190425_Land_Use_Legal_Training.pdf,pmn,1562,https://www.utah.gov/pmn/sitemap/notice/529577.html,155380,e86fcfba3783bc2a,,,,
2019-06-01,Notice of Intent to Prepare Emigration General Plan.pdf,PlanningCommission,,supporting_docs,https://www.utah.gov/pmn/files/497419.pdf,2026-07-14,text,pdftotext -layout,raw/2019-06-01/497419_Notice_of_Intent_to_Prepare_Emigration_General_Plan.pdf,pmn,1562,https://www.utah.gov/pmn/sitemap/notice/536235.html,92336,4229e146c6c728af,,,,
2019-06-13,190613_EmigrationTPC_Packet.pdf,PlanningCommission,,supporting_docs,https://www.utah.gov/pmn/files/500827.pdf,2026-07-14,text,pdftotext -layout,raw/2019-06-13/500827_190613_EmigrationTPC_Packet.pdf,pmn,1562,https://www.utah.gov/pmn/sitemap/notice/537373.html,717740,8992bc307f1e9d88,,,,
2019-07-11,190711_EmigrationTPC_Packet.pdf,PlanningCommission,,supporting_docs,https://www.utah.gov/pmn/files/509479.pdf,2026-07-14,text,pdftotext -layout,raw/2019-07-11/509479_190711_EmigrationTPC_Packet.pdf,pmn,1562,https://www.utah.gov/pmn/sitemap/notice/544585.html,1191513,fa812a69cf8f74df,,,,
2019-08-15,190815_EmigrationTPC_Packet.pdf,PlanningCommission,,supporting_docs,https://www.utah.gov/pmn/files/518887.pdf,2026-07-14,text,pdftotext -layout,raw/2019-08-15/518887_190815_EmigrationTPC_Packet.pdf,pmn,1562,https://www.utah.gov/pmn/sitemap/notice/550143.html,584644,ec033ab76cd5bd37,,,,
2019-11-14,191114_EmigrationTPC_Packet.pdf,PlanningCommission,,supporting_docs,https://www.utah.gov/pmn/files/547807.pdf,2026-07-14,text,pdftotext -layout,raw/2019-11-14/547807_191114_EmigrationTPC_Packet.pdf,pmn,1562,https://www.utah.gov/pmn/sitemap/notice/567919.html,641026,1b3069351aabdf1d,,,,
2020-01-30,Transportation Guiding Principles Workshop Flyer.pdf,PlanningCommission,Workshop,supporting_docs,https://www.utah.gov/pmn/files/567171.pdf,2026-07-14,text,pdftotext -layout,raw/2020-01-30/567171_Transportation_Guiding_Principles_Workshop_Flyer.pdf,pmn,1562,https://www.utah.gov/pmn/sitemap/notice/583437.html,422083,6f149beff2e857b5,,,,
