person_id,full_name,name_key
1,Adam Shim,adamshim
2,Adam Shin,adamshin
3,Alley Jones,alleyjones
4,Ally Jones,allyjones
5,Ally Jones to approve,allyjonestoapprove
6,Andrew Howard,andrewhoward
7,Andrew South,andrewsouth
8,Anna Allen,annaallen
9,Anne Allen,anneallen
10,Anne Black,anneblack
11,Babara DeSoto,babaradesoto
12,Barbara DeSoto,barbaradesoto
13,Barbara SeSoto,barbarasesoto
14,Barbie DeSoto,barbiedesoto
15,Barbra DeSoto,barbradesoto
16,Becky Bogdin,beckybogdin
17,Bill Fillmore,billfillmore
18,Brian Henrie,brianhenrie
19,Craig Christensen,craigchristensen
20,Danial Gonzales,danialgonzales
21,Daniel Gonzales,danielgonzales
22,Daniel Gonzalez,danielgonzalez
23,Dave Anderson,daveanderson
24,Dave Anderson Abstain Brian Henrie,daveandersonabstainbrianhenrie
25,Dave Anderson Laurie Urquiaga abstained,daveandersonlaurieurquiagaabstained
26,Dave Anderson Robert Knudsen,daveandersonrobertknudsen
27,David Anderson,davidanderson
28,David Harding,davidharding
29,David Knudsen,davidknudsen
30,David Sewell,davidsewell
31,David Shipley,davidshipley
32,Debora Jensen,deborajensen
33,Debora Jones,deborajones
34,Deborah Jensen,deborahjensen
35,Deborah Jensen did not vote,deborahjensendidnotvote
36,Gary Garrett,garygarrett
37,George Handley,georgehandley
38,Jeff Whitlock,jeffwhitlock
39,Joel Temple,joeltemple
40,Jon Lyons,jonlyons
41,Jonathon Hill,jonathonhill
42,Katrice MacKay,katricemackay
43,Laurie Urquiaga,laurieurquiaga
44,Laurie Urquiaga abstained,laurieurquiagaabstained
45,Laurie Urqulaga,laurieurqulaga
46,Lisa Jensen,lisajensen
47,Maria Winden,mariawinden
48,Maria Winden Maria Winden acted,mariawindenmariawindenacted
49,Maria Winden Russell Phillips,mariawindenrussellphillips
50,Matt Wheelwright,mattwheelwright
51,Meliss Kendall,melisskendall
52,Melissa Kendall,melissakendall
53,Miler Miller,milermiller
54,Miles Miller,milesmiller
55,Peter Fife,peterfife
56,Rachel Whipple,rachelwhipple
57,Raleen Wahlin,raleenwahlin
58,Raleen Whalin,raleenwhalin
59,Robert Knudsen,robertknudsen
60,Robert Knudsen Abstained Brian Henrie he noted a conflict interest with this item,robertknudsenabstainedbrianhenriehenotedaconflictinterestwiththisitem
61,Russ Philips,russphilips
62,Russ Phillips,russphillips
63,Russ Phillips Laurie Urquiaga abstained,russphillipslaurieurquiagaabstained
64,Russell Philips,russellphilips
65,Russell Phillips,russellphillips
66,Shannon Ellsworth,shannonellsworth
67,Tosh Metzger,toshmetzger
68,Travis Hoban,travishoban
