role_id,person_id,body_id,first_seen,last_seen,n_votes
1,1,2,2025-01-08,2025-01-08,1
2,2,2,2024-06-26,2025-03-26,68
3,3,2,2022-02-23,2022-02-23,1
4,4,2,2020-08-12,2022-04-13,102
5,6,2,2020-01-08,2020-06-10,33
6,7,2,2022-07-13,2025-07-09,176
7,8,2,2024-12-11,2024-12-11,1
8,9,2,2024-12-11,2026-06-24,72
9,10,2,2025-01-08,2025-01-08,5
10,11,2,2024-03-27,2024-03-27,1
11,12,2,2023-07-26,2026-03-11,158
12,13,2,2023-10-25,2023-10-25,1
13,14,2,2023-07-12,2024-05-22,8
14,15,2,2025-01-22,2025-01-22,1
15,16,1,2024-01-09,2026-05-12,297
16,16,3,2024-01-09,2026-05-12,21
17,17,1,2020-01-07,2023-12-12,552
18,17,3,2020-01-07,2023-07-18,37
19,18,2,2020-08-12,2022-06-22,137
20,19,1,2024-01-09,2026-05-12,284
21,19,3,2024-01-09,2026-05-12,18
22,20,2,2022-03-09,2024-05-22,3
23,21,2,2020-08-12,2026-06-10,334
24,22,2,2020-09-23,2020-11-11,4
25,23,2,2020-01-08,2022-06-22,174
26,24,2,2020-11-11,2020-11-11,1
27,25,2,2020-06-10,2020-06-10,1
28,26,2,2021-10-27,2021-10-27,1
29,27,2,2020-04-22,2020-04-22,3
30,28,1,2020-01-07,2021-12-14,268
31,28,3,2020-01-07,2021-11-30,22
32,29,2,2021-02-10,2022-04-27,9
33,30,1,2020-01-07,2021-12-14,272
34,30,3,2020-01-07,2021-11-30,22
35,31,1,2020-01-07,2023-12-12,540
36,31,3,2020-01-07,2023-07-18,37
37,32,2,2020-11-18,2020-11-18,2
38,33,2,2020-11-18,2020-11-18,1
39,34,2,2020-01-08,2021-05-26,99
40,35,2,2020-08-12,2020-08-12,2
41,36,1,2024-01-09,2026-05-12,294
42,36,3,2024-01-09,2026-05-12,21
43,37,1,2020-01-07,2025-11-18,801
44,37,3,2020-01-07,2025-06-17,56
45,38,1,2026-01-13,2026-05-12,34
46,38,2,2022-07-27,2025-03-12,129
47,38,3,2026-02-10,2026-05-12,2
48,39,2,2025-08-13,2026-07-08,61
49,40,2,2025-09-24,2026-07-08,58
50,41,2,2023-09-13,2026-07-08,189
51,42,1,2022-01-04,2026-05-12,564
52,42,3,2022-01-04,2026-05-12,36
53,43,2,2020-01-08,2022-06-22,184
54,44,2,2020-03-25,2020-03-25,1
55,45,2,2020-01-22,2020-01-22,1
56,46,2,2020-01-08,2026-06-24,425
57,47,2,2020-01-22,2020-06-24,25
58,48,2,2020-02-26,2020-02-26,1
59,49,2,2020-03-25,2020-03-25,1
60,50,2,2025-08-13,2026-07-08,66
61,51,2,2024-01-31,2024-01-31,2
62,52,2,2022-05-25,2026-07-08,243
63,53,2,2022-03-09,2022-03-09,1
64,54,2,2021-12-08,2022-08-10,38
65,55,2,2021-12-08,2022-06-08,23
66,56,1,2022-01-04,2026-05-12,567
67,56,3,2022-01-04,2026-05-12,36
68,57,2,2022-07-13,2024-01-31,56
69,58,2,2022-07-13,2024-01-17,14
70,59,2,2020-01-08,2024-06-26,270
71,61,2,2020-01-22,2021-03-10,2
72,62,2,2020-01-22,2021-02-10,13
73,63,2,2020-05-13,2020-05-13,1
74,64,2,2021-01-13,2021-01-13,2
75,65,2,2020-03-25,2021-05-26,16
76,66,1,2020-01-07,2023-12-12,554
77,66,3,2020-01-07,2023-07-18,37
78,67,2,2026-07-08,2026-07-08,5
79,68,1,2020-01-07,2026-05-12,824
80,68,3,2020-01-07,2026-05-12,58
