year,election_type,office,district,contest,candidate,votes,pct,rank,is_winner
2021,municipal general,Council,2,Murray City Council District 2,PAMELA J. COTTER,1190,54.74,1,True
2021,municipal general,Council,2,Murray City Council District 2,JOE SILVERZWEIG,984,45.26,2,False
2021,municipal general,Council,4,Murray City Council District 4,DIANE TURNER,1124,64.41,1,True
2021,municipal general,Council,4,Murray City Council District 4,DAREN RASMUSSEN,621,35.59,2,False
2021,municipal general,Mayor,,Murray City Mayor,BRETT A. HALES,6108,58.3,1,True
2021,municipal general,Mayor,,Murray City Mayor,CLARK BULLEN,4369,41.7,2,False
2023,municipal general,Council,1,Murray City Council District 1,PAUL PICKETT,696,59.28,1,True
2023,municipal general,Council,1,Murray City Council District 1,DAVID W. RODGERS,478,40.72,2,False
2023,municipal general,Council,3,Murray City Council District 3,ROSALBA DOMINGUEZ,1095,52.67,1,True
2023,municipal general,Council,3,Murray City Council District 3,CLARK BULLEN,984,47.33,2,False
2023,municipal general,Council,5,Murray City Council District 5,ADAM HOCK,1553,56.23,1,True
2023,municipal general,Council,5,Murray City Council District 5,"GARRY ""CPA"" HRECHKOSY",1209,43.77,2,False
2023,municipal primary,Council,1,Murray City Council District 1,PAUL PICKETT,528,51.51,1,True
2023,municipal primary,Council,1,Murray City Council District 1,DAVID W. RODGERS,269,26.24,2,False
2023,municipal primary,Council,1,Murray City Council District 1,AARON THOMPSON,228,22.24,3,False
2023,municipal primary,Council,1,Murray City Council District 1,Write-in (unresolved),0,0.0,4,False
2023,municipal primary,Council,3,Murray City Council District 3,ROSALBA DOMINGUEZ,718,41.38,1,True
2023,municipal primary,Council,3,Murray City Council District 3,CLARK BULLEN,496,28.59,2,False
2023,municipal primary,Council,3,Murray City Council District 3,JANICE STROBELL,263,15.16,3,False
2023,municipal primary,Council,3,Murray City Council District 3,SCOTT GOODMAN,160,9.22,4,False
2023,municipal primary,Council,3,Murray City Council District 3,LEANN PARKER-REED,98,5.65,5,False
2023,municipal primary,Council,3,Murray City Council District 3,Write-in (unresolved),0,0.0,6,False
2025,municipal general,Council,2,Murray City Council District 2,PAMELA JANE COTTER,1423,54.77,1,True
2025,municipal general,Council,2,Murray City Council District 2,JARED MICHAEL EBORN,1175,45.23,2,False
2025,municipal general,Council,2,Murray City Council District 2,Write-in (unresolved),0,0.0,3,False
2025,municipal general,Council,3,Murray City Council District 3 (2-Year Term),CLARK BULLEN,1336,56.44,1,True
2025,municipal general,Council,3,Murray City Council District 3 (2-Year Term),BEN PECK,1031,43.56,2,False
2025,municipal general,Council,3,Murray City Council District 3 (2-Year Term),Write-in (unresolved),0,0.0,3,False
2025,municipal general,Council,4,Murray City Council District 4,DIANE TURNER,1435,100.0,1,True
2025,municipal general,Council,4,Murray City Council District 4,Write-in (unresolved),0,0.0,2,False
2025,municipal general,Mayor,,Murray City Mayor,BRETT A. HALES,6490,61.84,1,True
2025,municipal general,Mayor,,Murray City Mayor,BRUCE E TURNER,4005,38.16,2,False
2025,municipal general,Mayor,,Murray City Mayor,Write-in (unresolved),0,0.0,3,False
2025,municipal primary,Council,2,Murray City Council District 2,PAMELA JANE COTTER,947,45.86,1,True
2025,municipal primary,Council,2,Murray City Council District 2,JARED MICHAEL EBORN,495,23.97,2,False
2025,municipal primary,Council,2,Murray City Council District 2,DALE M COX,423,20.48,3,False
2025,municipal primary,Council,2,Murray City Council District 2,AARON LEE HOLBROOK,200,9.69,4,False
2025,municipal primary,Council,2,Murray City Council District 2,Write-in (unresolved),0,0.0,5,False
2025,municipal primary,Council,3,Murray City Council District 3 (2-Year Term),CLARK BULLEN,856,44.72,1,True
2025,municipal primary,Council,3,Murray City Council District 3 (2-Year Term),BEN PECK,530,27.69,2,False
2025,municipal primary,Council,3,Murray City Council District 3 (2-Year Term),SCOTT GOODMAN,350,18.29,3,False
2025,municipal primary,Council,3,Murray City Council District 3 (2-Year Term),LEANN PARKER-REED,178,9.3,4,False
2025,municipal primary,Council,3,Murray City Council District 3 (2-Year Term),Write-in (unresolved),0,0.0,5,False
2025,municipal primary,Mayor,,Murray City Mayor,BRETT A. HALES,4992,58.76,1,True
2025,municipal primary,Mayor,,Murray City Mayor,BRUCE E TURNER,2090,24.6,2,False
2025,municipal primary,Mayor,,Murray City Mayor,JOHN JEFFREY EVANS,1414,16.64,3,False
2025,municipal primary,Mayor,,Murray City Mayor,Write-in (unresolved),0,0.0,4,False
