year,election_type,office,district,contest,precinct,candidate,votes,suppressed
2021,municipal general,Council,2,Murray City Council District 2,MUR016,JOE SILVERZWEIG,109,False
2021,municipal general,Council,2,Murray City Council District 2,MUR016,PAMELA J. COTTER,197,False
2021,municipal general,Council,2,Murray City Council District 2,MUR017,JOE SILVERZWEIG,63,False
2021,municipal general,Council,2,Murray City Council District 2,MUR017,PAMELA J. COTTER,66,False
2021,municipal general,Council,2,Murray City Council District 2,MUR018,JOE SILVERZWEIG,185,False
2021,municipal general,Council,2,Murray City Council District 2,MUR018,PAMELA J. COTTER,219,False
2021,municipal general,Council,2,Murray City Council District 2,MUR019,JOE SILVERZWEIG,80,False
2021,municipal general,Council,2,Murray City Council District 2,MUR019,PAMELA J. COTTER,94,False
2021,municipal general,Council,2,Murray City Council District 2,MUR020,JOE SILVERZWEIG,141,False
2021,municipal general,Council,2,Murray City Council District 2,MUR020,PAMELA J. COTTER,191,False
2021,municipal general,Council,2,Murray City Council District 2,MUR023,JOE SILVERZWEIG,121,False
2021,municipal general,Council,2,Murray City Council District 2,MUR023,PAMELA J. COTTER,111,False
2021,municipal general,Council,2,Murray City Council District 2,MUR035,JOE SILVERZWEIG,112,False
2021,municipal general,Council,2,Murray City Council District 2,MUR035,PAMELA J. COTTER,149,False
2021,municipal general,Council,2,Murray City Council District 2,MUR049,JOE SILVERZWEIG,81,False
2021,municipal general,Council,2,Murray City Council District 2,MUR049,PAMELA J. COTTER,70,False
2021,municipal general,Council,2,Murray City Council District 2,MUR050,JOE SILVERZWEIG,87,False
2021,municipal general,Council,2,Murray City Council District 2,MUR050,PAMELA J. COTTER,91,False
2021,municipal general,Council,2,Murray City Council District 2,MUR053,JOE SILVERZWEIG,5,False
2021,municipal general,Council,2,Murray City Council District 2,MUR053,PAMELA J. COTTER,2,False
2021,municipal general,Council,4,Murray City Council District 4,MUR021,DAREN RASMUSSEN,118,False
2021,municipal general,Council,4,Murray City Council District 4,MUR021,DIANE TURNER,164,False
2021,municipal general,Council,4,Murray City Council District 4,MUR024,DAREN RASMUSSEN,132,False
2021,municipal general,Council,4,Murray City Council District 4,MUR024,DIANE TURNER,120,False
2021,municipal general,Council,4,Murray City Council District 4,MUR025,DAREN RASMUSSEN,141,False
2021,municipal general,Council,4,Murray City Council District 4,MUR025,DIANE TURNER,134,False
2021,municipal general,Council,4,Murray City Council District 4,MUR030,DAREN RASMUSSEN,71,False
2021,municipal general,Council,4,Murray City Council District 4,MUR030,DIANE TURNER,135,False
2021,municipal general,Council,4,Murray City Council District 4,MUR031,DAREN RASMUSSEN,40,False
2021,municipal general,Council,4,Murray City Council District 4,MUR031,DIANE TURNER,131,False
2021,municipal general,Council,4,Murray City Council District 4,MUR032,DAREN RASMUSSEN,35,False
2021,municipal general,Council,4,Murray City Council District 4,MUR032,DIANE TURNER,116,False
2021,municipal general,Council,4,Murray City Council District 4,MUR033,DAREN RASMUSSEN,38,False
2021,municipal general,Council,4,Murray City Council District 4,MUR033,DIANE TURNER,126,False
2021,municipal general,Council,4,Murray City Council District 4,MUR034,DAREN RASMUSSEN,46,False
2021,municipal general,Council,4,Murray City Council District 4,MUR034,DIANE TURNER,198,False
2021,municipal general,Mayor,,Murray City Mayor,MUR001,CLARK BULLEN,3,False
2021,municipal general,Mayor,,Murray City Mayor,MUR001,BRETT A. HALES,2,False
2021,municipal general,Mayor,,Murray City Mayor,MUR002,CLARK BULLEN,123,False
2021,municipal general,Mayor,,Murray City Mayor,MUR002,BRETT A. HALES,102,False
2021,municipal general,Mayor,,Murray City Mayor,MUR003,CLARK BULLEN,40,False
2021,municipal general,Mayor,,Murray City Mayor,MUR003,BRETT A. HALES,41,False
2021,municipal general,Mayor,,Murray City Mayor,MUR004,CLARK BULLEN,164,False
2021,municipal general,Mayor,,Murray City Mayor,MUR004,BRETT A. HALES,126,False
2021,municipal general,Mayor,,Murray City Mayor,MUR005,CLARK BULLEN,109,False
2021,municipal general,Mayor,,Murray City Mayor,MUR005,BRETT A. HALES,100,False
2021,municipal general,Mayor,,Murray City Mayor,MUR006,CLARK BULLEN,0,False
2021,municipal general,Mayor,,Murray City Mayor,MUR006,BRETT A. HALES,0,False
2021,municipal general,Mayor,,Murray City Mayor,MUR007,CLARK BULLEN,133,False
2021,municipal general,Mayor,,Murray City Mayor,MUR007,BRETT A. HALES,143,False
2021,municipal general,Mayor,,Murray City Mayor,MUR008,CLARK BULLEN,207,False
2021,municipal general,Mayor,,Murray City Mayor,MUR008,BRETT A. HALES,158,False
2021,municipal general,Mayor,,Murray City Mayor,MUR009,CLARK BULLEN,113,False
2021,municipal general,Mayor,,Murray City Mayor,MUR009,BRETT A. HALES,56,False
2021,municipal general,Mayor,,Murray City Mayor,MUR010,CLARK BULLEN,3,False
2021,municipal general,Mayor,,Murray City Mayor,MUR010,BRETT A. HALES,11,False
2021,municipal general,Mayor,,Murray City Mayor,MUR011,CLARK BULLEN,188,False
2021,municipal general,Mayor,,Murray City Mayor,MUR011,BRETT A. HALES,145,False
2021,municipal general,Mayor,,Murray City Mayor,MUR012,CLARK BULLEN,159,False
2021,municipal general,Mayor,,Murray City Mayor,MUR012,BRETT A. HALES,154,False
2021,municipal general,Mayor,,Murray City Mayor,MUR013,CLARK BULLEN,28,False
2021,municipal general,Mayor,,Murray City Mayor,MUR013,BRETT A. HALES,16,False
2021,municipal general,Mayor,,Murray City Mayor,MUR014,CLARK BULLEN,127,False
2021,municipal general,Mayor,,Murray City Mayor,MUR014,BRETT A. HALES,98,False
2021,municipal general,Mayor,,Murray City Mayor,MUR015,CLARK BULLEN,106,False
2021,municipal general,Mayor,,Murray City Mayor,MUR015,BRETT A. HALES,133,False
2021,municipal general,Mayor,,Murray City Mayor,MUR016,CLARK BULLEN,109,False
2021,municipal general,Mayor,,Murray City Mayor,MUR016,BRETT A. HALES,198,False
2021,municipal general,Mayor,,Murray City Mayor,MUR017,CLARK BULLEN,62,False
2021,municipal general,Mayor,,Murray City Mayor,MUR017,BRETT A. HALES,67,False
2021,municipal general,Mayor,,Murray City Mayor,MUR018,CLARK BULLEN,165,False
2021,municipal general,Mayor,,Murray City Mayor,MUR018,BRETT A. HALES,254,False
2021,municipal general,Mayor,,Murray City Mayor,MUR019,CLARK BULLEN,68,False
2021,municipal general,Mayor,,Murray City Mayor,MUR019,BRETT A. HALES,108,False
2021,municipal general,Mayor,,Murray City Mayor,MUR020,CLARK BULLEN,122,False
2021,municipal general,Mayor,,Murray City Mayor,MUR020,BRETT A. HALES,209,False
2021,municipal general,Mayor,,Murray City Mayor,MUR021,CLARK BULLEN,117,False
2021,municipal general,Mayor,,Murray City Mayor,MUR021,BRETT A. HALES,167,False
2021,municipal general,Mayor,,Murray City Mayor,MUR022,CLARK BULLEN,9,False
2021,municipal general,Mayor,,Murray City Mayor,MUR022,BRETT A. HALES,31,False
2021,municipal general,Mayor,,Murray City Mayor,MUR023,CLARK BULLEN,107,False
2021,municipal general,Mayor,,Murray City Mayor,MUR023,BRETT A. HALES,127,False
2021,municipal general,Mayor,,Murray City Mayor,MUR024,CLARK BULLEN,107,False
2021,municipal general,Mayor,,Murray City Mayor,MUR024,BRETT A. HALES,141,False
2021,municipal general,Mayor,,Murray City Mayor,MUR025,CLARK BULLEN,112,False
2021,municipal general,Mayor,,Murray City Mayor,MUR025,BRETT A. HALES,162,False
2021,municipal general,Mayor,,Murray City Mayor,MUR027,CLARK BULLEN,169,False
2021,municipal general,Mayor,,Murray City Mayor,MUR027,BRETT A. HALES,142,False
2021,municipal general,Mayor,,Murray City Mayor,MUR029,CLARK BULLEN,146,False
2021,municipal general,Mayor,,Murray City Mayor,MUR029,BRETT A. HALES,351,False
2021,municipal general,Mayor,,Murray City Mayor,MUR030,CLARK BULLEN,95,False
2021,municipal general,Mayor,,Murray City Mayor,MUR030,BRETT A. HALES,115,False
2021,municipal general,Mayor,,Murray City Mayor,MUR031,CLARK BULLEN,107,False
2021,municipal general,Mayor,,Murray City Mayor,MUR031,BRETT A. HALES,144,False
2021,municipal general,Mayor,,Murray City Mayor,MUR032,CLARK BULLEN,54,False
2021,municipal general,Mayor,,Murray City Mayor,MUR032,BRETT A. HALES,97,False
2021,municipal general,Mayor,,Murray City Mayor,MUR033,CLARK BULLEN,88,False
2021,municipal general,Mayor,,Murray City Mayor,MUR033,BRETT A. HALES,78,False
2021,municipal general,Mayor,,Murray City Mayor,MUR034,CLARK BULLEN,80,False
2021,municipal general,Mayor,,Murray City Mayor,MUR034,BRETT A. HALES,162,False
2021,municipal general,Mayor,,Murray City Mayor,MUR035,CLARK BULLEN,84,False
2021,municipal general,Mayor,,Murray City Mayor,MUR035,BRETT A. HALES,183,False
2021,municipal general,Mayor,,Murray City Mayor,MUR036,CLARK BULLEN,106,False
2021,municipal general,Mayor,,Murray City Mayor,MUR036,BRETT A. HALES,333,False
2021,municipal general,Mayor,,Murray City Mayor,MUR037,CLARK BULLEN,57,False
2021,municipal general,Mayor,,Murray City Mayor,MUR037,BRETT A. HALES,226,False
2021,municipal general,Mayor,,Murray City Mayor,MUR038,CLARK BULLEN,89,False
2021,municipal general,Mayor,,Murray City Mayor,MUR038,BRETT A. HALES,138,False
2021,municipal general,Mayor,,Murray City Mayor,MUR039,CLARK BULLEN,118,False
2021,municipal general,Mayor,,Murray City Mayor,MUR039,BRETT A. HALES,143,False
2021,municipal general,Mayor,,Murray City Mayor,MUR040,CLARK BULLEN,40,False
2021,municipal general,Mayor,,Murray City Mayor,MUR040,BRETT A. HALES,25,False
2021,municipal general,Mayor,,Murray City Mayor,MUR041,CLARK BULLEN,67,False
2021,municipal general,Mayor,,Murray City Mayor,MUR041,BRETT A. HALES,99,False
2021,municipal general,Mayor,,Murray City Mayor,MUR042,CLARK BULLEN,100,False
2021,municipal general,Mayor,,Murray City Mayor,MUR042,BRETT A. HALES,198,False
2021,municipal general,Mayor,,Murray City Mayor,MUR043,CLARK BULLEN,113,False
2021,municipal general,Mayor,,Murray City Mayor,MUR043,BRETT A. HALES,264,False
2021,municipal general,Mayor,,Murray City Mayor,MUR044,CLARK BULLEN,18,False
2021,municipal general,Mayor,,Murray City Mayor,MUR044,BRETT A. HALES,27,False
2021,municipal general,Mayor,,Murray City Mayor,MUR045,CLARK BULLEN,2,False
2021,municipal general,Mayor,,Murray City Mayor,MUR045,BRETT A. HALES,10,False
2021,municipal general,Mayor,,Murray City Mayor,MUR046,CLARK BULLEN,85,False
2021,municipal general,Mayor,,Murray City Mayor,MUR046,BRETT A. HALES,142,False
2021,municipal general,Mayor,,Murray City Mayor,MUR047,CLARK BULLEN,46,False
2021,municipal general,Mayor,,Murray City Mayor,MUR047,BRETT A. HALES,117,False
2021,municipal general,Mayor,,Murray City Mayor,MUR048,CLARK BULLEN,15,False
2021,municipal general,Mayor,,Murray City Mayor,MUR048,BRETT A. HALES,11,False
2021,municipal general,Mayor,,Murray City Mayor,MUR049,CLARK BULLEN,116,False
2021,municipal general,Mayor,,Murray City Mayor,MUR049,BRETT A. HALES,216,False
2021,municipal general,Mayor,,Murray City Mayor,MUR050,CLARK BULLEN,70,False
2021,municipal general,Mayor,,Murray City Mayor,MUR050,BRETT A. HALES,113,False
2021,municipal general,Mayor,,Murray City Mayor,MUR051,CLARK BULLEN,7,False
2021,municipal general,Mayor,,Murray City Mayor,MUR051,BRETT A. HALES,7,False
2021,municipal general,Mayor,,Murray City Mayor,MUR052,CLARK BULLEN,12,False
2021,municipal general,Mayor,,Murray City Mayor,MUR052,BRETT A. HALES,15,False
2021,municipal general,Mayor,,Murray City Mayor,MUR053,CLARK BULLEN,4,False
2021,municipal general,Mayor,,Murray City Mayor,MUR053,BRETT A. HALES,3,False
2023,municipal general,Council,1,Murray City Council District 1,MUR001,PAUL PICKETT,39,False
2023,municipal general,Council,1,Murray City Council District 1,MUR001,DAVID W. RODGERS,77,False
2023,municipal general,Council,1,Murray City Council District 1,MUR003,PAUL PICKETT,154,False
2023,municipal general,Council,1,Murray City Council District 1,MUR003,DAVID W. RODGERS,116,False
2023,municipal general,Council,1,Murray City Council District 1,MUR004,PAUL PICKETT,29,False
2023,municipal general,Council,1,Murray City Council District 1,MUR004,DAVID W. RODGERS,41,False
2023,municipal general,Council,1,Murray City Council District 1,MUR008,PAUL PICKETT,221,False
2023,municipal general,Council,1,Murray City Council District 1,MUR008,DAVID W. RODGERS,84,False
2023,municipal general,Council,1,Murray City Council District 1,MUR013,PAUL PICKETT,219,False
2023,municipal general,Council,1,Murray City Council District 1,MUR013,DAVID W. RODGERS,117,False
