seat_group,seat_office,person_full_name,member_entity_slug,voting,as_of,source,confidence,note
Box Elder County,Box Elder County Commissioner,Lee Perry,,voting,2026,2026-01-22 minutes member table,high,external jurisdiction (not a repo entity)
Davis County,Layton City Mayor,Joy Petro,,voting,2026,2026-01-22 minutes member table,high,external jurisdiction
Davis County,Clearfield City Mayor,Mark Shepherd,,voting,2026,2026-01-22 minutes member table,high,external; frequent Trans Com chair/mover
Davis County,Kaysville City Mayor,Tami Tran,,voting,2026,2026-01-22 minutes member table,high,external; replaced Clinton/Brandon Stanger seat held 2025
Davis County,Davis County Commissioner (Vice Chair),Bob Stevenson,,voting,2026,2026-01-22 minutes member table,high,external; Council Vice Chair
Morgan County,Morgan County Commissioner,Mike Newton,,voting,2026,2026-01-22 minutes member table,high,external jurisdiction
Salt Lake County,Salt Lake County Mayor,Jenny Wilson,salt_lake_county,voting,2026,2026-01-22 minutes member table,high,repo entity salt_lake_county
Salt Lake County,Salt Lake City Mayor,Erin Mendenhall,slc,voting,2026,2026-01-22 minutes member table,high,repo entity slc
Salt Lake County,South Jordan City Mayor (Council Chair),Dawn Ramsey,south_jordan,voting,2026,2026-01-22 minutes member table,high,repo person south_jordan 'Dawn R. Ramsey'; WFRC Council Chair
Salt Lake County,Salt Lake County Councilmember,Aimee Winder Newton,salt_lake_county,voting,2026,2026-01-22 minutes member table,high,repo person salt_lake_county; WFRC Budget Committee Chair
Salt Lake County,Herriman City Mayor,Lorin Palmer,herriman,voting,2026,2026-01-22 minutes member table,high,repo person herriman 'Lorin Palmer'; 2025 seat held by Millcreek/Silvestrini
Salt Lake County,Sandy City Mayor,Monica Zoltanski,sandy,voting,2026,2026-01-22 minutes member table,high,repo person sandy 'Monica Zoltanski'
Salt Lake County,West Jordan City Mayor,Dirk Burton,west_jordan,voting,2026,2026-01-22 minutes member table,high,repo entity west_jordan
Salt Lake County,Taylorsville City Mayor,Kristie Overson,taylorsville,voting,2026,2026-01-22 minutes member table,high,repo entity taylorsville
Tooele County,Tooele County Councilmember,Scott Wardle,,voting,2026,2026-01-22 minutes member table,high,external jurisdiction
Weber County,Weber County Commissioner,Gage Froerer,,voting,2026,2026-01-22 minutes member table,high,external jurisdiction
Weber County,Weber County Commissioner,Jim Harvey,,voting,2026,2026-01-22 minutes member table,high,external; frequent mover
Weber County,Hooper City Mayor,Sheri Bingham,,voting,2026,2026-01-22 minutes member table,medium,external; Weber seat (2025 held by Roy/Robert Dandoy)
Weber County,Ogden City Mayor,Ben Nadolski,ogden,voting,2026,2026-01-22 minutes member table,high,repo person ogden 'Ben Nadolski'
UDOT,UDOT Executive Director,Carlos Braceras,,voting,2025,2025-10-23 minutes member table,medium,state agency; 2026 member table column-garbled — name carried from Oct 2025
UTA,UTA Board Trustee,Carlton Christensen,,voting,2025,2025-10-23 minutes member table,medium,transit agency; 2026 member table column-garbled
UTA,UTA Board Trustee,Beth Holbrook,,voting,2025,2025-10-23 minutes member table,medium,transit agency; second UTA trustee
Non-voting appointment,Utah Association of Counties,Lorene Kamalu,,non-voting,2025,2025-10-23 minutes member table,medium,Davis Co Commissioner; RGC Vice Chair
Non-voting appointment,Utah League of Cities and Towns,Troy Walker,draper,non-voting,2025,2025-10-23 minutes member table,medium,repo person draper 'Troy Walker' (Draper City Mayor)
Non-voting appointment,Envision Utah,Jason Brown,,non-voting,2025,2025-10-23 minutes member table,medium,Interim Executive Director
Non-voting appointment,Utah State Senate,Wayne Harper,,non-voting,2025,2025-10-23 minutes member table,medium,state legislator
Non-voting appointment,Utah State House of Representatives,Ariel Defay,,non-voting,2025,2025-10-23 minutes member table,medium,state legislator
Non-voting appointment,Governor's Office of Planning and Budget,Laura Hanson,,non-voting,2025,2025-10-23 minutes member table,medium,UT State Planning Director
