_YT38atReN4|2026 7 9 Planning Commission Meeting|1520.0
wTjmI6zMgXI|2026 7 8 City Council Work Meeting|560.0
SLCuRD9Kis0|2026 7 8 City Council Regular Meeting|2125.0
3crgewmtI10|2026 7 6 Civilian Review Board Meeting|1524.0
2yJ_8ozLGrI|2026 6 18 Planning Commission Meeting|2027.0
fBsFV0b7DuM|2026 6 17 City Council Regular Meeting|4613.0
2anYE4ZoNSQ|2026 6 17 Redevelopment Agency Meeting|154.0
r7zzWkfddEQ|2026 6 10 City Council Regular Meeting|4777.0
pYQbRfW3bWc|2026 6 10 City Council Work Meeting|76.0
tmFn2p9icGU|2026 6 10 Redevelopment Agency Meeting|875.0
iIuDx7wVANg|2026 6 4 Planning Commission Meeting|6702.0
k-Zba5oL8mU|2026 6 1 Civilian Review Board Meeting|1758.0
uhtCCeTRMpo|2026 5 27 City Council Regular Meeting|6250.0
QqW7mT8AeHw|2026 5 27 City Council Work Meeting|1194.0
shFIChfD7kA|2026 5 27 Redevelopment Agency Meeting|724.0
odRGk29MhkE|2026 5 13 City Council Regular Meeting|7480.0
F6BVCYzg-ok|2026 5 13 City Council Work Meeting|1207.0
UrU8Riu4d3o|2026 5 7 Planning Commission Meeting|5678.0
JLf0lxp93SU|2026 5 4 Civilian Review Board Meeting|2239.0
0DabgA_vaOw|2026 4 29 City Council Regular Meeting|3173.0
v-igSa17EDQ|2026 4 29 City Council Work Meeting|912.0
OWLa0Tmp8PQ|2026 4 15 City Council Regular Meeting|2238.0
-d9TeSvLOUE|2026 4 15 City Council Work Meeting|1864.0
bE83DPFg8W8|2026 4 6 Civilian Review Board|1082.0
V4hO1lCrwZM|2026 3 25 City Council Regular Meeting|2734.0
WoJhote6jcg|2026 3 25 City Council Work Meeting|3127.0
MwV7bAvE2Lo|South Salt Lake State of the City Address 2026|3287.0
F4q4j2JqbSk|2026 3 11 City Council Regular Meeting|2452.0
Z2l9hmDX0ag|2026 3 11 City Council Work Meeting|2619.0
7Ge0_AQPj7E|2026 3 5 Planning Commission Meeting|1137.0
htPxmo0z23c|2026 3 2 Civilian Review Board Meeting|2354.0
rAejFNVJ0Fk|2026 2 25 City Council Regular Meeting|2141.0
vyR7q55-1ws|2026 2 25 City Council Work Meeting|3527.0
x9EFzjdRkH8|2026 2 19 Planning Commission Meeting|1436.0
GOV17UdFqpg|2025 South Salt Lake Events Recap|67.0
eodDhnlmAAU|2026 2 11 City Council Regular Meeting|3244.0
r2WFj0Adt_A|2026 2 11 City Council Work Meeting|1392.0
aiWEkwHPX8c|2026 2 5 Planning Commission Meeting|4561.0
dN0feFG4b9A|2026 2 2 Civilian Review Board Meeting|2139.0
V--d2fIrYxI|2026 1 28 City Council Regular Meeting|3063.0
hqf_yXS3ml4|2026 1 28 City Council Work Meeting|3281.0
Gl-GfiduAoE|2026 1 15 Planning Commission Meeting|5029.0
B0AI_aMJ4xs|2026 1 14 City Council Regular Meeting|2356.0
pxEGwOnODjQ|2026 1 14 City Council Work Meeting|3813.0
DBvGMqmNZus|2026 1 14 Redevelopment Agency Meeting|273.0
betxRh56X3g|2026 1 5 Civilian Review Board Meeting|2545.0
y3Jd5_EV3Ws|2025 12 10 City Council Regular Meeting|2989.0
iL6_MHCRpYk|2025 12 10 City Council Work Meeting|2477.0
nUSxOZMThn8|2025 12 10 Redevelopment Agency Meeting|329.0
6a2O564_jOQ|2025 12 4 Planning Commission Work Meeting|4903.0
MSnHxOkFqo0|2025 12 1 Civilian Review Board Meeting|405.0
N_UtskzTyhQ|Craftoberfest 2025|110.0
Equ3ZgcoTdY|2025 11 18 Board of Canvassers|201.0
IUBJKf8HtNA|2025 11 12 City Council Regular Meeting|1991.0
SUAciiXgh60|2025 11 12 City Council Work Meeting|470.0
JOwYy5hDdfA|2025 11 12 Redevelopment Agency Meeting|1065.0
kaTKWcxPJ4I|South Salt Lake Halloween Events|140.0
1pGBcbOipGQ|2025 11 6 Planning Commission|2079.0
y2tTxoyt28Y|2025 11 3 Civilian Review Board Meeting|342.0
kldbdxvd34Y|2025 10 29 City Council Regular Meeting|1959.0
rzzU_jtBZLM|2025 10 29 City Council Work Meeting|3488.0
hBHPB8DiJJY|Celebrate South Salt Lake 2025|117.0
sw5RezbFQ1k|2025 10 26 Planning Commission Meeting|3004.0
Bx6pAPIyb3g|2025 10 15 Regular City Council Meeting|2597.0
O2p5jchzTX8|2025 10 15 City Council Work Meeting|560.0
FMhKOtwEZM4|2025 10 2 Planning Commission Meeting|2249.0
AY6mmSOaoUk|2025 10 6 Civilian Review Board Meeting|266.0
cxzncQfBWZI|South Salt Lake MURAL FEST 2025|257.0
yLp7SolbjfE|2025 9 10 Regular City Council Meeting|722.0
ydRf_cZ4P-U|2025 9 8 Civilian Review Board Meeting|402.0
J83pKhYQsOo|Millcreek and Meadowbrook Station Area Plan Open House|3026.0
R5yY8ieQ_M0|2025 8 27 City Council Regular Meeting|2177.0
KAkd41T_2k8|2025 8 27 Redevelopment Agency Meeting|2757.0
qBFxSvhyaMc|Freedom Fest 4th of July Parade and Celebration|115.0
m73wa3vgde0|2025 8 13 City Council Regular Meeting|2485.0
GHJSjFt4bMI|2025 8 13 City Council Work Meeting|2606.0
pHrR9PQRAiU|2025 8 7 Planning Commission Meeting|1105.0
