date,title,body,video_url,video_id,caption_type,source_url,retrieved_date,format,extraction_method,path,platform,meeting_kind,date_source,duration_s
2022-12-05,2022-12-5 Civilian Review Board Meeting,CivilianReviewBoard,https://www.youtube.com/watch?v=sJvqmKcICkc,sJvqmKcICkc,asr,https://www.youtube.com/watch?v=sJvqmKcICkc,2026-07-13,caption,"yt-dlp --list-subs (android client): en ASR track available, not fetched (sample-only)",,youtube,CRB,title,1129.0
2022-12-14,2022-12-14 Regular Council Meeting,CityCouncil,https://www.youtube.com/watch?v=4KYj2b3CyD8,4KYj2b3CyD8,asr,https://www.youtube.com/watch?v=4KYj2b3CyD8,2026-07-13,caption,"yt-dlp --list-subs (android client): en ASR track available, not fetched (sample-only)",,youtube,RC,title,1593.0
2023-02-06,2023-2-6 Civilian Review Board Meeting,CivilianReviewBoard,https://www.youtube.com/watch?v=8WenZnbv8ik,8WenZnbv8ik,asr,https://www.youtube.com/watch?v=8WenZnbv8ik,2026-07-13,caption,"yt-dlp --list-subs (android client): en ASR track available, not fetched (sample-only)",,youtube,CRB,title,3733.0
2023-02-16,2023-2-16 Planning Commission Meeting,PlanningCommission,https://www.youtube.com/watch?v=3AN0FNVynxo,3AN0FNVynxo,asr,https://www.youtube.com/watch?v=3AN0FNVynxo,2026-07-13,caption,"yt-dlp --list-subs (android client): en ASR track available, not fetched (sample-only)",,youtube,PC,title,1342.0
2023-02-22,2023-2-22 Regular Council Meeting,CityCouncil,https://www.youtube.com/watch?v=yxxNh35IcuI,yxxNh35IcuI,asr,https://www.youtube.com/watch?v=yxxNh35IcuI,2026-07-13,caption,"yt-dlp --list-subs (android client): en ASR track available, not fetched (sample-only)",,youtube,RC,title,2488.0
2023-03-06,2023-3-6 Civilian Review Board Meeting,CivilianReviewBoard,https://www.youtube.com/watch?v=Kb44t7pWL3g,Kb44t7pWL3g,asr,https://www.youtube.com/watch?v=Kb44t7pWL3g,2026-07-13,caption,"yt-dlp --list-subs (android client): en ASR track available, not fetched (sample-only)",,youtube,CRB,title,1824.0
2023-03-22,2023-3-22 Regular Council Meeting,CityCouncil,https://www.youtube.com/watch?v=nkHasHCueKk,nkHasHCueKk,asr,https://www.youtube.com/watch?v=nkHasHCueKk,2026-07-13,caption,"yt-dlp --list-subs (android client): en ASR track available, not fetched (sample-only)",,youtube,RC,title,4325.0
2023-04-12,2023-4-12 Regular Council Meeting,CityCouncil,https://www.youtube.com/watch?v=cpzR9KcPp8w,cpzR9KcPp8w,asr,https://www.youtube.com/watch?v=cpzR9KcPp8w,2026-07-13,caption,"yt-dlp --list-subs (android client): en ASR track available, not fetched (sample-only)",,youtube,RC,title,5257.0
2023-04-20,2023-4-20 Planning Commission Work Meeting,PlanningCommission,https://www.youtube.com/watch?v=MEpKIfHM5cA,MEpKIfHM5cA,asr,https://www.youtube.com/watch?v=MEpKIfHM5cA,2026-07-13,caption,"yt-dlp --list-subs (android client): en ASR track available, not fetched (sample-only)",,youtube,PC,title,2306.0
2023-05-01,2023-5-1 Civilian Review Board Meeting,CivilianReviewBoard,https://www.youtube.com/watch?v=jdx6Sxmu-7A,jdx6Sxmu-7A,asr,https://www.youtube.com/watch?v=jdx6Sxmu-7A,2026-07-13,caption,"yt-dlp --list-subs (android client): en ASR track available, not fetched (sample-only)",,youtube,CRB,title,1350.0
