file,sidecar,chars,format,extraction_method
2012-O-01.pdf,2012-O-01.txt,10393,text,pdftotext -layout
2012-O-02.pdf,2012-O-02.txt,16419,text,pdftotext -layout
2012-O-03.pdf,2012-O-03.txt,12330,text,pdftotext -layout
2012-O-04.pdf,2012-O-04.txt,9436,text,pdftotext -layout
2012-O-05.pdf,2012-O-05.txt,24371,text,pdftotext -layout
2012-O-06.pdf,2012-O-06.txt,18497,text,pdftotext -layout
2012-O-07.pdf,2012-O-07.txt,11945,text,pdftotext -layout
2012-O-08.pdf,2012-O-08.txt,17369,text,pdftotext -layout
2012-O-09.pdf,2012-O-09.txt,50523,text,pdftotext -layout
2012-O-10.pdf,2012-O-10.txt,18408,text,pdftotext -layout
2012-O-11.pdf,2012-O-11.txt,10317,text,pdftotext -layout
2012-O-12.pdf,2012-O-12.txt,135454,text,pdftotext -layout
2012-O-13.pdf,2012-O-13.txt,11133,text,pdftotext -layout
2012-O-14.pdf,2012-O-14.txt,9400,text,pdftotext -layout
2012-O-15.pdf,2012-O-15.txt,15114,text,pdftotext -layout
2012-O-16.pdf,2012-O-16.txt,26397,text,pdftotext -layout
2012-O-17.pdf,2012-O-17.txt,17762,text,pdftotext -layout
2012-O-18.pdf,2012-O-18.txt,7397,scanned,tesseract 5 OCR @300dpi (5pg)
2012-O-19.pdf,2012-O-19.txt,5636,scanned,tesseract 5 OCR @300dpi (4pg)
2013-O-01.pdf,2013-O-01.txt,22598,scanned,tesseract 5 OCR @300dpi (12pg)
2013-O-02.pdf,2013-O-02.txt,7500,scanned,tesseract 5 OCR @300dpi (4pg)
2013-O-03.pdf,2013-O-03.txt,5729,scanned,tesseract 5 OCR @300dpi (4pg)
2013-O-04.pdf,2013-O-04.txt,121351,text,pdftotext -layout
2013-O-05.pdf,2013-O-05.txt,2919,text,pdftotext -layout
2013-O-06.pdf,2013-O-06.txt,3935,text,pdftotext -layout
2013-O-07.pdf,2013-O-07.txt,6249,text,pdftotext -layout
2013-O-08.pdf,2013-O-08.txt,40004,text,pdftotext -layout
2013-O-09.pdf,2013-O-09.txt,5353,text,pdftotext -layout
2013-O-10.pdf,2013-O-10.txt,7327,text,pdftotext -layout
2013-O-11.pdf,2013-O-11.txt,4436,text,pdftotext -layout
2013-O-12.pdf,2013-O-12.txt,6177,text,pdftotext -layout
2013-O-13.pdf,2013-O-13.txt,4629,scanned,tesseract 5 OCR @300dpi (3pg)
2014-O-01.pdf,2014-O-01.txt,5484,scanned,tesseract 5 OCR @300dpi (3pg)
2014-O-02.pdf,2014-O-02.txt,6782,text,pdftotext -layout
2014-O-03.pdf,2014-O-03.txt,9573,text,pdftotext -layout
2014-O-04.pdf,2014-O-04.txt,10620,text,pdftotext -layout
2014-O-05.pdf,2014-O-05.txt,4827,text,pdftotext -layout
2014-O-06.pdf,2014-O-06.txt,5825,text,pdftotext -layout
2014-O-07.pdf,2014-O-07.txt,45215,text,pdftotext -layout
2014-O-08.pdf,2014-O-08.txt,3288,text,pdftotext -layout
2014-O-09.pdf,2014-O-09.txt,11883,text,pdftotext -layout
2014-O-10.pdf,2014-O-10.txt,15444,text,pdftotext -layout
2015-O-01.pdf,2015-O-01.txt,23403,text,pdftotext -layout
2015-O-02.pdf,2015-O-02.txt,2920,text,pdftotext -layout
2015-O-03.pdf,2015-O-03.txt,9644,text,pdftotext -layout
2015-O-04.pdf,2015-O-04.txt,10725,text,pdftotext -layout
2015-O-05.pdf,2015-O-05.txt,10831,text,pdftotext -layout
2015-O-06.pdf,2015-O-06.txt,9247,text,pdftotext -layout
2015-O-07.pdf,2015-O-07.txt,12596,text,pdftotext -layout
2015-O-08.pdf,2015-O-08.txt,7761,text,pdftotext -layout
