precinct,district,source_year,method,official_centroid_district,agrees
MUR001,1,2023,district_contest_precinct_rows,1,yes
MUR002,3,2023,district_contest_precinct_rows,3,yes
MUR003,1,2023,district_contest_precinct_rows,1,yes
MUR004,1,2023,district_contest_precinct_rows,1,yes
MUR005,3,2023,district_contest_precinct_rows,3,yes
MUR006,3,2023,district_contest_precinct_rows,3,yes
MUR007,3,2023,district_contest_precinct_rows,3,yes
MUR008,1,2023,district_contest_precinct_rows,1,yes
MUR009,3,2023,district_contest_precinct_rows,3,yes
MUR010,3,2023,district_contest_precinct_rows,3,yes
MUR011,3,2023,district_contest_precinct_rows,3,yes
MUR012,3,2023,district_contest_precinct_rows,3,yes
MUR013,1,2023,district_contest_precinct_rows,1,yes
MUR014,2,2025,district_contest_precinct_rows,2,yes
MUR015,4,2025,district_contest_precinct_rows,4,yes
MUR016,4,2025,district_contest_precinct_rows,4,yes
MUR017,5,2023,district_contest_precinct_rows,5,yes
MUR018,3,2023,district_contest_precinct_rows,3,yes
MUR019,3,2023,district_contest_precinct_rows,3,yes
MUR020,2,2025,district_contest_precinct_rows,2,yes
MUR021,2,2025,district_contest_precinct_rows,2,yes
MUR022,2,2025,district_contest_precinct_rows,2,yes
MUR023,5,2023,district_contest_precinct_rows,5,yes
MUR024,5,2023,district_contest_precinct_rows,5,yes
MUR025,4,2025,district_contest_precinct_rows,4,yes
MUR026,4,2025,district_contest_precinct_rows,4,yes
MUR027,2,2025,district_contest_precinct_rows,2,yes
MUR028,5,2023,district_contest_precinct_rows,5,yes
MUR029,2,2025,district_contest_precinct_rows,2,yes
MUR030,2,2025,district_contest_precinct_rows,2,yes
MUR031,2,2025,district_contest_precinct_rows,2,yes
MUR032,5,2023,district_contest_precinct_rows,5,yes
MUR033,5,2023,district_contest_precinct_rows,5,yes
MUR034,5,2023,district_contest_precinct_rows,5,yes
MUR035,5,2023,district_contest_precinct_rows,5,yes
MUR036,5,2023,district_contest_precinct_rows,5,yes
MUR037,4,2025,district_contest_precinct_rows,4,yes
MUR038,3,2023,district_contest_precinct_rows,3,yes
MUR039,5,2023,district_contest_precinct_rows,5,yes
MUR040,5,2023,district_contest_precinct_rows,5,yes
MUR041,4,2025,district_contest_precinct_rows,4,yes
MUR042,1,2023,district_contest_precinct_rows,1,yes
MUR043,1,2023,district_contest_precinct_rows,1,yes
MUR044,2,2025,district_contest_precinct_rows,2,yes
MUR045,5,2023,district_contest_precinct_rows,5,yes
MUR046,2,2025,district_contest_precinct_rows,2,yes
MUR047,1,2023,district_contest_precinct_rows,1,yes
MUR048,2,2025,district_contest_precinct_rows,2,yes
MUR049,4,2025,district_contest_precinct_rows,4,yes
MUR050,3,2023,district_contest_precinct_rows,3,yes
MUR051,4,2025,district_contest_precinct_rows,4,yes
MUR052,3,2023,district_contest_precinct_rows,3,yes
MUR053,3,2023,district_contest_precinct_rows,,no_geometry
