member,first_seen,last_seen,n_votes
Brett Hales,2020-01-07,2021-12-07,190
Dale Cox,2020-01-07,2021-12-07,195
Diane Turner,2020-01-07,2026-06-16,658
Kat Martinez,2020-01-07,2022-11-01,303
Rosalba Dominguez,2020-01-07,2024-12-03,488
Pamela Cotter,2022-01-04,2026-06-16,480
Garry Hrechkosy,2022-02-01,2023-12-06,207
Philip Markham,2023-01-10,2023-06-27,64
David Rodgers,2023-08-22,2023-12-06,32
Adam Hock,2024-01-02,2026-06-16,260
Paul Pickett,2024-01-02,2026-06-16,221
Scott Goodman,2025-01-21,2025-11-25,89
Clark Bullen,2026-01-06,2026-06-16,56
