adid,date,title,filename,url,bytes,sha256,is_pdf
4881,2020-01-07,"January 7, 2020 City Council Meeting Minutes",2020-01-07_january_7_2020_city_council_meeting_minutes_adid4881.pdf,https://www.murray.utah.gov/Archive/ViewFile/Item/4881,1139281,12025aeeabf8eea6f617ec342944491b875f9c394d4e4c356ac1719e062a61c6,True
4911,2020-01-21,"January 21, 2020 City Council Meeting Minutes",2020-01-21_january_21_2020_city_council_meeting_minutes_adid4911.pdf,https://www.murray.utah.gov/Archive/ViewFile/Item/4911,343101,cecef6b0f03929139d9ccdcfd8345ba04476eb7b36d697155adfa36d6b8d1dd6,True
4931,2020-02-18,"February 18, 2020 City Council Meeting Minutes",2020-02-18_february_18_2020_city_council_meeting_minutes_adid4931.pdf,https://www.murray.utah.gov/Archive/ViewFile/Item/4931,140471,00c692826d0c19437c91cb9239885ea12afa1515be36871f742499bec9a023a5,True
4952,2020-03-03,"March 3, 2020 City Council Meeting Minutes",2020-03-03_march_3_2020_city_council_meeting_minutes_adid4952.pdf,https://www.murray.utah.gov/Archive/ViewFile/Item/4952,4925391,4188c406b004bf51e601d2330fd26ab5d8463f784191b9d5403bccf5c70020e6,True
4970,2020-03-17,"March 17, 2020 City Council Meeting Minutes",2020-03-17_march_17_2020_city_council_meeting_minutes_adid4970.pdf,https://www.murray.utah.gov/Archive/ViewFile/Item/4970,2168705,96f3a5721a6527fdd69ed96c0209a87bef6366e139992651dbd8214c1102bcce,True
4995,2020-04-07,"April 7, 2020 City Council Meeting Minutes",2020-04-07_april_7_2020_city_council_meeting_minutes_adid4995.pdf,https://www.murray.utah.gov/Archive/ViewFile/Item/4995,272704,ea48460631b1eb462fbce31047794f5263d0b986da18e44c6318ca6ba66cfe3e,True
5014,2020-04-21,"April 21, 2020 City Council Meeting Minutes",2020-04-21_april_21_2020_city_council_meeting_minutes_adid5014.pdf,https://www.murray.utah.gov/Archive/ViewFile/Item/5014,882593,b8358deedc3a7d0aedc845e15517c1e41274a93f77c883d4770af39ce8c25037,True
5040,2020-05-05,"May 5, 2020 City Council Meeting Minutes",2020-05-05_may_5_2020_city_council_meeting_minutes_adid5040.pdf,https://www.murray.utah.gov/Archive/ViewFile/Item/5040,181922,9a497248f6590130436e6ac8be7426171806e8403f2feb42c581a5bbcbc577a8,True
5054,2020-05-19,"May 19, 2020 City Council Meeting Minutes",2020-05-19_may_19_2020_city_council_meeting_minutes_adid5054.pdf,https://www.murray.utah.gov/Archive/ViewFile/Item/5054,3511091,585f468c685e1f9538139bebafafb0fdfe890c8e217c2a26aab4df634666c504,True
5078,2020-06-02,"June 2, 2020 City Council Meeting Minutes",2020-06-02_june_2_2020_city_council_meeting_minutes_adid5078.pdf,https://www.murray.utah.gov/Archive/ViewFile/Item/5078,2656825,9579eafd9e2012b8c011764bd13e0e9f4b30bfdb11b7e74bc8cf61cadd4a3adf,True
5100,2020-06-16,"June 16, 2020 City Council Meeting Minutes",2020-06-16_june_16_2020_city_council_meeting_minutes_adid5100.pdf,https://www.murray.utah.gov/Archive/ViewFile/Item/5100,223040,01a77c1b04222f59e3d0f410e1f717fe2ceec25dff1f53811798e040975b2c0e,True
5119,2020-07-07,"July 7, 2020 City Council Meeting Minutes",2020-07-07_july_7_2020_city_council_meeting_minutes_adid5119.pdf,https://www.murray.utah.gov/Archive/ViewFile/Item/5119,152301,67b959f3cd99cde8e371eb844dc58f304b00d13f6824a2a2179c71837c928059,True
5140,2020-07-21,"July 21, 2020 City Council Meeting Minutes",2020-07-21_july_21_2020_city_council_meeting_minutes_adid5140.pdf,https://www.murray.utah.gov/Archive/ViewFile/Item/5140,206608,6e83b31f634c11597d5902455496563176da1944743cd3139087d27803ccf49b,True
5171,2020-08-04,"August 4, 2020 City Council Meeting Minutes",2020-08-04_august_4_2020_city_council_meeting_minutes_adid5171.pdf,https://www.murray.utah.gov/Archive/ViewFile/Item/5171,401624,14c45d5a2a5a827dba13cef53a04bf14145f46ac4c087326dd01ca2d61da47d7,True
5200,2020-08-25,"August 25, 2020 City Council Meeting Minutes",2020-08-25_august_25_2020_city_council_meeting_minutes_adid5200.pdf,https://www.murray.utah.gov/Archive/ViewFile/Item/5200,222929,9fc25c0d53f34093434e23a5ad0752319d32e97daf1109e2edf4490d05f854ec,True
5201,2020-09-01,"September 1, 2020 City Council Meeting Minutes",2020-09-01_september_1_2020_city_council_meeting_minutes_adid5201.pdf,https://www.murray.utah.gov/Archive/ViewFile/Item/5201,164530,808cd21b8916a5082952f4138bbbe05f32e6adaa7116eb9f14fed962c191c46f,True
5221,2020-09-15,"September 15, 2020 City Council Meeting Minutes",2020-09-15_september_15_2020_city_council_meeting_minutes_adid5221.pdf,https://www.murray.utah.gov/Archive/ViewFile/Item/5221,223136,b95801d94fd88f343723e55c18ac4ac08eb1af6ee6010c65b9bd0f1dbd2295cc,True
5243,2020-10-06,"October 6, 2020 City Council Meeting Minutes",2020-10-06_october_6_2020_city_council_meeting_minutes_adid5243.pdf,https://www.murray.utah.gov/Archive/ViewFile/Item/5243,192627,224e530694bd7f0db9799a3bca797eaa8c71956a5bd380a5e96b713b71d6ef59,True
5285,2020-10-20,"October 20, 2020 City Council Meeting Minutes",2020-10-20_october_20_2020_city_council_meeting_minutes_adid5285.pdf,https://www.murray.utah.gov/Archive/ViewFile/Item/5285,877999,afedf9177bf33a20c63ec9b3c814410c3969843571f52a7e08bb4beed3ca4f92,True
5323,2020-11-10,"November 10, 2020 City Council Meeting Minutes",2020-11-10_november_10_2020_city_council_meeting_minutes_adid5323.pdf,https://www.murray.utah.gov/Archive/ViewFile/Item/5323,182955,1b3f13ef026420d500e1d24a1969bc0db0dcf2b325bf0bb17fbcad9d43a473c9,True
5324,2020-11-17,"November 17, 2020 City Council Meeting Minutes",2020-11-17_november_17_2020_city_council_meeting_minutes_adid5324.pdf,https://www.murray.utah.gov/Archive/ViewFile/Item/5324,211180,cf7f917d4f98cbd3cbd89ca1bffce6c6463dfc116df08adeb82aacb7bf8e6f2e,True
5356,2020-12-01,"December 1, 2020 City Council Meeting Minutes",2020-12-01_december_1_2020_city_council_meeting_minutes_adid5356.pdf,https://www.murray.utah.gov/Archive/ViewFile/Item/5356,2096095,6649632c16f6d2f2e8cc7e35abe3219066319af9e07d1c7ae76471dd9ec92b0a,True
5357,2020-12-08,"December 8, 2020 City Council Meeting Minutes",2020-12-08_december_8_2020_city_council_meeting_minutes_adid5357.pdf,https://www.murray.utah.gov/Archive/ViewFile/Item/5357,202152,c5db6faf72107a7560194d5623176762ff9f7e1478ee9e950a6dcc5544517cfd,True
5413,2021-01-05,"January 5, 2021 City Council Meeting Minutes",2021-01-05_january_5_2021_city_council_meeting_minutes_adid5413.pdf,https://www.murray.utah.gov/Archive/ViewFile/Item/5413,173163,3a8a8f1845195bccaef5c692e547bb0fa77decd90d5c90bc1619af8860c130e0,True
5437,2021-01-19,"January 19, 2021 City Council Meeting Minutes",2021-01-19_january_19_2021_city_council_meeting_minutes_adid5437.pdf,https://www.murray.utah.gov/Archive/ViewFile/Item/5437,207190,e34bf989961750d16a49865788f3836f740d73aadfe6d09568e08aa062cbc37b,True
5466,2021-02-02,"February 2, 2021 City Council Meeting Minutes",2021-02-02_february_2_2021_city_council_meeting_minutes_adid5466.pdf,https://www.murray.utah.gov/Archive/ViewFile/Item/5466,1842763,cace153794658dbc3528daa00c5c32e32c62c8f9ed9f5fd0691d96da840df42f,True
5467,2021-02-16,"February 16, 2021 City Council Meeting Minutes",2021-02-16_february_16_2021_city_council_meeting_minutes_adid5467.pdf,https://www.murray.utah.gov/Archive/ViewFile/Item/5467,11024057,e328b726ac2a84dc0517881c5bc22cbaab8af61d2fcc5ea169d20f1173c33c33,True
5493,2021-03-02,"March 2, 2021 City Council Meeting Minutes",2021-03-02_march_2_2021_city_council_meeting_minutes_adid5493.pdf,https://www.murray.utah.gov/Archive/ViewFile/Item/5493,154727,bd96dee1d4bb24daad64a4f715abe94176a40d1bfdc0804619bbd81039caa5ac,True
5494,2021-03-16,"March 16, 2021 City Council Meeting Minutes",2021-03-16_march_16_2021_city_council_meeting_minutes_adid5494.pdf,https://www.murray.utah.gov/Archive/ViewFile/Item/5494,149638,e5c05fb1eed2bdeb5b9239868d3c325ea929da824799e066bffbfb0e2e595727,True
5511,2021-04-06,"April 6, 2021 City Council Meeting Minutes",2021-04-06_april_6_2021_city_council_meeting_minutes_adid5511.pdf,https://www.murray.utah.gov/Archive/ViewFile/Item/5511,178910,0d2a2e1d55ad3edef90f5121da6f84401258b25b5e622e9ec6dff3e46ab596c3,True
5548,2021-04-20,"April 20, 2021 City Council Meeting Minutes",2021-04-20_april_20_2021_city_council_meeting_minutes_adid5548.pdf,https://www.murray.utah.gov/Archive/ViewFile/Item/5548,968218,049e2911a86139d347751899a68673b638016a73b8bc2c208bde7c0a9099e2b5,True
5595,2021-05-18,"May 18, 2021 City Council Meeting Minutes",2021-05-18_may_18_2021_city_council_meeting_minutes_adid5595.pdf,https://www.murray.utah.gov/Archive/ViewFile/Item/5595,300940,7769418cc3dabfeb4beaab5ffdbd382a9bfa8023bfb4f688607ef65e1cb2dc74,True
5618,2021-06-01,"June 1, 2021 City Council Meeting Minutes",2021-06-01_june_1_2021_city_council_meeting_minutes_adid5618.pdf,https://www.murray.utah.gov/Archive/ViewFile/Item/5618,806360,6f33ee87e7c855bb226aaac35c9b59c7ed382daec293dcd51025ab80f04dfe94,True
5619,2021-06-15,"June 15, 2021 City Council Meeting Minutes",2021-06-15_june_15_2021_city_council_meeting_minutes_adid5619.pdf,https://www.murray.utah.gov/Archive/ViewFile/Item/5619,2827788,992a1e8a152a695eeafed91f1204cf0b7c17067ec4a69b0358200361bd515f64,True
5693,2021-07-06,"July 6, 2021 City Council Meeting Minutes",2021-07-06_july_6_2021_city_council_meeting_minutes_adid5693.pdf,https://www.murray.utah.gov/Archive/ViewFile/Item/5693,1298933,4657d6a99a68acbd181d1c2b5d5be88b3c7c454499275d9aebfe39d3a776b1bf,True
5694,2021-07-20,"July 20, 2021 City Council Meeting Minutes",2021-07-20_july_20_2021_city_council_meeting_minutes_adid5694.pdf,https://www.murray.utah.gov/Archive/ViewFile/Item/5694,1417427,44116db4f5a6bc49905ce92bea10bf3f3e7f91bcacbbd59e4b78e4ca61c81847,True
5727,2021-08-24,"August 24, 2021 City Council Meeting Minutes",2021-08-24_august_24_2021_city_council_meeting_minutes_adid5727.pdf,https://www.murray.utah.gov/Archive/ViewFile/Item/5727,179966,9e514ad6cbe8e218ef1bd523aca1784f20aa07c5bd5f05e0ad08422bf470393c,True
5728,2021-09-07,"September 7, 2021 City Council Meeting Minutes",2021-09-07_september_7_2021_city_council_meeting_minutes_adid5728.pdf,https://www.murray.utah.gov/Archive/ViewFile/Item/5728,1248790,3d554ffc74d46923568f3c34e6fc4064987b22900afaae51fbbad9dedc694fdc,True
5777,2021-09-21,"September 21, 2021 City Council Meeting Minutes",2021-09-21_september_21_2021_city_council_meeting_minutes_adid5777.pdf,https://www.murray.utah.gov/Archive/ViewFile/Item/5777,826956,d984421e45d9df47f1ab07fc8297ab7538c80962127c2c430ff9616245d01975,True
5778,2021-10-05,"October 5, 2021 City Council Meeting Minutes",2021-10-05_october_5_2021_city_council_meeting_minutes_adid5778.pdf,https://www.murray.utah.gov/Archive/ViewFile/Item/5778,128351,c5e0cb54ea7b65d47cf01c5927b38a5a9051cf8f42cf66dfa2750bd858efd20c,True
5818,2021-10-19,"October 19, 2021 City Council Meeting Minutes",2021-10-19_october_19_2021_city_council_meeting_minutes_adid5818.pdf,https://www.murray.utah.gov/Archive/ViewFile/Item/5818,1335054,c7f3a59b995d9b1e9616fb87cfa269290a88f401ed1b05c0a1f34775eae950a5,True
5843,2021-11-16,"November 16, 2021 City Council Meeting Minutes",2021-11-16_november_16_2021_city_council_meeting_minutes_adid5843.pdf,https://www.murray.utah.gov/Archive/ViewFile/Item/5843,860533,62835bc7db1bc4901f8705787aeaa569e5d22b55f70c7ca68c091a56e8196127,True
