week_ending,period_start,n_comments,n_meetings,n_motions,n_contested,meeting_types
2020-01-07,2020-01-01,0,1,6,0,city council regular meeting
2020-01-21,2020-01-15,0,0,8,0,
2020-02-04,2020-01-29,0,1,9,0,city council regular meeting
2020-02-18,2020-02-12,0,1,8,1,city council regular meeting
2020-03-03,2020-02-26,0,1,10,0,city council regular meeting
2020-03-24,2020-03-18,0,1,9,1,city council regular meeting
2020-04-14,2020-04-08,0,1,0,0,city council budget retreat
2020-04-21,2020-04-15,0,1,11,0,city council regular meeting
2020-04-28,2020-04-22,0,1,3,0,city council special meeting
2020-05-05,2020-04-29,0,1,19,1,city council regular meeting
2020-05-19,2020-05-13,0,1,10,0,city council regular meeting
2020-06-02,2020-05-27,0,1,14,2,city council regular meeting
2020-06-16,2020-06-10,0,1,4,0,city council regular meeting
2020-06-30,2020-06-24,0,1,5,2,city council regular meeting
2020-07-07,2020-07-01,0,1,6,1,city council regular meeting
2020-07-21,2020-07-15,0,1,14,0,city council regular meeting
2020-08-04,2020-07-29,0,1,20,1,city council regular meeting
2020-08-11,2020-08-05,0,1,6,0,city council regular meeting
2020-08-18,2020-08-12,0,1,11,1,city council regular meeting
2020-09-01,2020-08-26,0,1,8,1,city council regular meeting
2020-09-15,2020-09-09,0,1,5,0,city council regular meeting
2020-10-06,2020-09-30,0,1,9,0,city council regular meeting
2020-10-20,2020-10-14,0,1,7,0,city council regular meeting
2020-11-10,2020-11-04,0,1,12,0,city council regular meeting
2020-11-17,2020-11-11,0,1,13,0,city council regular meeting
2020-12-01,2020-11-25,0,1,5,0,city council regular meeting
2020-12-08,2020-12-02,0,1,7,0,city council regular meeting
2021-01-05,2020-12-30,0,1,9,0,city council regular meeting
2021-01-19,2021-01-13,0,0,12,0,
2021-02-02,2021-01-27,0,1,3,0,city council regular meeting
2021-02-16,2021-02-10,0,1,8,1,city council regular meeting
2021-03-02,2021-02-24,0,1,11,1,city council regular meeting
2021-03-16,2021-03-10,0,1,3,0,city council regular meeting
2021-04-06,2021-03-31,0,1,32,0,city council regular meeting
