date,year,title,slug,path,source,source_url,format,from_compilation
2020-01-07,2020,City Council Joint Work Session,city-council-joint-work-session,meeting_minutes/minutes/2020/2020-01-06/2020-01-07_city-council-joint-work-session.md,civicplus,https://www.ogdencity.gov/DocumentCenter/View/29304/CC-2020,compilation,Y
2020-01-07,2020,City Council Meeting,city-council-meeting,meeting_minutes/minutes/2020/2020-01-06/2020-01-07_city-council-meeting.md,civicplus,https://www.ogdencity.gov/DocumentCenter/View/29304/CC-2020,compilation,Y
2020-01-07,2020,City Council Meeting,city-council-meeting,meeting_minutes/minutes/2020/2020-01-06/2020-01-07_city-council-meeting-2.md,civicplus,https://www.ogdencity.gov/DocumentCenter/View/29304/CC-2020,compilation,Y
2020-01-14,2020,City Council Joint Work Session,city-council-joint-work-session,meeting_minutes/minutes/2020/2020-01-13/2020-01-14_city-council-joint-work-session.md,civicplus,https://www.ogdencity.gov/DocumentCenter/View/29304/CC-2020,compilation,Y
2020-01-21,2020,City Council Meeting,city-council-meeting,meeting_minutes/minutes/2020/2020-01-20/2020-01-21_city-council-meeting.md,civicplus,https://www.ogdencity.gov/DocumentCenter/View/29304/CC-2020,compilation,Y
2020-01-21,2020,City Council Meeting,city-council-meeting,meeting_minutes/minutes/2020/2020-01-20/2020-01-21_city-council-meeting-2.md,civicplus,https://www.ogdencity.gov/DocumentCenter/View/29304/CC-2020,compilation,Y
2020-01-28,2020,City Council Meeting,city-council-meeting,meeting_minutes/minutes/2020/2020-01-27/2020-01-28_city-council-meeting.md,civicplus,https://www.ogdencity.gov/DocumentCenter/View/29304/CC-2020,compilation,Y
2020-01-28,2020,City Council Meeting,city-council-meeting,meeting_minutes/minutes/2020/2020-01-27/2020-01-28_city-council-meeting-2.md,civicplus,https://www.ogdencity.gov/DocumentCenter/View/29304/CC-2020,compilation,Y
2020-02-04,2020,City Council Meeting,city-council-meeting,meeting_minutes/minutes/2020/2020-02-03/2020-02-04_city-council-meeting.md,civicplus,https://www.ogdencity.gov/DocumentCenter/View/29304/CC-2020,compilation,Y
2020-02-04,2020,City Council Meeting,city-council-meeting,meeting_minutes/minutes/2020/2020-02-03/2020-02-04_city-council-meeting-2.md,civicplus,https://www.ogdencity.gov/DocumentCenter/View/29304/CC-2020,compilation,Y
2020-02-11,2020,City Council Joint Work Session,city-council-joint-work-session,meeting_minutes/minutes/2020/2020-02-10/2020-02-11_city-council-joint-work-session.md,civicplus,https://www.ogdencity.gov/DocumentCenter/View/29304/CC-2020,compilation,Y
2020-02-11,2020,City Council Special Meeting,city-council-special-meeting,meeting_minutes/minutes/2020/2020-02-10/2020-02-11_city-council-special-meeting.md,civicplus,https://www.ogdencity.gov/DocumentCenter/View/29304/CC-2020,compilation,Y
2020-02-18,2020,City Council Meeting,city-council-meeting,meeting_minutes/minutes/2020/2020-02-17/2020-02-18_city-council-meeting.md,civicplus,https://www.ogdencity.gov/DocumentCenter/View/29304/CC-2020,compilation,Y
2020-02-18,2020,City Council Meeting,city-council-meeting,meeting_minutes/minutes/2020/2020-02-17/2020-02-18_city-council-meeting-2.md,civicplus,https://www.ogdencity.gov/DocumentCenter/View/29304/CC-2020,compilation,Y
2020-02-25,2020,City Council Meeting,city-council-meeting,meeting_minutes/minutes/2020/2020-02-24/2020-02-25_city-council-meeting.md,civicplus,https://www.ogdencity.gov/DocumentCenter/View/29304/CC-2020,compilation,Y
2020-02-25,2020,City Council Meeting,city-council-meeting,meeting_minutes/minutes/2020/2020-02-24/2020-02-25_city-council-meeting-2.md,civicplus,https://www.ogdencity.gov/DocumentCenter/View/29304/CC-2020,compilation,Y
2020-03-10,2020,City Council Meeting,city-council-meeting,meeting_minutes/minutes/2020/2020-03-09/2020-03-10_city-council-meeting.md,civicplus,https://www.ogdencity.gov/DocumentCenter/View/29304/CC-2020,compilation,Y
