member,first_seen,last_seen,n_votes
Richard A. Hyer,2020-01-07,2026-05-19,605
Angela Choberka,2020-01-07,2026-05-19,573
Marcia L. White,2020-01-07,2025-12-16,559
Bart E. Blair,2020-01-07,2026-05-19,545
Ken Richey,2022-01-04,2026-05-19,393
Ben Nadolski,2020-01-07,2023-12-19,382
Luis Lopez,2020-01-07,2023-12-19,375
Dave Graf,2024-02-06,2026-05-19,202
Shaun Myers,2024-02-06,2026-05-19,201
Doug Stephens,2020-01-07,2022-01-11,200
Alicia Washington,2026-01-06,2026-05-19,22
Kevin Lundell,2026-01-06,2026-05-19,22
Flor Lopez,2026-01-20,2026-05-19,19
