ordinance_no,adoption_date,date,title,source_url,retrieved_date,format,extraction_method,path,land_use,result,matched_motion_date,matched_motion_no,match_confidence,kind,adoption_date_source,sha256,linkage_note
2012-O-01,,2012-01-01,2012-01,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2012/201201.pdf?t=202309190901290,2026-07-13,text,pdftotext -layout,raw/2012-O-01.pdf,yes,,,,none,ordinance,year-only,1c01991fcd7d13de8055d0c290f6f6d9a381e6529d4806fa4eddd7646c40046a,
2012-O-02,,2012-01-01,2012-02,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2012/201202.pdf?t=202309190901290,2026-07-13,text,pdftotext -layout,raw/2012-O-02.pdf,yes,,,,none,ordinance,year-only,2c4a4243423778c2c4b8086eab6f533e1ec278125d3de7a069dc2d1b1327b0d4,
2012-O-03,,2012-01-01,2012-03,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2012/201203.pdf?t=202309190901290,2026-07-13,text,pdftotext -layout,raw/2012-O-03.pdf,yes,,,,none,ordinance,year-only,7f6ebdfaed390219b2da0c1d34e6700edf79a86c4905aad9593587ed1734dce5,
2012-O-04,,2012-01-01,2012-04,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2012/201204.pdf?t=202309190901290,2026-07-13,text,pdftotext -layout,raw/2012-O-04.pdf,yes,,,,none,ordinance,year-only,a0a132efc9ef7ecb3812afa6b3e1cd6db69754c5130a4b48b081181c7116553a,
2012-O-05,2012-04-17,2012-04-17,2012-05,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2012/201205.pdf?t=202309190901290,2026-07-13,text,pdftotext -layout,raw/2012-O-05.pdf,yes,,,,none,ordinance,pdf,51a40b423432d087cd5456f115a85c3506f3cf720730ca4d3e677339d0f61c72,
2012-O-06,,2012-01-01,2012-06,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2012/201206.pdf?t=202309190901290,2026-07-13,text,pdftotext -layout,raw/2012-O-06.pdf,yes,,,,none,ordinance,year-only,d50acf5091b573ccef5bdb165da2683bf8e783ec0fb00a559705694bb72669ff,
2012-O-07,,2012-01-01,2012-07,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2012/201207.pdf?t=202309190901290,2026-07-13,text,pdftotext -layout,raw/2012-O-07.pdf,yes,,,,none,ordinance,year-only,d45bcc7487e9719f736eaefa670ed4e91eb4e2d5083d4ce08380290868e23060,
2012-O-08,,2012-01-01,2012-08,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2012/201208.pdf?t=202309190901290,2026-07-13,text,pdftotext -layout,raw/2012-O-08.pdf,yes,,,,none,ordinance,year-only,f11913de326ceb0edcdd3f05843a65c928fe74ed2909c60890330877d873b853,
2012-O-09,,2012-01-01,2012-09,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2012/201209.pdf?t=202309190901290,2026-07-13,text,pdftotext -layout,raw/2012-O-09.pdf,yes,,,,none,ordinance,year-only,bda0c3dad219059ec146c371745c035790397438b8de77b3af186492de08ef60,
2012-O-10,,2012-01-01,2012-10,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2012/201210.pdf?t=202309190901290,2026-07-13,text,pdftotext -layout,raw/2012-O-10.pdf,yes,,,,none,ordinance,year-only,6141a37cbee3bf1d3ede86019f47921dffb575bc8299a73664c1e4cf21e0c579,
2012-O-11,2012-07-10,2012-07-10,2012-11,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2012/201211.pdf?t=202309190901290,2026-07-13,text,pdftotext -layout,raw/2012-O-11.pdf,no,,,,none,ordinance,pdf,8358b967ac0c8ceade6b83b35f4701f0c9909e05022ab083e7a6727c69218430,
2012-O-12,2012-07-10,2012-07-10,2012-12,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2012/201212.pdf?t=202309190901290,2026-07-13,text,pdftotext -layout,raw/2012-O-12.pdf,no,,,,none,ordinance,pdf,2331e97b17a8d654c2dd46eb1ba301cc716e0dddd3c4ae9e1be15d4fda471151,
2012-O-13,2012-07-10,2012-07-10,2012-13,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2012/201213.pdf?t=202309190901290,2026-07-13,text,pdftotext -layout,raw/2012-O-13.pdf,no,,,,none,ordinance,pdf,19f6498f812124ff5968762fc730e41cfd5f6672a1fdbd1818e79f7b5f208f6b,
2012-O-14,2012-07-10,2012-07-10,2012-14,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2012/201214.pdf?t=202309190901290,2026-07-13,text,pdftotext -layout,raw/2012-O-14.pdf,no,,,,none,ordinance,pdf,61f520ac3b0f36efa3c76383395d4897da105a2de53386d6103777ce029319a8,
2012-O-15,,2012-01-01,2012-15,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2012/201215.pdf?t=202309190901290,2026-07-13,text,pdftotext -layout,raw/2012-O-15.pdf,yes,,,,none,ordinance,year-only,c9a9f69bcf6a9a62dc0fa20407132f0ff4a1875bb572532cad7e03b0ef3effb8,
2012-O-16,2012-11-27,2012-11-27,2012-16,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2012/201216.pdf?t=202309190901290,2026-07-13,text,pdftotext -layout,raw/2012-O-16.pdf,no,,,,none,ordinance,pdf,c18bfbc5a474938f22aacbb4651b8bb2d26a38584b090ed7db502fa70d89c61f,
