ord_no,year,kind,fetch,name,label,fname,url
2012-O-01,2012,ordinance,yes,2012-O-01.pdf,2012-01,201201.pdf,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2012/201201.pdf?t=202309190901290
2012-O-02,2012,ordinance,yes,2012-O-02.pdf,2012-02,201202.pdf,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2012/201202.pdf?t=202309190901290
2012-O-03,2012,ordinance,yes,2012-O-03.pdf,2012-03,201203.pdf,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2012/201203.pdf?t=202309190901290
2012-O-04,2012,ordinance,yes,2012-O-04.pdf,2012-04,201204.pdf,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2012/201204.pdf?t=202309190901290
2012-O-05,2012,ordinance,yes,2012-O-05.pdf,2012-05,201205.pdf,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2012/201205.pdf?t=202309190901290
2012-O-06,2012,ordinance,yes,2012-O-06.pdf,2012-06,201206.pdf,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2012/201206.pdf?t=202309190901290
2012-O-07,2012,ordinance,yes,2012-O-07.pdf,2012-07,201207.pdf,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2012/201207.pdf?t=202309190901290
2012-O-08,2012,ordinance,yes,2012-O-08.pdf,2012-08,201208.pdf,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2012/201208.pdf?t=202309190901290
2012-O-09,2012,ordinance,yes,2012-O-09.pdf,2012-09,201209.pdf,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2012/201209.pdf?t=202309190901290
2012-O-10,2012,ordinance,yes,2012-O-10.pdf,2012-10,201210.pdf,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2012/201210.pdf?t=202309190901290
2012-O-11,2012,ordinance,yes,2012-O-11.pdf,2012-11,201211.pdf,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2012/201211.pdf?t=202309190901290
2012-O-12,2012,ordinance,yes,2012-O-12.pdf,2012-12,201212.pdf,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2012/201212.pdf?t=202309190901290
2012-O-13,2012,ordinance,yes,2012-O-13.pdf,2012-13,201213.pdf,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2012/201213.pdf?t=202309190901290
2012-O-14,2012,ordinance,yes,2012-O-14.pdf,2012-14,201214.pdf,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2012/201214.pdf?t=202309190901290
2012-O-15,2012,ordinance,yes,2012-O-15.pdf,2012-15,201215.pdf,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2012/201215.pdf?t=202309190901290
2012-O-16,2012,ordinance,yes,2012-O-16.pdf,2012-16,201216.pdf,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2012/201216.pdf?t=202309190901290
2012-O-17,2012,ordinance,yes,2012-O-17.pdf,2012-17,201217.pdf,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2012/201217.pdf?t=202309190901290
2012-O-18,2012,ordinance,yes,2012-O-18.pdf,2012-18,201218.pdf,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2012/201218.pdf?t=202309190901300
2012-O-19,2012,ordinance,yes,2012-O-19.pdf,2012-19,201219.pdf,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2012/201219.pdf?t=202309190901300
2013-O-01,2013,ordinance,yes,2013-O-01.pdf,2013-O-01,2013O01.pdf,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2013/2013O01.pdf?t=202309190901280
2013-O-02,2013,ordinance,yes,2013-O-02.pdf,2013-O-02,2013O02.pdf,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2013/2013O02.pdf?t=202309190901280
2013-O-03,2013,ordinance,yes,2013-O-03.pdf,2013-O-03,2013O03.pdf,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2013/2013O03.pdf?t=202309190901280
2013-O-04,2013,ordinance,yes,2013-O-04.pdf,2013-O-04,2013O04.pdf,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2013/2013O04.pdf?t=202309190901280
2013-O-05,2013,ordinance,yes,2013-O-05.pdf,2013-O-05,2013O05.pdf,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2013/2013O05.pdf?t=202309190901280
2013-O-06,2013,ordinance,yes,2013-O-06.pdf,2013-O-06,2013O06.pdf,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2013/2013O06.pdf?t=202309190901290
2013-O-07,2013,ordinance,yes,2013-O-07.pdf,2013-O-07,2013O07.pdf,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2013/2013O07.pdf?t=202309190901290
2013-O-08,2013,ordinance,yes,2013-O-08.pdf,2013-O-08,2013O08.pdf,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2013/2013O08.pdf?t=202309190901290
