    Salt Lake City Open Personal Campaign Committees

                                   Voluntarily Limited Contributions &
          Name            Office              Expenditures
James Rogers             D1                        N
David Atkin              D1                        N
Andrew Johnston          D2                        N
Christopher Wharton      D3                        N
Brian Fukishima          D3                        N
Michael Iverson          D4                        N
Vance Hansen             D5                        N
Carol Goode-Rogozinski   D5                        N
Charlie Luke             D6                        N
Abe Smith                D7                        N
Amy Fowler               D7                        N
Jackie Biskupski         Mayor                     N
David Ibarra             Mayor                     N
Stan Penfold             Mayor                     N
David Garbett            Mayor                     N
Jim Dabakis              Mayor                     N
Aaron Johnson            Mayor                     N
Richard Goldberger       Mayor                     N
D. Christian Harrison    Mayor                     N
Erin Mendenhall          Mayor                     N
Ana Valdemoros           D4                        N
Luz Escamilla            Mayor                     N




                                                                         As of 5/3/2019

