week_ending,period_start,n_comments,n_meetings,n_motions,n_contested,meeting_types
2020-01-07,2020-01-01,0,1,4,0,city council meeting
2020-01-14,2020-01-08,0,1,0,0,city council meeting
2020-01-21,2020-01-15,0,1,4,0,city council meeting
2020-01-28,2020-01-22,0,1,0,0,city council meeting
2020-02-04,2020-01-29,0,1,3,1,city council meeting
2020-02-11,2020-02-05,0,1,1,0,city council meeting
2020-02-18,2020-02-12,0,1,5,0,city council meeting
2020-02-25,2020-02-19,0,1,0,0,city council meeting
2020-03-03,2020-02-26,0,1,9,1,city council meeting
2020-03-10,2020-03-04,0,1,0,0,city council meeting
2020-03-17,2020-03-11,0,1,5,3,city council meeting
2020-03-24,2020-03-18,0,1,0,0,city council meeting
2020-04-07,2020-04-01,0,1,6,2,city council meeting
2020-04-14,2020-04-08,0,1,0,0,city council meeting
2020-04-21,2020-04-15,0,1,5,1,city council meeting
2020-04-28,2020-04-22,0,1,1,1,city council meeting
2020-05-05,2020-04-29,0,1,3,0,city council meeting
2020-05-12,2020-05-06,0,1,0,0,city council meeting
2020-05-19,2020-05-13,0,1,7,2,city council meeting
2020-05-26,2020-05-20,0,1,0,0,city council meeting
2020-06-02,2020-05-27,0,1,7,0,city council meeting
2020-06-09,2020-06-03,0,1,0,0,city council meeting
2020-06-16,2020-06-10,0,1,7,0,city council meeting
2020-06-23,2020-06-17,0,1,0,0,city council meeting
2020-07-07,2020-07-01,0,1,7,0,city council meeting
2020-07-14,2020-07-08,0,1,0,0,city council meeting
2020-07-21,2020-07-15,0,1,8,0,city council meeting
2020-08-04,2020-07-29,0,1,6,0,city council meeting
2020-08-11,2020-08-05,0,1,0,0,city council meeting
2020-08-18,2020-08-12,0,1,1,0,city council meeting
2020-08-25,2020-08-19,0,1,3,1,city council meeting
2020-09-01,2020-08-26,0,1,2,0,city council meeting
2020-09-15,2020-09-09,0,1,4,0,city council meeting
2020-09-22,2020-09-16,0,1,0,0,city council meeting
2020-10-06,2020-09-30,0,1,7,0,city council meeting
2020-10-13,2020-10-07,0,1,0,0,city council meeting
2020-10-20,2020-10-14,0,1,0,0,city council meeting
2020-10-27,2020-10-21,0,1,0,0,city council meeting
2020-11-03,2020-10-28,0,1,3,0,city council meeting
2020-11-10,2020-11-04,0,1,0,0,city council meeting
2020-11-17,2020-11-11,0,1,6,0,city council meeting
2020-11-24,2020-11-18,0,1,0,0,city council meeting
2020-12-01,2020-11-25,0,1,7,0,city council meeting
2020-12-15,2020-12-09,0,1,9,0,city council meeting
2021-01-05,2020-12-30,0,1,5,0,city council meeting
