precinct,district,district_area_frac,method,split
HOL001,2,0.998,centroid_in_district,no
HOL002,2,0.9992,centroid_in_district,no
HOL003,2,0.9989,centroid_in_district,no
HOL004,2,0.9987,centroid_in_district,no
HOL005,2,0.9982,centroid_in_district,no
HOL006,4,0.9998,centroid_in_district,no
HOL007,4,1.0,centroid_in_district,no
HOL008,1,0.9992,centroid_in_district,no
HOL009,1,0.9997,centroid_in_district,no
HOL010,1,0.9962,centroid_in_district,no
HOL011,5,0.9958,centroid_in_district,no
HOL012,4,0.9964,centroid_in_district,no
HOL013,3,0.9986,centroid_in_district,no
HOL014,3,0.999,centroid_in_district,no
HOL015,3,0.9742,centroid_in_district,no
HOL016,3,0.9755,centroid_in_district,no
HOL017,5,0.9936,centroid_in_district,no
HOL018,5,0.9993,centroid_in_district,no
HOL019,5,0.9997,centroid_in_district,no
HOL020,5,0.9925,centroid_in_district,no
HOL021,5,0.9999,centroid_in_district,no
HOL022,5,0.9963,centroid_in_district,no
HOL023,5,0.9545,centroid_in_district,no
HOL024,3,0.9954,centroid_in_district,no
HOL025,1,0.9873,centroid_in_district,no
HOL026,5,1.0,centroid_in_district,no
HOL027,1,0.9971,centroid_in_district,no
HOL028,4,0.9982,centroid_in_district,no
HOL029,4,0.999,centroid_in_district,no
HOL030,5,0.9944,centroid_in_district,no
