member,first_seen,last_seen,n_votes
Tana Toly,2022-01-06,2026-05-21,1077
Becca Gerber,2020-01-09,2023-12-14,1014
Max Doilney,2020-01-09,2023-12-14,1010
Jeremy Rubell,2022-01-06,2025-12-18,992
Ryan Dickey,2022-01-27,2025-12-18,979
Bill Ciraco,2024-01-04,2026-05-21,541
Ed Parigian,2024-01-04,2026-05-21,540
Nann Worel,2020-01-09,2024-08-22,479
Steve Joyce,2020-01-09,2021-12-16,478
Tim Henney,2020-01-09,2021-12-16,478
Diego Zegarra,2026-01-08,2026-05-21,84
Molly Miller,2026-01-20,2026-05-21,69
Andy Beerman,2020-06-25,2020-06-25,1
