date,event_id,event_name,file_types,reason
2020-01-06,2178,City Council,,no published files (cancelled/not-yet-posted)
2020-02-26,1897,City Council,,no published files (cancelled/not-yet-posted)
2020-03-13,1799,City Council,Agenda,agenda-only (no Minutes file yet)
2020-10-08,805,City Council,,no published files (cancelled/not-yet-posted)
2021-04-21,1618,City Council,Agenda,agenda-only (no Minutes file yet)
2021-05-12,1506,City Council,,no published files (cancelled/not-yet-posted)
2021-12-15,464,City Council,,no published files (cancelled/not-yet-posted)
2024-01-12,421,One Time Event,,no published files (cancelled/not-yet-posted)
2026-06-04,3929,City Council Meeting,Agenda|Agenda Packet,agenda-only (no Minutes file yet)
2026-06-11,3930,City Council Meeting,Agenda|Agenda Packet,agenda-only (no Minutes file yet)
2026-06-25,3931,City Council Meeting,Agenda|Agenda Packet,agenda-only (no Minutes file yet)
2026-07-09,3720,City Council Meeting,,no published files (cancelled/not-yet-posted)
2026-08-13,3725,City Council Meeting,,no published files (cancelled/not-yet-posted)
2026-08-20,3726,City Council Meeting,,no published files (cancelled/not-yet-posted)
2026-09-03,3728,City Council Meeting,,no published files (cancelled/not-yet-posted)
2026-09-17,3730,City Council Meeting,,no published files (cancelled/not-yet-posted)
2026-10-01,3732,City Council Meeting,,no published files (cancelled/not-yet-posted)
2026-10-08,3733,City Council Meeting,,no published files (cancelled/not-yet-posted)
2026-10-22,3735,City Council Meeting,,no published files (cancelled/not-yet-posted)
2026-11-05,3737,City Council Meeting,,no published files (cancelled/not-yet-posted)
2026-11-19,3739,City Council Meeting,,no published files (cancelled/not-yet-posted)
2026-12-10,3742,City Council Meeting,,no published files (cancelled/not-yet-posted)
2026-12-17,3743,City Council Meeting,,no published files (cancelled/not-yet-posted)
