EventItemId,VoteId,VotePersonId,VotePersonName,VoteValueId,VoteValueName
25827,14513,334,Brooke Christensen,16,Yes
25827,14514,253,Kris Nicholl,16,Yes
25827,14515,335,Zach Robinson,16,Yes
25827,14516,368,Marci Houseman,16,Yes
25827,14517,369,Alison Stroud,16,Yes
25827,14518,331,Cyndi Sharkey,16,Yes
25827,14519,370,Monica Zoltanski,16,Yes
25830,14473,334,Brooke Christensen,16,Yes
25830,14474,253,Kris Nicholl,16,Yes
25830,14475,335,Zach Robinson,16,Yes
25830,14476,368,Marci Houseman,16,Yes
25830,14477,369,Alison Stroud,16,Yes
25830,14478,331,Cyndi Sharkey,16,Yes
25830,14479,370,Monica Zoltanski,16,Yes
25831,14520,334,Brooke Christensen,16,Yes
25831,14521,253,Kris Nicholl,16,Yes
25831,14522,335,Zach Robinson,16,Yes
25831,14523,368,Marci Houseman,16,Yes
25831,14524,369,Alison Stroud,16,Yes
25831,14525,331,Cyndi Sharkey,16,Yes
25831,14526,370,Monica Zoltanski,16,Yes
25832,14492,369,Alison Stroud,16,Yes
25832,14493,253,Kris Nicholl,16,Yes
25832,14494,335,Zach Robinson,16,Yes
25832,14495,370,Monica Zoltanski,16,Yes
25832,14496,368,Marci Houseman,16,Yes
25832,14497,331,Cyndi Sharkey,16,Yes
25832,14498,334,Brooke Christensen,16,Yes
26083,14645,369,Alison Stroud,16,Yes
26083,14646,253,Kris Nicholl,16,Yes
26083,14647,335,Zach Robinson,16,Yes
26083,14648,370,Monica Zoltanski,16,Yes
26083,14649,368,Marci Houseman,16,Yes
26083,14650,331,Cyndi Sharkey,16,Yes
26083,14651,334,Brooke Christensen,16,Yes
26084,14645,369,Alison Stroud,16,Yes
26084,14646,253,Kris Nicholl,16,Yes
26084,14647,335,Zach Robinson,16,Yes
26084,14648,370,Monica Zoltanski,16,Yes
26084,14649,368,Marci Houseman,16,Yes
26084,14650,331,Cyndi Sharkey,16,Yes
26084,14651,334,Brooke Christensen,16,Yes
26085,14645,369,Alison Stroud,16,Yes
26085,14646,253,Kris Nicholl,16,Yes
26085,14647,335,Zach Robinson,16,Yes
26085,14648,370,Monica Zoltanski,16,Yes
26085,14649,368,Marci Houseman,16,Yes
26085,14650,331,Cyndi Sharkey,16,Yes
26085,14651,334,Brooke Christensen,16,Yes
26086,14645,369,Alison Stroud,16,Yes
26086,14646,253,Kris Nicholl,16,Yes
26086,14647,335,Zach Robinson,16,Yes
26086,14648,370,Monica Zoltanski,16,Yes
26086,14649,368,Marci Houseman,16,Yes
26086,14650,331,Cyndi Sharkey,16,Yes
26086,14651,334,Brooke Christensen,16,Yes
26088,14652,369,Alison Stroud,16,Yes
26088,14653,253,Kris Nicholl,16,Yes
26088,14654,335,Zach Robinson,16,Yes
26088,14655,370,Monica Zoltanski,16,Yes
26088,14656,368,Marci Houseman,16,Yes
26088,14657,331,Cyndi Sharkey,17,No
26088,14658,334,Brooke Christensen,16,Yes
26089,14610,369,Alison Stroud,16,Yes
26089,14611,253,Kris Nicholl,16,Yes
26089,14612,335,Zach Robinson,16,Yes
26089,14613,370,Monica Zoltanski,16,Yes
26089,14614,368,Marci Houseman,16,Yes
26089,14615,331,Cyndi Sharkey,16,Yes
26089,14616,334,Brooke Christensen,16,Yes
26092,14638,369,Alison Stroud,16,Yes
26092,14639,253,Kris Nicholl,16,Yes
26092,14640,335,Zach Robinson,16,Yes
26092,14641,370,Monica Zoltanski,16,Yes
26092,14642,368,Marci Houseman,16,Yes
26092,14643,331,Cyndi Sharkey,16,Yes
26092,14644,334,Brooke Christensen,16,Yes
26106,14617,369,Alison Stroud,16,Yes
26106,14618,253,Kris Nicholl,16,Yes
26106,14619,335,Zach Robinson,16,Yes
26106,14620,370,Monica Zoltanski,16,Yes
26106,14621,368,Marci Houseman,16,Yes
26106,14622,331,Cyndi Sharkey,16,Yes
26106,14623,334,Brooke Christensen,16,Yes
26107,14624,369,Alison Stroud,16,Yes
26107,14625,253,Kris Nicholl,16,Yes
26107,14626,335,Zach Robinson,16,Yes
26107,14627,370,Monica Zoltanski,16,Yes
26107,14628,368,Marci Houseman,16,Yes
26107,14629,331,Cyndi Sharkey,17,No
26107,14630,334,Brooke Christensen,16,Yes
26108,14631,369,Alison Stroud,16,Yes
26108,14632,253,Kris Nicholl,16,Yes
26108,14633,335,Zach Robinson,17,No
26108,14634,370,Monica Zoltanski,17,No
26108,14635,368,Marci Houseman,16,Yes
26108,14636,331,Cyndi Sharkey,16,Yes
26108,14637,334,Brooke Christensen,17,No
26109,14645,369,Alison Stroud,16,Yes
26109,14646,253,Kris Nicholl,16,Yes
26109,14647,335,Zach Robinson,16,Yes
26109,14648,370,Monica Zoltanski,16,Yes
26109,14649,368,Marci Houseman,16,Yes
26109,14650,331,Cyndi Sharkey,16,Yes
26109,14651,334,Brooke Christensen,16,Yes
26292,14673,369,Alison Stroud,16,Yes
26292,14674,253,Kris Nicholl,16,Yes
26292,14675,335,Zach Robinson,16,Yes
26292,14676,370,Monica Zoltanski,16,Yes
26292,14677,368,Marci Houseman,16,Yes
26292,14678,331,Cyndi Sharkey,16,Yes
26292,14679,334,Brooke Christensen,16,Yes
26293,14673,369,Alison Stroud,16,Yes
26293,14674,253,Kris Nicholl,16,Yes
26293,14675,335,Zach Robinson,16,Yes
26293,14676,370,Monica Zoltanski,16,Yes
26293,14677,368,Marci Houseman,16,Yes
26293,14678,331,Cyndi Sharkey,16,Yes
26293,14679,334,Brooke Christensen,16,Yes
26303,14659,369,Alison Stroud,16,Yes
26303,14660,253,Kris Nicholl,16,Yes
26303,14661,335,Zach Robinson,16,Yes
26303,14662,370,Monica Zoltanski,16,Yes
26303,14663,368,Marci Houseman,16,Yes
26303,14664,331,Cyndi Sharkey,16,Yes
26303,14665,334,Brooke Christensen,16,Yes
26311,14673,369,Alison Stroud,16,Yes
26311,14674,253,Kris Nicholl,16,Yes
26311,14675,335,Zach Robinson,16,Yes
26311,14676,370,Monica Zoltanski,16,Yes
26311,14677,368,Marci Houseman,16,Yes
26311,14678,331,Cyndi Sharkey,16,Yes
26311,14679,334,Brooke Christensen,16,Yes
26435,14750,369,Alison Stroud,17,No
26435,14751,253,Kris Nicholl,17,No
26435,14752,335,Zach Robinson,16,Yes
26435,14753,370,Monica Zoltanski,16,Yes
26435,14754,368,Marci Houseman,17,No
26435,14755,331,Cyndi Sharkey,17,No
26435,14756,334,Brooke Christensen,16,Yes
26436,14764,369,Alison Stroud,17,No
26436,14765,253,Kris Nicholl,16,Yes
26436,14766,335,Zach Robinson,17,No
26436,14767,370,Monica Zoltanski,17,No
26436,14768,368,Marci Houseman,16,Yes
26436,14769,331,Cyndi Sharkey,16,Yes
26436,14770,334,Brooke Christensen,17,No
26564,14785,369,Alison Stroud,16,Yes
26564,14786,253,Kris Nicholl,16,Yes
26564,14787,335,Zach Robinson,16,Yes
26564,14788,370,Monica Zoltanski,16,Yes
26564,14789,368,Marci Houseman,16,Yes
26564,14790,331,Cyndi Sharkey,16,Yes
26564,14791,334,Brooke Christensen,16,Yes
26591,14817,369,Alison Stroud,16,Yes
26591,14818,253,Kris Nicholl,16,Yes
26591,14819,335,Zach Robinson,16,Yes
26591,14820,370,Monica Zoltanski,16,Yes
26591,14821,368,Marci Houseman,16,Yes
26591,14822,331,Cyndi Sharkey,16,Yes
26591,14823,334,Brooke Christensen,16,Yes
26661,14842,369,Alison Stroud,16,Yes
26661,14843,253,Kris Nicholl,16,Yes
26661,14844,335,Zach Robinson,16,Yes
26661,14845,370,Monica Zoltanski,16,Yes
26661,14846,368,Marci Houseman,16,Yes
26661,14847,331,Cyndi Sharkey,16,Yes
26661,14848,334,Brooke Christensen,16,Yes
26662,14842,369,Alison Stroud,16,Yes
26662,14843,253,Kris Nicholl,16,Yes
26662,14844,335,Zach Robinson,16,Yes
26662,14845,370,Monica Zoltanski,16,Yes
26662,14846,368,Marci Houseman,16,Yes
26662,14847,331,Cyndi Sharkey,16,Yes
26662,14848,334,Brooke Christensen,16,Yes
26674,14849,369,Alison Stroud,17,No
26674,14850,253,Kris Nicholl,17,No
26674,14851,335,Zach Robinson,16,Yes
26674,14852,370,Monica Zoltanski,16,Yes
26674,14853,368,Marci Houseman,17,No
26674,14854,331,Cyndi Sharkey,17,No
26674,14855,334,Brooke Christensen,16,Yes
26676,14842,369,Alison Stroud,16,Yes
26676,14843,253,Kris Nicholl,16,Yes
26676,14844,335,Zach Robinson,16,Yes
26676,14845,370,Monica Zoltanski,16,Yes
26676,14846,368,Marci Houseman,16,Yes
26676,14847,331,Cyndi Sharkey,16,Yes
26676,14848,334,Brooke Christensen,16,Yes
26886,14908,369,Alison Stroud,16,Yes
26886,14909,253,Kris Nicholl,16,Yes
26886,14910,335,Zach Robinson,16,Yes
26886,14911,370,Monica Zoltanski,16,Yes
26886,14912,368,Marci Houseman,16,Yes
26886,14913,331,Cyndi Sharkey,16,Yes
26886,14914,334,Brooke Christensen,16,Yes
26887,14908,369,Alison Stroud,16,Yes
26887,14909,253,Kris Nicholl,16,Yes
26887,14910,335,Zach Robinson,16,Yes
26887,14911,370,Monica Zoltanski,16,Yes
26887,14912,368,Marci Houseman,16,Yes
26887,14913,331,Cyndi Sharkey,16,Yes
26887,14914,334,Brooke Christensen,16,Yes
26888,14908,369,Alison Stroud,16,Yes
26888,14909,253,Kris Nicholl,16,Yes
26888,14910,335,Zach Robinson,16,Yes
26888,14911,370,Monica Zoltanski,16,Yes
26888,14912,368,Marci Houseman,16,Yes
26888,14913,331,Cyndi Sharkey,16,Yes
26888,14914,334,Brooke Christensen,16,Yes
26889,14908,369,Alison Stroud,16,Yes
26889,14909,253,Kris Nicholl,16,Yes
26889,14910,335,Zach Robinson,16,Yes
26889,14911,370,Monica Zoltanski,16,Yes
26889,14912,368,Marci Houseman,16,Yes
26889,14913,331,Cyndi Sharkey,16,Yes
26889,14914,334,Brooke Christensen,16,Yes
26890,14908,369,Alison Stroud,16,Yes
26890,14909,253,Kris Nicholl,16,Yes
26890,14910,335,Zach Robinson,16,Yes
26890,14911,370,Monica Zoltanski,16,Yes
26890,14912,368,Marci Houseman,16,Yes
26890,14913,331,Cyndi Sharkey,16,Yes
26890,14914,334,Brooke Christensen,16,Yes
26891,14908,369,Alison Stroud,16,Yes
26891,14909,253,Kris Nicholl,16,Yes
26891,14910,335,Zach Robinson,16,Yes
26891,14911,370,Monica Zoltanski,16,Yes
26891,14912,368,Marci Houseman,16,Yes
26891,14913,331,Cyndi Sharkey,16,Yes
26891,14914,334,Brooke Christensen,16,Yes
26892,14908,369,Alison Stroud,16,Yes
26892,14909,253,Kris Nicholl,16,Yes
26892,14910,335,Zach Robinson,16,Yes
26892,14911,370,Monica Zoltanski,16,Yes
26892,14912,368,Marci Houseman,16,Yes
26892,14913,331,Cyndi Sharkey,16,Yes
26892,14914,334,Brooke Christensen,16,Yes
26894,14901,369,Alison Stroud,16,Yes
26894,14902,253,Kris Nicholl,16,Yes
26894,14903,335,Zach Robinson,16,Yes
26894,14904,370,Monica Zoltanski,16,Yes
26894,14905,368,Marci Houseman,16,Yes
26894,14906,331,Cyndi Sharkey,16,Yes
26894,14907,334,Brooke Christensen,16,Yes
26904,14908,369,Alison Stroud,16,Yes
26904,14909,253,Kris Nicholl,16,Yes
26904,14910,335,Zach Robinson,16,Yes
26904,14911,370,Monica Zoltanski,16,Yes
26904,14912,368,Marci Houseman,16,Yes
26904,14913,331,Cyndi Sharkey,16,Yes
26904,14914,334,Brooke Christensen,16,Yes
26980,14915,369,Alison Stroud,16,Yes
26980,14916,253,Kris Nicholl,16,Yes
26980,14917,335,Zach Robinson,16,Yes
26980,14918,370,Monica Zoltanski,16,Yes
26980,14919,368,Marci Houseman,16,Yes
26980,14920,331,Cyndi Sharkey,16,Yes
26980,14921,334,Brooke Christensen,16,Yes
26990,14922,369,Alison Stroud,16,Yes
26990,14923,253,Kris Nicholl,16,Yes
26990,14924,335,Zach Robinson,16,Yes
26990,14925,370,Monica Zoltanski,16,Yes
26990,14926,368,Marci Houseman,16,Yes
26990,14927,331,Cyndi Sharkey,16,Yes
26990,14928,334,Brooke Christensen,16,Yes
27039,14936,369,Alison Stroud,16,Yes
27039,14937,253,Kris Nicholl,16,Yes
27039,14938,335,Zach Robinson,16,Yes
27039,14939,370,Monica Zoltanski,16,Yes
27039,14940,368,Marci Houseman,16,Yes
27039,14941,331,Cyndi Sharkey,16,Yes
27039,14942,334,Brooke Christensen,16,Yes
27041,14929,369,Alison Stroud,16,Yes
27041,14930,253,Kris Nicholl,16,Yes
27041,14931,335,Zach Robinson,16,Yes
27041,14932,370,Monica Zoltanski,16,Yes
27041,14933,368,Marci Houseman,16,Yes
27041,14934,331,Cyndi Sharkey,16,Yes
27041,14935,334,Brooke Christensen,16,Yes
27103,14936,369,Alison Stroud,16,Yes
27103,14937,253,Kris Nicholl,16,Yes
27103,14938,335,Zach Robinson,16,Yes
27103,14939,370,Monica Zoltanski,16,Yes
27103,14940,368,Marci Houseman,16,Yes
27103,14941,331,Cyndi Sharkey,16,Yes
27103,14942,334,Brooke Christensen,16,Yes
27126,14950,369,Alison Stroud,16,Yes
27126,14951,253,Kris Nicholl,16,Yes
27126,14952,335,Zach Robinson,16,Yes
27126,14953,370,Monica Zoltanski,16,Yes
27126,14954,368,Marci Houseman,16,Yes
27126,14955,331,Cyndi Sharkey,16,Yes
27126,14956,334,Brooke Christensen,16,Yes
27138,14943,369,Alison Stroud,16,Yes
27138,14944,253,Kris Nicholl,16,Yes
27138,14945,335,Zach Robinson,16,Yes
27138,14946,370,Monica Zoltanski,16,Yes
27138,14947,368,Marci Houseman,16,Yes
27138,14948,331,Cyndi Sharkey,16,Yes
27138,14949,334,Brooke Christensen,16,Yes
27139,14950,369,Alison Stroud,16,Yes
27139,14951,253,Kris Nicholl,16,Yes
27139,14952,335,Zach Robinson,16,Yes
27139,14953,370,Monica Zoltanski,16,Yes
27139,14954,368,Marci Houseman,16,Yes
27139,14955,331,Cyndi Sharkey,16,Yes
