EventId,EventBodyId,EventBodyName,EventDate,EventTime,EventAgendaStatusName,EventMinutesStatusName,EventLocation
1395,138,City Council,2020-01-07T00:00:00,5:15 PM,Final,Final,Council Chambers
1396,138,City Council,2020-01-14T00:00:00,5:15 PM,Final-revised,Final,Council Chambers
1401,138,City Council,2020-01-21T00:00:00,5:15 PM,Final,Final-revised,Council Chambers
1402,138,City Council,2020-01-28T00:00:00,5:15 PM,Final,Final,Council Chambers
1403,138,City Council,2020-02-04T00:00:00,5:15 PM,Final-revised,Final,Council Chambers
1404,138,City Council,2020-02-11T00:00:00,5:15 PM,Final,Final,Council Chambers
1405,138,City Council,2020-02-18T00:00:00,5:15 PM,Final,Final,Council Chambers
1466,138,City Council,2020-02-19T00:00:00,4:00 PM,Final-revised,Final,Council Chambers
1406,138,City Council,2020-02-25T00:00:00,5:15 PM,Final,Final,Council Chambers
1407,138,City Council,2020-03-03T00:00:00,5:15 PM,Final-revised,Final,Council Chambers
1408,138,City Council,2020-03-10T00:00:00,5:15 PM,Final,Final,Council Chambers
1409,138,City Council,2020-03-17T00:00:00,5:15 PM,Final,Draft,Council Chambers
1411,138,City Council,2020-03-31T00:00:00,5:15 PM,Final,Draft,Council Chambers
1412,138,City Council,2020-04-07T00:00:00,5:30 PM,Final,Final,Online Meeting
1413,138,City Council,2020-04-14T00:00:00,5:15 PM,Final,Final,Online Meeting
1414,138,City Council,2020-04-21T00:00:00,5:15 PM,Final,Final,Online Meeting
1415,138,City Council,2020-04-28T00:00:00,5:15 PM,Final,Final,Online Meeting
1416,138,City Council,2020-05-05T00:00:00,5:15 PM,Final,Final,Online Meeting
1417,138,City Council,2020-05-12T00:00:00,5:15 PM,Final,Final,Online Meeting
1418,138,City Council,2020-05-19T00:00:00,5:15 PM,Final,Final,Online Meeting
1419,138,City Council,2020-05-26T00:00:00,5:15 PM,Final,Final,Online Meeting
1420,138,City Council,2020-06-02T00:00:00,5:15 PM,Final,Final,Online Meeting
1421,138,City Council,2020-06-09T00:00:00,5:15 PM,Final,Final,Online Meeting
1422,138,City Council,2020-06-16T00:00:00,5:15 PM,Final,Final,Online Meeting
1423,138,City Council,2020-06-23T00:00:00,5:15 PM,Final,Final,Online Meeting
1483,138,City Council,2020-06-25T00:00:00,5:15 PM,Final-revised,Final,Online Meeting
1424,138,City Council,2020-06-30T00:00:00,5:15 PM,Final,Final,Online Meeting
1425,138,City Council,2020-07-07T00:00:00,5:15 PM,Final,Final,Online Meeting
1426,138,City Council,2020-07-14T00:00:00,5:15 PM,Final,Final,Online Meeting
1427,138,City Council,2020-07-21T00:00:00,5:15 PM,Final,Final,Online Meeting
1428,138,City Council,2020-07-28T00:00:00,5:15 PM,Final,Final,Online Meeting
1430,138,City Council,2020-08-11T00:00:00,5:15 PM,Final,Final,Online Meeting
1431,138,City Council,2020-08-18T00:00:00,5:15 PM,Final-revised,Final,Online Meeting
1432,138,City Council,2020-08-25T00:00:00,5:15 PM,Final,Final,Online Meeting
1433,138,City Council,2020-09-01T00:00:00,5:15 PM,Final,Final,Online Meeting
1434,138,City Council,2020-09-08T00:00:00,5:15 PM,Final-revised,Final,Online Meeting
1435,138,City Council,2020-09-15T00:00:00,5:15 PM,Final,Final,Online Meeting
1436,138,City Council,2020-09-22T00:00:00,5:15 PM,Final,Final,Online Meeting
1496,138,City Council,2020-09-23T00:00:00,5:15 PM,Final,Draft,*eComment Test Meeting*
1438,138,City Council,2020-10-06T00:00:00,5:15 PM,Final,Final,Online Meeting
1439,138,City Council,2020-10-13T00:00:00,5:15 PM,Final-revised,Final,Online Meeting
1440,138,City Council,2020-10-20T00:00:00,5:15 PM,Final,Final,Online Meeting
1441,138,City Council,2020-10-27T00:00:00,5:15 PM,Final,Final,Online Meeting
1442,138,City Council,2020-11-03T00:00:00,5:15 PM,Final,Final,Online Meeting
1443,138,City Council,2020-11-10T00:00:00,5:15 PM,Final,Final,Online Meeting
1444,138,City Council,2020-11-17T00:00:00,5:15 PM,Final,Final,Online Meeting
1509,138,City Council,2020-11-30T00:00:00,5:30 PM,Final,Final,Online Meeting
1447,138,City Council,2020-12-08T00:00:00,5:15 PM,Final,Final,Online Meeting
1448,138,City Council,2020-12-15T00:00:00,5:15 PM,Final-revised,Final,Online Meeting
1511,138,City Council,2021-01-05T00:00:00,5:15 PM,Final,Final,Online Meeting
1512,138,City Council,2021-01-12T00:00:00,5:15 PM,Final,Final,Online Meeting
1513,138,City Council,2021-01-19T00:00:00,5:15 PM,Final,Final,Online Meeting
1514,138,City Council,2021-01-26T00:00:00,5:15 PM,Final,Final,Online Meeting
1515,138,City Council,2021-02-02T00:00:00,5:15 PM,Final,Final,Online Meeting
1516,138,City Council,2021-02-09T00:00:00,5:15 PM,Final,Final,Online Meeting
1517,138,City Council,2021-02-16T00:00:00,5:15 PM,Final,Final,Online Meeting
1518,138,City Council,2021-02-23T00:00:00,5:15 PM,Final,Final,Online Meeting
1519,138,City Council,2021-03-02T00:00:00,5:15 PM,Final-revised,Final,Online Meeting
1520,138,City Council,2021-03-09T00:00:00,5:15 PM,Final,Final,Online Meeting
1521,138,City Council,2021-03-16T00:00:00,5:15 PM,Final,Final,Online Meeting
1522,138,City Council,2021-03-23T00:00:00,5:15 PM,Final,Final,Online Meeting
1524,138,City Council,2021-04-06T00:00:00,5:15 PM,Final-revised,Final,Online Meeting
1525,138,City Council,2021-04-13T00:00:00,5:15 PM,Final,Final,Online Meeting
1526,138,City Council,2021-04-20T00:00:00,5:15 PM,Final,Final,Online Meeting
1527,138,City Council,2021-04-27T00:00:00,5:15 PM,Final,Final,Online Meeting
1528,138,City Council,2021-05-04T00:00:00,5:15 PM,Final,Final,Online Meeting
1529,138,City Council,2021-05-11T00:00:00,5:15 PM,Final,Final,Online Meeting
1530,138,City Council,2021-05-18T00:00:00,5:15 PM,Final,Final,Online Meeting
1531,138,City Council,2021-05-25T00:00:00,5:15 PM,Final,Final,Online Meeting
1532,138,City Council,2021-06-01T00:00:00,5:15 PM,Final,Final,City Hall & Online
1533,138,City Council,2021-06-08T00:00:00,5:15 PM,Final,Final,City Hall & Online
1534,138,City Council,2021-06-15T00:00:00,5:15 PM,Final,Final,City Hall and Online
1535,138,City Council,2021-06-22T00:00:00,5:15 PM,Final,Final,City Hall & Online
1536,138,City Council,2021-06-29T00:00:00,5:15 PM,Final,Final,City Hall & Online
1538,138,City Council,2021-07-13T00:00:00,5:15 PM,Final,Final,City Hall & Online
1539,138,City Council,2021-07-20T00:00:00,5:15 PM,Final-revised,Final,City Hall & Online
1540,138,City Council,2021-07-27T00:00:00,5:15 PM,Final,Final,City Hall & Online
1542,138,City Council,2021-08-10T00:00:00,5:15 PM,Final,Final,City Hall & Online
1543,138,City Council,2021-08-17T00:00:00,5:15 PM,Final-revised,Draft,City Hall & Online
1544,138,City Council,2021-08-24T00:00:00,5:15 PM,Final,Draft,City Hall & Online
1546,138,City Council,2021-09-07T00:00:00,5:15 PM,Final,Draft,City Hall & Online
1547,138,City Council,2021-09-14T00:00:00,5:15 PM,Final,Draft,City Hall & Online
1548,138,City Council,2021-09-21T00:00:00,5:15 PM,Final,Draft,City Hall & Online
1549,138,City Council,2021-09-28T00:00:00,5:15 PM,Final-revised,Draft,City Hall & Online
1550,138,City Council,2021-10-05T00:00:00,5:15 PM,Final,Draft,City Hall & Online
1551,138,City Council,2021-10-12T00:00:00,5:15 PM,Final,Draft,City Hall & Online
1552,138,City Council,2021-10-19T00:00:00,5:15 PM,Final,Draft,City Hall & Online
1553,138,City Council,2021-10-26T00:00:00,5:15 PM,Final,Draft,City Hall & Online
1555,138,City Council,2021-11-09T00:00:00,5:15 PM,Final,Draft,City Hall & Online
1557,138,City Council,2021-11-16T00:00:00,5:15 PM,Final,Draft,City Hall & Online
1611,138,City Council,2021-11-18T00:00:00,6:00 PM,Final,Draft,City Hall & Online
1612,138,City Council,2021-11-22T00:00:00,5:30 PM,Final,Draft,City Hall & Online
1560,138,City Council,2021-12-07T00:00:00,5:15 PM,Final,Draft,City Hall & Online
1561,138,City Council,2021-12-14T00:00:00,5:15 PM,Final,Draft,City Hall & Online
1615,138,City Council,2022-01-04T00:00:00,5:15 PM,Final,Final,City Hall & Online
1622,138,City Council,2022-01-18T00:00:00,5:15 PM,Final-revised,Final,Online Only
1623,138,City Council,2022-01-25T00:00:00,5:15 PM,Final-revised,Final,Online
1624,138,City Council,2022-02-01T00:00:00,5:15 PM,Final,Final,Online
1625,138,City Council,2022-02-08T00:00:00,5:15 PM,Final,Final,Online
1626,138,City Council,2022-02-15T00:00:00,5:15 PM,Final,Final,Online
