EventItemId,EventItemEventId,EventBodyId,EventItemAgendaSequence,EventItemMinutesSequence,EventItemAgendaNumber,EventItemTitle,EventItemMatterId,EventItemMatterFile,EventItemMatterType,EventItemMatterStatus,EventItemActionName,EventItemMover,EventItemSeconder,EventItemPassedFlag,EventItemPassedFlagName,EventItemRollCallFlag,EventItemConsent
25806,1395,138,1,,,Web address to view complete packet: http://sandyutah.legistar.com,,,,,,,,,,0,0
25807,1395,138,2,,,"The Sandy City Council has adopted Rules of Procedure which are available at the rear of the Council Chambers and online at: https://sandy.utah.gov/government/city-council/procedure-guidelines. Public comment will be taken on all voting items. Each speaker is allowed three minutes per voting item. The Citizen Comment sections of the meeting are for issues not listed on the agenda. Each speaker is allowed three minutes to address the Council during Citizen Comments. If a citizen is unable to attend a meeting in person, he or she may provide written comments to the City Council Executive Director by 3:00 PM the day of the Council Meeting to have those comments distributed to the City Council and have them read into the record at the appropriate time.

In compliance with the Americans with Disabilities Act, reasonable accommodations for individuals with disabilities will be provided upon request. For assistance, please call (801) 568-7141.",,,,,,,,,,0,0
25808,1395,138,3,,4:30,Dinner,,,,,,,,,,0,0
25809,1395,138,4,1,5:15,Council Meeting,,,,,,,,,,0,0
25810,1395,138,5,2,,Roll Call,,,,,,,,,,1,0
25812,1395,138,6,3,,Prayer / Pledge of Allegiance,,,,,,,,,,0,0
25813,1395,138,7,4,,Non-voting Items,,,,,,,,,,0,0
25814,1395,138,8,5,,Agenda Planning Calendar Review & Council Office Director's Report,,,,,,,,,,0,0
25815,1395,138,9,6,,Council Member Business,,,,,,,,,,0,0
25816,1395,138,10,7,,Mayor's Report,,,,,,,,,,0,0
25817,1395,138,11,8,,CAO Report,,,,,,,,,,0,0
25820,1395,138,12,9,,Citizen Comments,,,,,,,,,,0,0
25821,1395,138,13,10,,Information Items,,,,,,,,,,0,0
25822,1395,138,14,11,,Voting Items,,,,,,,,,,0,0
25823,1395,138,15,12,,Consent Calendar,,,,,,,,,,0,0
25825,1395,138,17,15,2.,"Approval of the December 17, 2019 Minutes.",3767,20-009,Minutes,Consent Agenda,approved,Zach Robinson,,1,Pass,0,1
25826,1395,138,18,16,,Council Items,,,,,,,,,,0,0
25827,1395,138,21,19,5.,City Council Office recommending the City Council adopt the 2020 annual meeting schedule.,3676,19-404,Resolution,Agenda Ready,adopted,Brooke Christensen,Cyndi Sharkey,1,Pass,0,0
25828,1395,138,19,17,3.,City Council Office recommending the Council elect a Chair and Vice Chair.,3760,20-002,Resolution,Agenda Ready,,,,,,0,0
25829,1395,138,20,18,4.,City Council Office recommending annually required Open and Public Meeting Act training.,3761,20-003,Resolution,Agenda Ready,,,,,,0,0
25830,1395,138,22,20,6.,City Council Office recommending the Council appoint Council Members to serve as liaisons to various external organizations and special committees.,3762,20-004,Resolution,Passed,adopted,Marci Houseman,Zach Robinson,1,Pass,0,0
25831,1395,138,23,21,7.,Council Member Robinson recommending the Council adopt revisions to the policy on the Election of Council Officers.,3763,20-005,Resolution,Passed,adopted,Zach Robinson,Kris Nicholl,1,Pass,0,0
25832,1395,138,24,22,8.,Council Member Zoltanski proposing an amendment to the Council Rules of Procedure establishing Citizen Comments as timed certain for 7:00 PM.,3764,20-006,Resolution,Passed,approved,Monica Zoltanski,Zach Robinson,1,Pass,0,0
25833,1395,138,25,23,6:00,Time Certain Items,,,,,,,,,,0,0
25834,1395,138,26,24,,Special Recognition,,,,,,,,,,0,0
25835,1395,138,27,25,9.,Resolution for School Board Recognition Month.,3765,20-007,Special Recognition,Agenda Ready,,,,,,0,0
25845,1395,138,28,26,,Adjournment,,,,,,,,,,0,0
25894,1395,138,,13,,Approval of the Consent Calendar,,,,,approved the Consent Calendar,Zach Robinson,Brooke Christensen,,,0,1
26007,1396,138,1,1,,Web address to view complete packet: http://sandyutah.legistar.com,,,,,,,,,,0,0
26065,1401,138,1,,,Web address to view complete packet: http://sandyutah.legistar.com,,,,,,,,,,0,0
26066,1401,138,2,,,"The Sandy City Council has adopted Rules of Procedure which are available at the rear of the Council Chambers and online at: https://sandy.utah.gov/government/city-council/procedure-guidelines. Public comment will be taken on all voting items. Each speaker is allowed three minutes per voting item. The Citizen Comment sections of the meeting are for issues not listed on the agenda. Each speaker is allowed three minutes to address the Council during Citizen Comments. If a citizen is unable to attend a meeting in person, he or she may provide written comments to the City Council Executive Director by 3:00 PM the day of the Council Meeting to have those comments distributed to the City Council and have them read into the record at the appropriate time.

In compliance with the Americans with Disabilities Act, reasonable accommodations for individuals with disabilities will be provided upon request. For assistance, please call (801) 568-7141.",,,,,,,,,,0,0
26067,1401,138,3,,4:30,Dinner,,,,,,,,,,0,0
26068,1401,138,4,1,5:15,Council Meeting,,,,,,,,,,0,0
26069,1401,138,5,2,,Roll Call,,,,,,,,,,1,0
26070,1401,138,6,3,,"Per Utah Code Annotated 52-4-207 and City Council policy, Council Member Houseman may be participating in the January 21, 2020 City Council meeting via telephone and/or video conference.",,,,,,,,,,0,0
26071,1401,138,7,4,,Prayer / Pledge of Allegiance,,,,,,,,,,0,0
26072,1401,138,8,5,,Non-voting Items,,,,,,,,,,0,0
