candidate,office,election_year,filing_date,reporting_period,filing_type,stated_total_contributions,stated_total_expenditures,stated_beginning_balance,stated_ending_balance,itemized_contrib_sum,itemized_expend_sum,reconciles_contrib,reconciles_expend,recon_delta_contrib,recon_delta_expend,self_funded_amount,n_contrib_rows,n_expend_rows,source_filing,document_id,extraction_confidence,notes,filing_regime
Carlton J. Christensen,City Council District #1,2003,2003-02-18,2003 pre-election (Feb 14),interim,2.01,719.82,959.29,241.48,2.01,719.82,True,True,0.00,0.00,,1,9,raw/recorder_2003/Carlton_Christensen.pdf,recorder2003-Carlton_Christensen,high,RECORDER-2003 era (Wayback-recovered 2026-08-02). contributions: reconciles to the schedule's printed TOTAL; expenditures: reconciles to the schedule's printed TOTAL.,election_cycle
Carol A. Goode,City Council District #4,2003,2003-02-18,2003 pre-election (Feb 14),interim,0.00,42.24,0.00,-42.24,0,42.24,True,True,0.00,0.00,,0,2,raw/recorder_2003/Carol_Goode.pdf,recorder2003-Carol_Goode,high,RECORDER-2003 era (Wayback-recovered 2026-08-02). contributions: reconciles to the schedule's printed TOTAL; expenditures: reconciles to the schedule's printed TOTAL.,election_cycle
David Buhler,City Council #6,2003,2003-02-14,2003 pre-election (Feb 14),interim,2510.00,1601.45,4836.76,5745.31,2510.00,1601.45,True,True,0.00,0.00,,49,9,raw/recorder_2003/David_Buhler.pdf,recorder2003-David_Buhler,high,RECORDER-2003 era (Wayback-recovered 2026-08-02). contributions: reconciles to the schedule's printed TOTAL; expenditures: reconciles to the schedule's printed TOTAL.,election_cycle
David J. Spatafore,Mayor,2003,2003-02-18,2003 pre-election (Feb 14),interim,8724.00,6574.00,0.00,2150.00,8724.00,6574.00,True,True,0.00,0.00,,22,3,raw/recorder_2003/David_Spatafore.pdf,recorder2003-David_Spatafore,high,RECORDER-2003 era (Wayback-recovered 2026-08-02). contributions: reconciles to the schedule's printed TOTAL; expenditures: reconciles to the schedule's printed TOTAL.,election_cycle
Frank R. Pignanelli,Mayor,2003,2003-02-18,2003 pre-election (Feb 14),interim,100275.69,2968.15,0.00,97307.54,100275.69,2968.15,True,True,0.00,0.00,,61,7,raw/recorder_2003/Frank_R_Pignanelli.pdf,recorder2003-Frank_R_Pignanelli,high,RECORDER-2003 era (Wayback-recovered 2026-08-02). contributions: reconciles to the schedule's printed TOTAL; expenditures: reconciles to the schedule's printed TOTAL.,election_cycle
J. Michael Clára,City Council District #2,2003,2003-02-14,2003 pre-election (Feb 14),interim,956.65,745.45,0.00,211.20,956.65,745.45,True,True,0.00,0.00,,4,11,raw/recorder_2003/J_Michael_Clara.pdf,recorder2003-J_Michael_Clara,high,RECORDER-2003 era (Wayback-recovered 2026-08-02). contributions: reconciles to the schedule's printed TOTAL; expenditures: reconciles to the schedule's printed TOTAL.,election_cycle
Jill Remington Love,City Council District #5,2003,2003-02-18,2003 pre-election (Feb 14),interim,0.00,550.00,2643.85,2093.85,0,550.00,True,True,0.00,0.00,,0,3,raw/recorder_2003/Jill_Remington_Love.pdf,recorder2003-Jill_Remington_Love,high,RECORDER-2003 era (Wayback-recovered 2026-08-02). contributions: reconciles to the schedule's printed TOTAL; expenditures: reconciles to the schedule's printed TOTAL.,election_cycle
"Ross C. ""Rocky"" Anderson",Mayor,2003,2003-02-14,2003 pre-election (Feb 14),interim,66174.11,80765.15,77831.65,63240.65,66174.11,80765.15,True,True,0.00,0.00,,110,132,raw/recorder_2003/Ross_Anderson.pdf,recorder2003-Ross_Anderson,high,RECORDER-2003 era (Wayback-recovered 2026-08-02). contributions: reconciles to the schedule's printed TOTAL; expenditures: reconciles to the schedule's own printed TOTAL 80765.15; the SUMMARY prints 80765.11 — filer self-discrepancy 0.04 retained verbatim.,election_cycle
Russell Farrell,City Council District #4,2003,2003-02-18,2003 pre-election (Feb 14),interim,50.00,0.00,0.00,50.00,50.00,,True,,0.00,,,1,0,raw/recorder_2003/Russell_Farrell.pdf,recorder2003-Russell_Farrell,high,RECORDER-2003 era (Wayback-recovered 2026-08-02). contributions: reconciles to the schedule's printed TOTAL; expenditures: no itemized expenditure schedule present.,election_cycle
Van Turner,City Council #2,2003,2003-02-18,2003 pre-election (Feb 14),interim,0.00,0.00,0.00,0.00,0,,True,,0.00,,,0,0,raw/recorder_2003/Van_Turner.pdf,recorder2003-Van_Turner,high,RECORDER-2003 era (Wayback-recovered 2026-08-02). contributions: reconciles to the schedule's printed TOTAL; expenditures: no itemized expenditure schedule present.,election_cycle
