candidate,office,seat,election_year,filing_date,reporting_period,date,vendor_raw,vendor_normalized,purpose,amount,in_kind,is_incremental,source_filing,document_id,line_no,extraction_confidence,extract_method,needs_review,geometry
Carlton J. Christensen,City Council District #1,,2003,2003-02-18,2003 pre-election (Feb 14),2002-05-25,Costco,Costco,Printer Supplies,53.29,False,True,raw/recorder_2003/Carlton_Christensen.pdf,recorder2003-Carlton_Christensen,1,high,recorder2003/text,0,p1:l27:c40-45
Carlton J. Christensen,City Council District #1,,2003,2003-02-18,2003 pre-election (Feb 14),2002-06-01,"555.1212.com, Inc.","555.1212.com, Inc.",Address Lookups,9.95,False,True,raw/recorder_2003/Carlton_Christensen.pdf,recorder2003-Carlton_Christensen,2,high,recorder2003/text,0,p1:l28:c41-45
Carlton J. Christensen,City Council District #1,,2003,2003-02-18,2003 pre-election (Feb 14),2002-06-03,"Op Dealer, The","Op Dealer, The",Printer Supplies,25.99,False,True,raw/recorder_2003/Carlton_Christensen.pdf,recorder2003-Carlton_Christensen,3,high,recorder2003/text,0,p1:l29:c40-45
Carlton J. Christensen,City Council District #1,,2003,2003-02-18,2003 pre-election (Feb 14),2002-06-14,Comp USA,Comp USA,Computer Supplies,42.63,False,True,raw/recorder_2003/Carlton_Christensen.pdf,recorder2003-Carlton_Christensen,4,high,recorder2003/text,0,p1:l30:c40-45
Carlton J. Christensen,City Council District #1,,2003,2003-02-18,2003 pre-election (Feb 14),2002-08-21,Carrotink.com,Carrotink.com,Printer Supplies,77.34,False,True,raw/recorder_2003/Carlton_Christensen.pdf,recorder2003-Carlton_Christensen,5,high,recorder2003/text,0,p1:l31:c40-45
Carlton J. Christensen,City Council District #1,,2003,2003-02-18,2003 pre-election (Feb 14),2002-11-21,"Op Dealer, The","Op Dealer, The",Printer Supplies,27.71,False,True,raw/recorder_2003/Carlton_Christensen.pdf,recorder2003-Carlton_Christensen,6,high,recorder2003/text,0,p1:l32:c40-45
Carlton J. Christensen,City Council District #1,,2003,2003-02-18,2003 pre-election (Feb 14),2002-12-30,Office Depot,Office Depot,Office Supplies,180.36,False,True,raw/recorder_2003/Carlton_Christensen.pdf,recorder2003-Carlton_Christensen,7,high,recorder2003/text,0,p1:l33:c39-45
Carlton J. Christensen,City Council District #1,,2003,2003-02-18,2003 pre-election (Feb 14),2003-01-07,"Op Dealer, The","Op Dealer, The",Paper Supplies,16.95,False,True,raw/recorder_2003/Carlton_Christensen.pdf,recorder2003-Carlton_Christensen,8,high,recorder2003/text,0,p1:l34:c40-45
Carlton J. Christensen,City Council District #1,,2003,2003-02-18,2003 pre-election (Feb 14),2003-01-25,Office Depot,Office Depot,Office Supplies,285.60,False,True,raw/recorder_2003/Carlton_Christensen.pdf,recorder2003-Carlton_Christensen,9,high,recorder2003/text,0,p1:l35:c39-45
Carol A. Goode,City Council District #4,,2003,2003-02-18,2003 pre-election (Feb 14),2003-02-13,Smith's Food & Drugs,Smith's Food & Drugs,Committee Meeting-Snacks,22.89,False,True,raw/recorder_2003/Carol_Goode.pdf,recorder2003-Carol_Goode,1,high,recorder2003/text,0,p1:l26:c43-48
