date,body,md_path,source_url,minutes_status,extraction
2019-01-08,Board of Commissioners,legislative/minutes/2019/2019-01-08_board_of_commissioners.md,https://www.washco.utah.gov/forms/pdf/minutes/2019/M%202019-01-08.pdf,Final,OCR
2019-01-22,Board of Commissioners,legislative/minutes/2019/2019-01-22_board_of_commissioners.md,https://www.washco.utah.gov/forms/pdf/minutes/2019/M%202019-01-22.pdf,Final,OCR
2019-02-05,Board of Commissioners,legislative/minutes/2019/2019-02-05_board_of_commissioners.md,https://www.washco.utah.gov/forms/pdf/minutes/2019/M%202019-02-05.pdf,Final,OCR
2019-02-19,Board of Commissioners,legislative/minutes/2019/2019-02-19_board_of_commissioners.md,https://www.washco.utah.gov/forms/pdf/minutes/2019/M%202019-02-19.pdf,Final,OCR
2019-02-25,Board of Commissioners (Special Meeting),legislative/minutes/2019/2019-02-25_board_of_commissioners_special.md,https://www.washco.utah.gov/forms/pdf/minutes/2019/M%202019-02-25%20SPEC.pdf,Final,OCR
2019-03-19,Board of Commissioners,legislative/minutes/2019/2019-03-19_board_of_commissioners.md,https://www.washco.utah.gov/forms/pdf/minutes/2019/M%202019-03-19.pdf,Final,OCR
2019-03-19,Board of Commissioners (Special Meeting),legislative/minutes/2019/2019-03-19_board_of_commissioners_special.md,https://www.washco.utah.gov/forms/pdf/minutes/2019/M%202019-03-19%20SPEC.pdf,Final,OCR
2019-03-20,Board of Commissioners (Special Meeting),legislative/minutes/2019/2019-03-20_board_of_commissioners_special.md,https://www.washco.utah.gov/forms/pdf/minutes/2019/M%202019-03-20%20SPEC.pdf,Final,OCR
2019-04-15,Board of Commissioners (Work Session),legislative/minutes/2019/2019-04-15_board_of_commissioners_work.md,https://www.washco.utah.gov/forms/pdf/minutes/2019/M%202019-04-15%20W.pdf,Final,OCR
2019-04-16,Board of Commissioners,legislative/minutes/2019/2019-04-16_board_of_commissioners.md,https://www.washco.utah.gov/forms/pdf/minutes/2019/M%202019-04-16.pdf,Final,OCR
2019-05-03,Board of Commissioners (Special Meeting),legislative/minutes/2019/2019-05-03_board_of_commissioners_special.md,https://www.washco.utah.gov/forms/pdf/minutes/2019/M%202019-05-03%20SPEC.pdf,Final,OCR
2019-05-07,Board of Commissioners,legislative/minutes/2019/2019-05-07_board_of_commissioners.md,https://www.washco.utah.gov/forms/pdf/minutes/2019/M%202019-05-07.pdf,Final,OCR
2019-05-21,Board of Commissioners,legislative/minutes/2019/2019-05-21_board_of_commissioners.md,https://www.washco.utah.gov/forms/pdf/minutes/2019/M%202019-05-21.pdf,Final,OCR
2019-05-21,Board of Commissioners (Special Meeting),legislative/minutes/2019/2019-05-21_board_of_commissioners_special.md,https://www.washco.utah.gov/forms/pdf/minutes/2019/M%202019-05-21%20SPEC.pdf,Final,OCR
2019-06-04,Board of Commissioners,legislative/minutes/2019/2019-06-04_board_of_commissioners.md,https://www.washco.utah.gov/forms/pdf/minutes/2019/M%202019-06-04.pdf,Final,OCR
2019-06-18,Board of Commissioners,legislative/minutes/2019/2019-06-18_board_of_commissioners.md,https://www.washco.utah.gov/forms/pdf/minutes/2019/M%202019-06-18.pdf,Final,OCR
2019-06-24,Board of Commissioners (Special Meeting),legislative/minutes/2019/2019-06-24_board_of_commissioners_special.md,https://www.washco.utah.gov/forms/pdf/minutes/2019/M%202019-06-24%20SPEC.pdf,Final,OCR
2019-07-02,Board of Commissioners,legislative/minutes/2019/2019-07-02_board_of_commissioners.md,https://www.washco.utah.gov/forms/pdf/minutes/2019/M%202019-07-02.pdf,Final,OCR
2019-07-16,Board of Commissioners,legislative/minutes/2019/2019-07-16_board_of_commissioners.md,https://www.washco.utah.gov/forms/pdf/minutes/2019/M%202019-07-16.pdf,Final,OCR
