member,role,first_seen,last_seen,n_meetings
Apollo Pazell,Council Member,2018-07-18,2020-09-16,25
Kathleen Bailey,Council Member,2018-07-18,2026-05-20,74
Kevin Severson,Council Member,2018-07-18,2025-10-15,66
Ron Patrick,Council Member,2018-07-18,2019-12-20,9
Sean Clayton,Mayor/Chair,2018-07-18,2026-05-20,53
Sorensen,Council Member,2018-11-21,2021-03-17,4
Tessa Stitzer,Council Member,2020-01-15,2026-05-20,66
Dave Olsen,Council Member,2020-12-16,2024-10-16,27
Linda McCalmon,Council Member,2025-01-15,2026-05-20,10
Jonathan Pratt,Council Member,2026-02-18,2026-04-15,2
