date,reason,candidates
2017-02-15,PMN file HTTP 404 (retention purge; files older than ~mid-2018 removed); not on town GoDaddy site (coverage starts 2023) — minutes existed (notice + audio on PMN) but minutes document unrecoverable,pmn:02-15-17.pdf:empty/small
2017-03-01,PMN file HTTP 404 (retention purge; files older than ~mid-2018 removed); not on town GoDaddy site (coverage starts 2023) — minutes existed (notice + audio on PMN) but minutes document unrecoverable,pmn:03-01-17.pdf:empty/small
2017-03-15,PMN file HTTP 404 (retention purge; files older than ~mid-2018 removed); not on town GoDaddy site (coverage starts 2023) — minutes existed (notice + audio on PMN) but minutes document unrecoverable,pmn:03-15-17.pdf:empty/small
2017-04-05,PMN file HTTP 404 (retention purge; files older than ~mid-2018 removed); not on town GoDaddy site (coverage starts 2023) — minutes existed (notice + audio on PMN) but minutes document unrecoverable,pmn:04-05-17.pdf:empty/small
2017-04-19,PMN file HTTP 404 (retention purge; files older than ~mid-2018 removed); not on town GoDaddy site (coverage starts 2023) — minutes existed (notice + audio on PMN) but minutes document unrecoverable,pmn:04-19-17.pdf:empty/small
2017-05-03,PMN file HTTP 404 (retention purge; files older than ~mid-2018 removed); not on town GoDaddy site (coverage starts 2023) — minutes existed (notice + audio on PMN) but minutes document unrecoverable,pmn:05-03-17.pdf:empty/small
2017-05-17,PMN file HTTP 404 (retention purge; files older than ~mid-2018 removed); not on town GoDaddy site (coverage starts 2023) — minutes existed (notice + audio on PMN) but minutes document unrecoverable,pmn:05-17-17.pdf:empty/small
2017-06-07,PMN file HTTP 404 (retention purge; files older than ~mid-2018 removed); not on town GoDaddy site (coverage starts 2023) — minutes existed (notice + audio on PMN) but minutes document unrecoverable,pmn:06-07-17.pdf:empty/small
2017-06-21,PMN file HTTP 404 (retention purge; files older than ~mid-2018 removed); not on town GoDaddy site (coverage starts 2023) — minutes existed (notice + audio on PMN) but minutes document unrecoverable,pmn:06-21-17.pdf:empty/small
2017-07-19,PMN file HTTP 404 (retention purge; files older than ~mid-2018 removed); not on town GoDaddy site (coverage starts 2023) — minutes existed (notice + audio on PMN) but minutes document unrecoverable,pmn:07-19-17.pdf:empty/small; pmn:07-19-17.docx:empty/small
2017-08-02,PMN file HTTP 404 (retention purge; files older than ~mid-2018 removed); not on town GoDaddy site (coverage starts 2023) — minutes existed (notice + audio on PMN) but minutes document unrecoverable,pmn:08-02-17.pdf:empty/small; pmn:08-02-17.docx:empty/small
2017-08-16,PMN file HTTP 404 (retention purge; files older than ~mid-2018 removed); not on town GoDaddy site (coverage starts 2023) — minutes existed (notice + audio on PMN) but minutes document unrecoverable,pmn:08-16-17.pdf:empty/small; pmn:08-16-17.docx:empty/small
