date,candidate,office,election_year,filing_type,reporting_period,title,source_url,retrieved_date,format,extraction_method,path,candidate_match,date_precision,view_id,page_range,notes
2019-11-05,NATHAN H. MEMMOTT,Council,2019,summary,post-general (2019 municipal general),2019 final/summary campaign financial report — NATHAN H. MEMMOTT (Council),https://www.nephi.utah.gov/DocumentCenter/View/1199,2026-07-05,scanned,ocr:tesseract --psm 6 @200dpi,raw/cf_1199_Memmott-Financial-Disclosure-Report.pdf,matched,inferred,1199,,
2019-11-05,SARAH GOODE,Council,2019,summary,post-general (2019 municipal general),2019 final/summary campaign financial report — SARAH GOODE (Council),https://www.nephi.utah.gov/DocumentCenter/View/1200,2026-07-05,scanned,ocr:tesseract --psm 6 @200dpi,raw/cf_1200_Goode-Financial-Disclosure-Report.pdf,matched,inferred,1200,,
2019-11-05,LARRY O. OSTLER,Council,2019,summary,post-general (2019 municipal general),2019 final/summary campaign financial report — LARRY O. OSTLER (Council),https://www.nephi.utah.gov/DocumentCenter/View/1201,2026-07-05,scanned,ocr:tesseract --psm 6 @200dpi,raw/cf_1201_Ostler-Financial-Disclosure-Report.pdf,matched,inferred,1201,,
2019-11-05,JUSTIN D. SEELY,Council,2019,summary,post-general (2019 municipal general),2019 final/summary campaign financial report — JUSTIN D. SEELY (Council),https://www.nephi.utah.gov/DocumentCenter/View/1202,2026-07-05,scanned,ocr:tesseract --psm 6 @200dpi,raw/cf_1202_Seely-Financial-Disclosure-Report.pdf,matched,inferred,1202,,
2021-11-02,JUSTIN D. SEELY,Mayor,2021,interim,pre-general interim (Sept–Oct 2021 filings),2021 interim campaign financial report — JUSTIN D. SEELY (Mayor),https://www.nephi.utah.gov/DocumentCenter/View/2118,2026-07-05,scanned,ocr:tesseract --psm 6 @200dpi,raw/cf_2118_2021-Campaign-Financial-Report.pdf,matched,inferred,2118,1-2,
2021-11-02,SKIP F. WORWOOD,Council,2021,interim,pre-general interim (Sept–Oct 2021 filings),2021 interim campaign financial report — SKIP F. WORWOOD (Council),https://www.nephi.utah.gov/DocumentCenter/View/2118,2026-07-05,scanned,ocr:tesseract --psm 6 @200dpi,raw/cf_2118_2021-Campaign-Financial-Report.pdf,matched,inferred,2118,3-4,
2021-11-02,J.D. PARADY,Council,2021,interim,pre-general interim (Sept–Oct 2021 filings),2021 interim campaign financial report — J.D. PARADY (Council),https://www.nephi.utah.gov/DocumentCenter/View/2118,2026-07-05,scanned,ocr:tesseract --psm 6 @200dpi,raw/cf_2118_2021-Campaign-Financial-Report.pdf,matched,inferred,2118,5-6,
2021-11-02,L. NYLE ROBINSON,Council,2021,interim,pre-general interim (Sept–Oct 2021 filings),2021 interim campaign financial report — L. NYLE ROBINSON (Council),https://www.nephi.utah.gov/DocumentCenter/View/2118,2026-07-05,scanned,ocr:tesseract --psm 6 @200dpi,raw/cf_2118_2021-Campaign-Financial-Report.pdf,matched,inferred,2118,7-8,
2021-11-02,JERAMIE L. CALLAWAY,Council,2021,interim,pre-general interim (Sept–Oct 2021 filings),2021 interim campaign financial report — JERAMIE L. CALLAWAY (Council),https://www.nephi.utah.gov/DocumentCenter/View/2118,2026-07-05,scanned,ocr:tesseract --psm 6 @200dpi,raw/cf_2118_2021-Campaign-Financial-Report.pdf,matched,inferred,2118,9-10,
2021-11-02,GLADE R. NIELSON,Mayor,2021,interim,pre-general interim (Sept–Oct 2021 filings),2021 interim campaign financial report — GLADE R. NIELSON (Mayor),https://www.nephi.utah.gov/DocumentCenter/View/2118,2026-07-05,scanned,ocr:tesseract --psm 6 @200dpi,raw/cf_2118_2021-Campaign-Financial-Report.pdf,matched,inferred,2118,11-12,
2023-08-15,BART STANLEY MILLER,Council,2023,interim,pre-election interim (Jun–Oct 2023 filings),2023 interim campaign financial report — BART STANLEY MILLER (Council),https://www.nephi.utah.gov/DocumentCenter/View/2706,2026-07-05,scanned,ocr:tesseract --psm 6 @200dpi,raw/cf_2706_Campaign-Financial-Reports-2023.pdf,matched,inferred,2706,1-4,OCR name 'Bart Stanley Miller'; form date 08/28/2023
2023-08-15,TRAVIS L WORWOOD,Council,2023,interim,pre-election interim (Jun–Oct 2023 filings),2023 interim campaign financial report — TRAVIS L WORWOOD (Council),https://www.nephi.utah.gov/DocumentCenter/View/2706,2026-07-05,scanned,ocr:tesseract --psm 6 @200dpi,raw/cf_2706_Campaign-Financial-Reports-2023.pdf,matched,inferred,2706,5-6,OCR name 'Travis Larsen Worwood'; form date 10/23/2023
2023-08-15,SHARI COWAN,Council,2023,interim,pre-election interim (Jun–Oct 2023 filings),2023 interim campaign financial report — SHARI COWAN (Council),https://www.nephi.utah.gov/DocumentCenter/View/2706,2026-07-05,scanned,ocr:tesseract --psm 6 @200dpi,raw/cf_2706_Campaign-Financial-Reports-2023.pdf,matched,inferred,2706,11-12,OCR name 'Shari Cowan'
2023-08-15,JOHN BRADLEY,Council,2023,interim,pre-election interim (Jun–Oct 2023 filings),2023 interim campaign financial report — JOHN BRADLEY (Council),https://www.nephi.utah.gov/DocumentCenter/View/2706,2026-07-05,scanned,ocr:tesseract --psm 6 @200dpi,raw/cf_2706_Campaign-Financial-Reports-2023.pdf,matched,inferred,2706,17-18,OCR name 'John Bradley'
2023-08-15,VANESSA GOODE,Council,2023,interim,pre-election interim (Jun–Oct 2023 filings),2023 interim campaign financial report — VANESSA GOODE (Council) [OCR-uncertain],https://www.nephi.utah.gov/DocumentCenter/View/2706,2026-07-05,scanned,ocr:tesseract --psm 6 @200dpi,raw/cf_2706_Campaign-Financial-Reports-2023.pdf,ocr_uncertain;not_in_election_results,inferred,2706,7-8,OCR name 'Vanessa Goode'; not in nephi_results_by_candidate.csv — possible 2023 primary-only candidate. FLAG.
2023-08-15,CAROLYN LOUISE (surname unclear),Council,2023,interim,pre-election interim (Jun–Oct 2023 filings),2023 interim campaign financial report — CAROLYN LOUISE (Council) [OCR-uncertain],https://www.nephi.utah.gov/DocumentCenter/View/2706,2026-07-05,scanned,ocr:tesseract --psm 6 @200dpi,raw/cf_2706_Campaign-Financial-Reports-2023.pdf,ocr_uncertain;not_in_election_results,inferred,2706,13-14,OCR name 'Carolyn Louise …'; not in election_results — possible 2023 primary-only candidate. FLAG.
