city,candidate,election_year,office,seat,raised,spent,n_filings,n_live,basis,review_flag
nephi,JUSTIN D. SEELY,2019,Council,,0.0,820.2,1,1,summary,
nephi,LARRY O. OSTLER,2019,Council,,0.0,777.98,1,1,summary,
nephi,NATHAN H. MEMMOTT,2019,Council,,250.0,714.02,1,1,summary,
nephi,SARAH GOODE,2019,Council,,0.0,0.0,1,1,summary,
nephi,SKIP F. WORWOOD,2021,Council,,0.0,2216.22,1,1,single,
nephi,J.D. PARADY,2021,Council,,480.0,1570.61,1,1,single,
nephi,JERAMIE L. CALLAWAY,2021,Council,,290.0,1067.23,1,1,single,
nephi,L. NYLE ROBINSON,2021,Council,,0.0,1001.25,1,1,single,
nephi,JUSTIN D. SEELY,2021,Mayor,,3400.0,3682.68,1,1,single,
nephi,GLADE R. NIELSON,2021,Mayor,,1500.0,1943.98,1,1,single,
nephi,BART STANLEY MILLER,2023,Council,,1684.65,1684.65,2,2,summary,"MIXED: latest summary $1,685 vs summed interims $1,241 spent — took the larger; verify per-candidate incremental-vs-cumulative"
nephi,LARRY OSTLER,2023,Council,,1000.0,1457.3,1,1,summary,
nephi,CAROLYN LOUISE (surname unclear),2023,Council,,0.0,1328.58,1,1,single,
nephi,JOHN BRADLEY,2023,Council,,740.0,1233.85,2,2,summary,
nephi,SHARI COWAN,2023,Council,,202.35,1112.5,2,2,sum-interim,
nephi,VANESSA GOODE,2023,Council,,0.0,517.32,1,1,single,
nephi,TRAVIS L WORWOOD,2023,Council,,0.0,491.81,2,2,sum-interim,
nephi,J.D. PARADY,2023,Council,,0.0,0.0,1,1,summary,
nephi,JERAMIE L. CALLAWAY,2025,Council,,0.0,3254.37,4,4,summary,
nephi,SKIP F. WORWOOD,2025,Council,,0.0,1609.24,4,4,sum-interim,
nephi,TATE T. DOUGLAS,2025,Council,,0.0,1158.72,4,4,sum-interim,
nephi,BART STANLEY MILLER,2025,Council,,508.41,508.41,4,4,summary,
nephi,SCOTT L. JACKSON,2025,Council,,459.2,459.2,1,1,single,
nephi,JUSTIN D. SEELY,2025,Mayor,,0.0,0.0,3,3,summary,
