date,body,meeting_type,packet_kind,title,filename,url
2018-02-01,Council,Regular,full_packet,Council Meeting Agenda 2.1.2018,2-1-2018_agenda_and_information_packet.pdf,https://whitecity.utah.gov/files/752d0f85e/2-1-2018_agenda_and_information_packet.pdf
2019-11-04,PlanningCommission,Regular,full_packet,White City Metro Township Planning Commission Packet 11.4.2019,2019.11.04_pc_packet.pdf,https://whitecity.utah.gov/files/27a74535e/2019.11.04_pc_packet.pdf
2019-11-19,Council,Canvass,full_packet,Board of Canvassers Meeting Packet 11.19.2019,11-19-19_boc_item_3.1_general_election_board_of_canvassers_packet.pdf,https://whitecity.utah.gov/files/0465ff24c/11-19-19_boc_item_3.1_general_election_board_of_canvassers_packet.pdf
2019-12-05,Council,Regular,full_packet,Council Meeting Packet 12.5.2019,12-05-2019_combined_wcmtc_agenda_packet.pdf.pdf,https://whitecity.utah.gov/files/58b8794c6/12-05-2019_combined_wcmtc_agenda_packet.pdf.pdf
2020-02-06,Council,Regular,full_packet,Council Meeting Packet 2.6.2020,02-06-2020_meeting_packet.pdf,https://whitecity.utah.gov/files/223e5f619/02-06-2020_meeting_packet.pdf
2020-03-05,Council,Regular,full_packet,Council Meeting Packet 3.5.2020,03-05-2020_meeting_packet.pdf,https://whitecity.utah.gov/files/d36d4b8a6/03-05-2020_meeting_packet.pdf
2020-05-07,Council,Regular,full_packet,Council Meeting Packet 5.7.2020,05-07-2020_meeting_packet.pdf,https://whitecity.utah.gov/files/2c1329f8e/05-07-2020_meeting_packet.pdf
2020-05-07,Council,Regular,full_packet,Council Meeting Additional Packet 5.7.2020,05-07-2020_meeting_packet_additional_-_joining_fema_national_flood_insurance_program.pdf,https://whitecity.utah.gov/files/418b6d537/05-07-2020_meeting_packet_additional_-_joining_fema_national_flood_insurance_program.pdf
2020-06-04,Council,Regular,full_packet,Council Meeting Packet 6.4.2020,06-04-2020_meeting_packet.pdf,https://whitecity.utah.gov/files/b8c7449dd/06-04-2020_meeting_packet.pdf
2020-07-02,Council,Regular,full_packet,Council Meeting Packet 7.2.2020,07-02-2020_meeting_packet.pdf,https://whitecity.utah.gov/files/b8c518e6c/07-02-2020_meeting_packet.pdf
2020-09-03,Council,Regular,full_packet,Council Meeting Packet 9.3.2020,Council Meeting Packet 9.3.2020.pdf,https://whitecity.utah.gov/files/7117aef14/Council+Meeting+Packet+9.3.2020.pdf
2020-10-01,Council,Regular,full_packet,Council Meeting Packet 10.1.2020,10.01.2020 meeting_packet.pdf,https://whitecity.utah.gov/files/56844c27e/10.01.2020+meeting_packet.pdf
2020-10-15,Council,Special,full_packet,Special Workshop Meeting Packet 10.15.2020,10.15.2020 workshop_meeting_packet.pdf,https://whitecity.utah.gov/files/09dcfa5bc/10.15.2020+workshop_meeting_packet.pdf
2020-11-05,Council,Regular,full_packet,Council Meeting Packet 11.5.2020,11-05-2020_wcmtc_meeting_packet_amended.pdf,https://whitecity.utah.gov/files/a4bba84dc/11-05-2020_wcmtc_meeting_packet_amended.pdf
2020-12-03,Council,Regular,full_packet,Council Meeting Packet 12.3.2020,12-03-2020_wcmtc_meeting_packet.pdf,https://whitecity.utah.gov/files/d62cfef83/12-03-2020_wcmtc_meeting_packet.pdf
2020-12-17,Council,Special,full_packet,Special White City Metro Township Meeting Packet 12.17.2020,12-17-2020_special_wcmtc_packet.pdf,https://whitecity.utah.gov/files/3cde1e434/12-17-2020_special_wcmtc_packet.pdf
2021-01-07,Council,Regular,full_packet,Council Meeting Packet 1.7.2021,1-07-2021_wcmtc_packet.pdf,https://whitecity.utah.gov/files/05826da3d/1-07-2021_wcmtc_packet.pdf
2021-02-04,Council,Regular,full_packet,Council Meeting Packet 2.4.2021,2-04-2021_wcmtc_packet.pdf,https://whitecity.utah.gov/files/39c2f44cc/2-04-2021_wcmtc_packet.pdf
2021-03-04,Council,Regular,full_packet,Council Meeting Packet 3.4.2021,3-4-2021_wctc_packet.pdf,https://whitecity.utah.gov/files/309769758/3-4-2021_wctc_packet.pdf
2021-04-01,Council,Regular,full_packet,Council Meeting Packet 4.1.2021,04-01-21_wcmt_council_meeting_packet.pdf,https://whitecity.utah.gov/files/8d5504921/04-01-21_wcmt_council_meeting_packet.pdf
2021-05-06,Council,Regular,full_packet,Council Meeting Packet 5.6.2021,5.6.2021 wcmt_meeting_packet.pdf,https://whitecity.utah.gov/files/00696c19a/5.6.2021+wcmt_meeting_packet.pdf
2021-05-25,PlanningCommission,Regular,full_packet,Planning Commission Meeting Packet 5.25.2021,5.25.2021_packet.pdf,https://whitecity.utah.gov/files/95e67599c/5.25.2021_packet.pdf
2021-06-03,Council,Regular,full_packet,Council Meeting Packet 6.3.2021,6-3-2021_wcmtc_packet.pdf,https://whitecity.utah.gov/files/6f416c7a6/6-3-2021_wcmtc_packet.pdf
2021-07-08,Council,Regular,full_packet,Council Meeting Packet 7.8.2021,7.8.2021 wcmtc_packet.pdf,https://whitecity.utah.gov/files/3c922962b/7.8.2021+wcmtc_packet.pdf
2021-08-05,Council,Regular,full_packet,Council Meeting Packet 8.5.2021,8-05-2021_wcmtc_packet.pdf,https://whitecity.utah.gov/files/7ff85b38c/8-05-2021_wcmtc_packet.pdf
2021-08-26,PlanningCommission,Regular,full_packet,Planning Commission Meeting Packet 8.26.2021,8.26.2021_whitecitypc_packet.pdf,https://whitecity.utah.gov/files/d289de563/8.26.2021_whitecitypc_packet.pdf
2021-09-02,Council,Regular,full_packet,Council Meeting Packet 9.2.2021,9-02-2021_wcmtc_packet.pdf,https://whitecity.utah.gov/files/36d9ff67f/9-02-2021_wcmtc_packet.pdf
2021-09-07,PlanningCommission,Special,full_packet,Special Planning Commission Meeting Packet 9.7.2021,9.7.2021_whitecitypc_smpacket.pdf,https://whitecity.utah.gov/files/d7b3ca246/9.7.2021_whitecitypc_smpacket.pdf
2021-10-07,Council,Regular,full_packet,Council Meeting Packet 10.7.2021,10-07-2021_wcmtc_packet.pdf,https://whitecity.utah.gov/files/6e806b538/10-07-2021_wcmtc_packet.pdf
2021-10-21,Council,Special,full_packet,Special General Plan Council Workshop Packet 10.21.2021,10.21.2021 white_city_general_plan_draft.pdf,https://whitecity.utah.gov/files/a7a87f8c2/10.21.2021+white_city_general_plan_draft.pdf
2021-11-18,Council,Regular,full_packet,Council Meeting Packet 11.18.2021,11-18-2021_council_packet.pdf,https://whitecity.utah.gov/files/a65f05143/11-18-2021_council_packet.pdf
2021-12-09,Council,Special,full_packet,Special White City Metro Township Council Meeting Packet 12.9.2021,12-09-2021_wcmtc_packet.pdf,https://whitecity.utah.gov/files/4ee5d2beb/12-09-2021_wcmtc_packet.pdf
