date,body,content_length,filename
2018-02-01,Council,2269637,2-1-2018_agenda_and_information_packet.pdf
2019-11-04,PlanningCommission,2212593,2019.11.04_pc_packet.pdf
2019-11-19,Council,324974,11-19-19_boc_item_3.1_general_election_board_of_canvassers_packet.pdf
2019-12-05,Council,1879374,12-05-2019_combined_wcmtc_agenda_packet.pdf.pdf
2020-02-06,Council,443071,02-06-2020_meeting_packet.pdf
2020-03-05,Council,350878,03-05-2020_meeting_packet.pdf
2020-05-07,Council,1660540,05-07-2020_meeting_packet.pdf
2020-05-07,Council,2099298,05-07-2020_meeting_packet_additional_-_joining_fema_national_flood_insurance_program.pdf
2020-06-04,Council,8746184,06-04-2020_meeting_packet.pdf
2020-07-02,Council,3510094,07-02-2020_meeting_packet.pdf
2020-09-03,Council,2438254,Council Meeting Packet 9.3.2020.pdf
2020-10-01,Council,27886467,10.01.2020 meeting_packet.pdf
2020-10-15,Council,4718032,10.15.2020 workshop_meeting_packet.pdf
2020-11-05,Council,626166,11-05-2020_wcmtc_meeting_packet_amended.pdf
2020-12-03,Council,1682148,12-03-2020_wcmtc_meeting_packet.pdf
2020-12-17,Council,932668,12-17-2020_special_wcmtc_packet.pdf
2021-01-07,Council,409966,1-07-2021_wcmtc_packet.pdf
2021-02-04,Council,407699,2-04-2021_wcmtc_packet.pdf
2021-03-04,Council,7949191,3-4-2021_wctc_packet.pdf
2021-04-01,Council,3555546,04-01-21_wcmt_council_meeting_packet.pdf
2021-05-06,Council,6233699,5.6.2021 wcmt_meeting_packet.pdf
2021-05-25,PlanningCommission,7584670,5.25.2021_packet.pdf
2021-06-03,Council,6302485,6-3-2021_wcmtc_packet.pdf
2021-07-08,Council,1647902,7.8.2021 wcmtc_packet.pdf
2021-08-05,Council,2009087,8-05-2021_wcmtc_packet.pdf
2021-08-26,PlanningCommission,1390240,8.26.2021_whitecitypc_packet.pdf
2021-09-02,Council,1845471,9-02-2021_wcmtc_packet.pdf
2021-09-07,PlanningCommission,5517797,9.7.2021_whitecitypc_smpacket.pdf
2021-10-07,Council,68152958,10-07-2021_wcmtc_packet.pdf
2021-10-21,Council,67681732,10.21.2021 white_city_general_plan_draft.pdf
2021-11-18,Council,5145585,11-18-2021_council_packet.pdf
2021-12-09,Council,1339303,12-09-2021_wcmtc_packet.pdf
2022-01-03,Council,67495943,1-03-2022_wcmtc_packet.pdf
2022-01-06,Council,2078724,1-06-2022_wcmtc_packet.pdf
2022-02-03,Council,519769,wcmt_02-03-2022_council_packet.pdf
2022-04-07,Council,5902405,wcmt_packet_4-7-2022.pdf
2022-05-05,Council,1118145,05-05-22_wcmt_packet.pdf
2022-06-02,Council,3871423,wcmt_meeting_packet_6-2-2022.pdf
2022-06-23,Council,347870,wcmt_packet_for_june_23_2022.pdf
2022-08-04,Council,3732239,8-4-2022_white_city_council_packet.pdf
