year,election_type,office,contest,precinct_code,precinct_name,candidate,votes
2019,municipal general,Council,St George City Council,1,AV51,BETTE O ARIAL,0
2019,municipal general,Council,St George City Council,1,AV51,DANNIELLE LARKIN,0
2019,municipal general,Council,St George City Council,1,AV51,ED BACA,0
2019,municipal general,Council,St George City Council,1,AV51,GREG ALDRED,0
2019,municipal general,Council,St George City Council,1,AV51,GREGG MCARTHUR,0
2019,municipal general,Council,St George City Council,1,AV51,JIMMIE B HUGHES,0
2019,municipal general,Council,St George City Council,10,HU59,BETTE O ARIAL,0
2019,municipal general,Council,St George City Council,10,HU59,DANNIELLE LARKIN,0
2019,municipal general,Council,St George City Council,10,HU59,ED BACA,0
2019,municipal general,Council,St George City Council,10,HU59,GREG ALDRED,0
2019,municipal general,Council,St George City Council,10,HU59,GREGG MCARTHUR,0
2019,municipal general,Council,St George City Council,10,HU59,JIMMIE B HUGHES,0
2019,municipal general,Council,St George City Council,11,HU60,BETTE O ARIAL,0
2019,municipal general,Council,St George City Council,11,HU60,DANNIELLE LARKIN,0
2019,municipal general,Council,St George City Council,11,HU60,ED BACA,0
2019,municipal general,Council,St George City Council,11,HU60,GREG ALDRED,0
2019,municipal general,Council,St George City Council,11,HU60,GREGG MCARTHUR,0
2019,municipal general,Council,St George City Council,11,HU60,JIMMIE B HUGHES,0
2019,municipal general,Council,St George City Council,12,HU61,BETTE O ARIAL,0
2019,municipal general,Council,St George City Council,12,HU61,DANNIELLE LARKIN,0
2019,municipal general,Council,St George City Council,12,HU61,ED BACA,0
2019,municipal general,Council,St George City Council,12,HU61,GREG ALDRED,0
2019,municipal general,Council,St George City Council,12,HU61,GREGG MCARTHUR,0
2019,municipal general,Council,St George City Council,12,HU61,JIMMIE B HUGHES,0
2019,municipal general,Council,St George City Council,13,IV76,BETTE O ARIAL,0
2019,municipal general,Council,St George City Council,13,IV76,DANNIELLE LARKIN,0
2019,municipal general,Council,St George City Council,13,IV76,ED BACA,0
2019,municipal general,Council,St George City Council,13,IV76,GREG ALDRED,0
2019,municipal general,Council,St George City Council,13,IV76,GREGG MCARTHUR,0
2019,municipal general,Council,St George City Council,13,IV76,JIMMIE B HUGHES,0
2019,municipal general,Council,St George City Council,14,IV77,BETTE O ARIAL,0
2019,municipal general,Council,St George City Council,14,IV77,DANNIELLE LARKIN,0
2019,municipal general,Council,St George City Council,14,IV77,ED BACA,0
2019,municipal general,Council,St George City Council,14,IV77,GREG ALDRED,0
2019,municipal general,Council,St George City Council,14,IV77,GREGG MCARTHUR,0
2019,municipal general,Council,St George City Council,14,IV77,JIMMIE B HUGHES,0
2019,municipal general,Council,St George City Council,15,IV78,BETTE O ARIAL,0
2019,municipal general,Council,St George City Council,15,IV78,DANNIELLE LARKIN,0
2019,municipal general,Council,St George City Council,15,IV78,ED BACA,0
2019,municipal general,Council,St George City Council,15,IV78,GREG ALDRED,0
2019,municipal general,Council,St George City Council,15,IV78,GREGG MCARTHUR,0
2019,municipal general,Council,St George City Council,15,IV78,JIMMIE B HUGHES,0
2019,municipal general,Council,St George City Council,16,IV79,BETTE O ARIAL,0
2019,municipal general,Council,St George City Council,16,IV79,DANNIELLE LARKIN,0
2019,municipal general,Council,St George City Council,16,IV79,ED BACA,0
2019,municipal general,Council,St George City Council,16,IV79,GREG ALDRED,0
2019,municipal general,Council,St George City Council,16,IV79,GREGG MCARTHUR,0
2019,municipal general,Council,St George City Council,16,IV79,JIMMIE B HUGHES,0
2019,municipal general,Council,St George City Council,17,IV80,BETTE O ARIAL,0
2019,municipal general,Council,St George City Council,17,IV80,DANNIELLE LARKIN,0
2019,municipal general,Council,St George City Council,17,IV80,ED BACA,0
2019,municipal general,Council,St George City Council,17,IV80,GREG ALDRED,0
2019,municipal general,Council,St George City Council,17,IV80,GREGG MCARTHUR,0
2019,municipal general,Council,St George City Council,17,IV80,JIMMIE B HUGHES,0
2019,municipal general,Council,St George City Council,18,LA85,BETTE O ARIAL,0
2019,municipal general,Council,St George City Council,18,LA85,DANNIELLE LARKIN,0
2019,municipal general,Council,St George City Council,18,LA85,ED BACA,0
2019,municipal general,Council,St George City Council,18,LA85,GREG ALDRED,0
2019,municipal general,Council,St George City Council,18,LA85,GREGG MCARTHUR,0
2019,municipal general,Council,St George City Council,18,LA85,JIMMIE B HUGHES,0
2019,municipal general,Council,St George City Council,19,LA86,BETTE O ARIAL,0
2019,municipal general,Council,St George City Council,19,LA86,DANNIELLE LARKIN,0
2019,municipal general,Council,St George City Council,19,LA86,ED BACA,0
2019,municipal general,Council,St George City Council,19,LA86,GREG ALDRED,0
2019,municipal general,Council,St George City Council,19,LA86,GREGG MCARTHUR,0
2019,municipal general,Council,St George City Council,19,LA86,JIMMIE B HUGHES,0
2019,municipal general,Council,St George City Council,2,HIL97,BETTE O ARIAL,0
2019,municipal general,Council,St George City Council,2,HIL97,DANNIELLE LARKIN,0
2019,municipal general,Council,St George City Council,2,HIL97,ED BACA,0
2019,municipal general,Council,St George City Council,2,HIL97,GREG ALDRED,0
2019,municipal general,Council,St George City Council,2,HIL97,GREGG MCARTHUR,0
2019,municipal general,Council,St George City Council,2,HIL97,JIMMIE B HUGHES,0
2019,municipal general,Council,St George City Council,20,LA87,BETTE O ARIAL,0
2019,municipal general,Council,St George City Council,20,LA87,DANNIELLE LARKIN,0
2019,municipal general,Council,St George City Council,20,LA87,ED BACA,0
2019,municipal general,Council,St George City Council,20,LA87,GREG ALDRED,0
2019,municipal general,Council,St George City Council,20,LA87,GREGG MCARTHUR,0
2019,municipal general,Council,St George City Council,20,LA87,JIMMIE B HUGHES,0
2019,municipal general,Council,St George City Council,21,LE90,BETTE O ARIAL,0
2019,municipal general,Council,St George City Council,21,LE90,DANNIELLE LARKIN,0
2019,municipal general,Council,St George City Council,21,LE90,ED BACA,0
2019,municipal general,Council,St George City Council,21,LE90,GREG ALDRED,0
2019,municipal general,Council,St George City Council,21,LE90,GREGG MCARTHUR,0
2019,municipal general,Council,St George City Council,21,LE90,JIMMIE B HUGHES,0
2019,municipal general,Council,St George City Council,22,SC71,BETTE O ARIAL,0
2019,municipal general,Council,St George City Council,22,SC71,DANNIELLE LARKIN,0
2019,municipal general,Council,St George City Council,22,SC71,ED BACA,0
2019,municipal general,Council,St George City Council,22,SC71,GREG ALDRED,0
2019,municipal general,Council,St George City Council,22,SC71,GREGG MCARTHUR,0
2019,municipal general,Council,St George City Council,22,SC71,JIMMIE B HUGHES,0
2019,municipal general,Council,St George City Council,23,SC72,BETTE O ARIAL,0
2019,municipal general,Council,St George City Council,23,SC72,DANNIELLE LARKIN,0
2019,municipal general,Council,St George City Council,23,SC72,ED BACA,0
2019,municipal general,Council,St George City Council,23,SC72,GREG ALDRED,0
2019,municipal general,Council,St George City Council,23,SC72,GREGG MCARTHUR,0
2019,municipal general,Council,St George City Council,23,SC72,JIMMIE B HUGHES,0
2019,municipal general,Council,St George City Council,24,SC73,BETTE O ARIAL,0
2019,municipal general,Council,St George City Council,24,SC73,DANNIELLE LARKIN,0
2019,municipal general,Council,St George City Council,24,SC73,ED BACA,0
2019,municipal general,Council,St George City Council,24,SC73,GREG ALDRED,0
2019,municipal general,Council,St George City Council,24,SC73,GREGG MCARTHUR,0
2019,municipal general,Council,St George City Council,24,SC73,JIMMIE B HUGHES,0
2019,municipal general,Council,St George City Council,25,SC74,BETTE O ARIAL,0
2019,municipal general,Council,St George City Council,25,SC74,DANNIELLE LARKIN,0
