year,election_type,office,district,contest,contest_verbatim,n_seats,n_candidates,voting_method,total_votes,total_first_choice_votes,winner,winner_votes,winner_pct,runner_up,runner_up_votes,margin_votes,margin_pct,registered_voters,ballots_cast,turnout_pct,uncontested,suppressed_precincts,note,source_file
2019,municipal general,Council,At-Large,St George City Council,,,6,,39633,,JIMMIE B HUGHES,7717,19.47,ED BACA,6331,383,0.97,,,,,,,
2021,municipal general,Council,At-Large,St George City Council,,,4,,39092,,NATALIE LARSEN,10384,26.56,GREG ALDRED,9500,716,1.83,,,,,,,
2021,municipal general,Mayor,,St George Mayor,,,2,,21048,,MICHELE RANDALL,11614,55.18,JIMMIE B. HUGHES,9434,2180,10.36,,,,,,,
2021,municipal primary,Council,At-Large,St George City Council,,,11,,29212,,MICHELLE TANNER,4346,14.88,M. RICK ERICKSON,3320,5,0.02,,,,,,,
2021,municipal primary,Mayor,,St George Mayor,,,4,,15864,,MICHELE RANDALL,7869,49.6,WOODY WOODBURY,2700,1687,10.63,,,,,,,
2023,municipal general,Council,At-Large,St George City Council,,,5,,55638,,STEVE KEMP,12334,22.17,BRAD BENNETT,10135,923,1.66,,,,,,,
2023,municipal primary,Council,At-Large,St George City Council,,,14,,54708,,DANNIELLE LARKIN,6444,11.78,WENDI PRINCE BULKLEY,4077,710,1.3,,,,,,,
2025,municipal general,Council,At-Large,St George City Council,,,4,,39960,,NATALIE LARSEN,12013,30.06,JAMI LEAVITT,9018,2379,5.95,,,,,,,
2025,municipal general,Mayor,,St George Mayor,,,2,,22193,,JIMMIE B HUGHES,12334,55.58,MICHELE RANDALL,9859,2475,11.15,,,,,,,
2025,municipal primary,Council,At-Large,St George City Council,,,7,,32454,,MICHELLE TANNER,7635,23.53,NATHAN CAPLIN,3299,1425,4.39,,,,,,,
2025,municipal primary,Mayor,,St George Mayor,,,4,,17695,,MICHELE RANDALL,7312,41.32,AROS MACKEY,3313,3284,18.56,,,,,,,
