stem,extraction_method,chars,pages,note
2025-02__Ordinance_02.25,tesseract-ocr,12530,7,image-only scan; OCR @300dpi psm6
2025-03__Ordinance_-_03.25,tesseract-ocr,5521,5,image-only scan; OCR @300dpi psm6
2025-04__Ordinance_-_04.25,tesseract-ocr,6994,5,image-only scan; OCR @300dpi psm6
2025-05__Ordinance_-_05.25,pdftotext,104749,,born-digital
2025-14__Ordinance_-_14.25,tesseract-ocr,898,1,image-only scan; OCR @300dpi psm6
2025-16__Ordinance_-_16.25,pdftotext,194294,,born-digital
2025-20__Ordinance_-_20.25,pdftotext,41074,,born-digital
2025-21__Ordinance_-_21.25,pdftotext,6427,,born-digital
2025-22__Ordinance_-_22.25,pdftotext,20754,,born-digital
2026-01__2026.01_Historic_Designation,tesseract-ocr,6238,4,image-only scan; OCR @300dpi psm6
2026-02__2026.02_Budget_Amends.March,tesseract-ocr,6684,5,image-only scan; OCR @300dpi psm6
2026-03__2026.03_Fireworks,tesseract-ocr,3740,3,image-only scan; OCR @300dpi psm6
2026-04__Ord_2026-04,tesseract-ocr,4390,4,image-only scan; OCR @300dpi psm6
2026-05__Ord_2026-05,tesseract-ocr,6654,6,image-only scan; OCR @300dpi psm6
2026-06__Ord_2026-06,tesseract-ocr,18136,10,image-only scan; OCR @300dpi psm6
unk__06-_FIreworks,tesseract-ocr,11682,5,image-only scan; OCR @300dpi psm6
unk__13.84_Outdoor_Lighting_CLEAN_VERSION,pdftotext,29448,,born-digital
unk__2025-26_Final_Budgets.adopted,tesseract-ocr,3899,3,image-only scan; OCR @300dpi psm6
unk__Certified_Tax_rate.adopted,tesseract-ocr,3000,2,image-only scan; OCR @300dpi psm6
unk__budget_amends.June.adopted,tesseract-ocr,3719,3,image-only scan; OCR @300dpi psm6
unk__compensation.adopted,tesseract-ocr,3556,2,image-only scan; OCR @300dpi psm6
