commissioner,first_seen,last_seen,n_meetings
Dave Newman,2020-01-09,2021-04-22,24
Eduardo Ortiz,2020-01-09,2021-04-22,28
Jessica Lucero,2020-01-09,2026-06-11,99
Regina Dickinson,2020-01-09,2022-02-10,41
Roylan Croshaw,2020-01-09,2024-05-23,87
Sandi Goodlander,2020-01-09,2022-02-24,38
Tony Nielson,2020-01-09,2021-03-11,26
Jordy Guth,2021-04-22,2025-04-24,71
David Lewis,2021-05-13,2026-07-09,87
Ken Heare,2021-05-13,2026-07-09,88
Eldon Peterson,2022-03-10,2026-02-12,73
Sara Doutre,2022-03-10,2026-07-09,65
Sarah McNamara,2024-08-22,2026-07-09,29
Jennifer Duncan,2025-04-24,2026-07-09,18
Craig Maughan,2026-02-26,2026-07-09,7
