city,plan_id,district_id,precinct_id,effective_start,effective_end,source,confidence,note
taylorsville,plan_2022,District 1,TAY002,2022-05-04,,geo/precinct_to_district.csv (2023),high,"post-redistrict precinct->district from the current (post-2020-census) Taylorsville map — the 44 TAY precincts assigned via the 2023 (D1/D2/D3) + 2025 (D4/D5) district-contest precinct rows (geo/precinct_to_district.csv; 0 splits, 0 conflicts; per-district counts D1=7, D2=6, D3=10, D4=7, D5=14). PRECINCT-DERIVED (no official city GIS layer)."
taylorsville,plan_2022,District 1,TAY003,2022-05-04,,geo/precinct_to_district.csv (2023),high,"post-redistrict precinct->district from the current (post-2020-census) Taylorsville map — the 44 TAY precincts assigned via the 2023 (D1/D2/D3) + 2025 (D4/D5) district-contest precinct rows (geo/precinct_to_district.csv; 0 splits, 0 conflicts; per-district counts D1=7, D2=6, D3=10, D4=7, D5=14). PRECINCT-DERIVED (no official city GIS layer)."
taylorsville,plan_2022,District 1,TAY004,2022-05-04,,geo/precinct_to_district.csv (2023),high,"post-redistrict precinct->district from the current (post-2020-census) Taylorsville map — the 44 TAY precincts assigned via the 2023 (D1/D2/D3) + 2025 (D4/D5) district-contest precinct rows (geo/precinct_to_district.csv; 0 splits, 0 conflicts; per-district counts D1=7, D2=6, D3=10, D4=7, D5=14). PRECINCT-DERIVED (no official city GIS layer)."
taylorsville,plan_2022,District 1,TAY005,2022-05-04,,geo/precinct_to_district.csv (2023),high,"post-redistrict precinct->district from the current (post-2020-census) Taylorsville map — the 44 TAY precincts assigned via the 2023 (D1/D2/D3) + 2025 (D4/D5) district-contest precinct rows (geo/precinct_to_district.csv; 0 splits, 0 conflicts; per-district counts D1=7, D2=6, D3=10, D4=7, D5=14). PRECINCT-DERIVED (no official city GIS layer)."
taylorsville,plan_2022,District 1,TAY006,2022-05-04,,geo/precinct_to_district.csv (2023),high,"post-redistrict precinct->district from the current (post-2020-census) Taylorsville map — the 44 TAY precincts assigned via the 2023 (D1/D2/D3) + 2025 (D4/D5) district-contest precinct rows (geo/precinct_to_district.csv; 0 splits, 0 conflicts; per-district counts D1=7, D2=6, D3=10, D4=7, D5=14). PRECINCT-DERIVED (no official city GIS layer)."
taylorsville,plan_2022,District 1,TAY011,2022-05-04,,geo/precinct_to_district.csv (2023),high,"post-redistrict precinct->district from the current (post-2020-census) Taylorsville map — the 44 TAY precincts assigned via the 2023 (D1/D2/D3) + 2025 (D4/D5) district-contest precinct rows (geo/precinct_to_district.csv; 0 splits, 0 conflicts; per-district counts D1=7, D2=6, D3=10, D4=7, D5=14). PRECINCT-DERIVED (no official city GIS layer)."
taylorsville,plan_2022,District 1,TAY041,2022-05-04,,geo/precinct_to_district.csv (2023),high,"post-redistrict precinct->district from the current (post-2020-census) Taylorsville map — the 44 TAY precincts assigned via the 2023 (D1/D2/D3) + 2025 (D4/D5) district-contest precinct rows (geo/precinct_to_district.csv; 0 splits, 0 conflicts; per-district counts D1=7, D2=6, D3=10, D4=7, D5=14). PRECINCT-DERIVED (no official city GIS layer)."
taylorsville,plan_2022,District 2,TAY012,2022-05-04,,geo/precinct_to_district.csv (2023),high,"post-redistrict precinct->district from the current (post-2020-census) Taylorsville map — the 44 TAY precincts assigned via the 2023 (D1/D2/D3) + 2025 (D4/D5) district-contest precinct rows (geo/precinct_to_district.csv; 0 splits, 0 conflicts; per-district counts D1=7, D2=6, D3=10, D4=7, D5=14). PRECINCT-DERIVED (no official city GIS layer)."
taylorsville,plan_2022,District 2,TAY013,2022-05-04,,geo/precinct_to_district.csv (2023),high,"post-redistrict precinct->district from the current (post-2020-census) Taylorsville map — the 44 TAY precincts assigned via the 2023 (D1/D2/D3) + 2025 (D4/D5) district-contest precinct rows (geo/precinct_to_district.csv; 0 splits, 0 conflicts; per-district counts D1=7, D2=6, D3=10, D4=7, D5=14). PRECINCT-DERIVED (no official city GIS layer)."
taylorsville,plan_2022,District 2,TAY014,2022-05-04,,geo/precinct_to_district.csv (2023),high,"post-redistrict precinct->district from the current (post-2020-census) Taylorsville map — the 44 TAY precincts assigned via the 2023 (D1/D2/D3) + 2025 (D4/D5) district-contest precinct rows (geo/precinct_to_district.csv; 0 splits, 0 conflicts; per-district counts D1=7, D2=6, D3=10, D4=7, D5=14). PRECINCT-DERIVED (no official city GIS layer)."
