layer,description,publisher,url,api_endpoint,format,vintage,license,growth_relevance,notes
MAG Housing Unit Inventory,"Best-effort inventory of every housing unit in the MAG region (Utah/Summit/Wasatch counties) keyed to parcels: unit type/subtype (single-family, ADU/OUG, townhome, condo, apartment, mobile-home), unit count, dwelling units per acre (DUA), building sqft, total value, approximate year built, city/county/subcounty.",Mountainland Association of Governments (MAG),https://data.magutah.gov/datasets/mountainland::mag-housing-unit-inventory,https://services2.arcgis.com/EiGeaCDLpVDPqdJ5/arcgis/rest/services/MAG_Housing_Unit_Inventory/FeatureServer/0,ArcGIS FeatureServer (query -> geojson/csv/shp/xlsx),2025 release (parcel-based; per-feature EVAL_DATE),Public - MAG ArcGIS Hub open data (no explicit license stated),high,"195,203 units. The housing supply/type/density base layer for the region. Filter by CITY/COUNTY. Do NOT bulk-download; query by where/bbox."
General Plan Land Use 2025,"Harmonized future land-use polygons compiled from adopted municipal general plans across the MAG region: city land-use type (CityLUType), a generalized category (GenLUType), maximum dwelling units per acre (MaxDUA), plan year and plan source.",Mountainland Association of Governments (MAG),https://data.magutah.gov/datasets/mountainland::general-plan-land-use-2025,https://services2.arcgis.com/EiGeaCDLpVDPqdJ5/arcgis/rest/services/General_Plan_Land_Use_2023/FeatureServer/0,ArcGIS FeatureServer (query -> geojson/csv/shp/xlsx),2025 (PlanYear field; service name says _2023 but layer label + PlanYear are 2025),Public - MAG ArcGIS Hub open data (no explicit license stated),high,"3,370 polygons. Cross-municipal planned land use + density ceiling (MaxDUA) - the go-to for future zoning/density intent. Note service URL keeps the legacy _2023 name; verified label is 'General Plan Land Use 2025'."
MAG Wasatch Choice Vision Centers and Land Use,"Wasatch Choice regional vision 'centers' (metropolitan, urban, city, town, neighborhood centers) and their land-use designations - the region's growth-vision geography guiding where density/mixed-use is targeted.",Mountainland Association of Governments (MAG),https://data.magutah.gov/datasets/mountainland::mag-wasatch-choice-vision-centers-and-land-use,https://services2.arcgis.com/EiGeaCDLpVDPqdJ5/arcgis/rest/services/MAG_Wasatch_Choice_Vision_Centers_and_Land_Use/FeatureServer/0,ArcGIS FeatureServer (query -> geojson/csv/shp/xlsx),Wasatch Choice 2050 Vision (updated 2025-12),Public - MAG ArcGIS Hub open data (no explicit license stated),high,151 polygons (CenterName/CenterType/City). Pairs with WFRC's Wasatch Choice vision for the four-county metro picture.
Utah County Parcels for Modeling,Utah County parcel polygons prepared by MAG as the starting layer for modeling future housing and jobs capacity (developable-acreage / build-out analysis).,Mountainland Association of Governments (MAG),https://data.magutah.gov/datasets/mountainland::utah-county-parcels-for-modeling,https://services2.arcgis.com/EiGeaCDLpVDPqdJ5/arcgis/rest/services/Utah_County_Parcels_for_Modeling/FeatureServer/0,ArcGIS FeatureServer (query -> geojson/csv/shp/xlsx),2026 snapshot from Utah County (updated 2026-04),Public - MAG ArcGIS Hub open data (no explicit license stated),high,"281,485 parcels. Utah County only (Summit/Wasatch not in this layer). Modeling base for the SE forecast; query narrowly, do not bulk-mirror."
Station Area Planning HB 462 Status,Status of municipal station-area plans required under Utah HB 462 (transit-station-area higher-density/affordable-housing planning) across the region.,Mountainland Association of Governments (MAG),https://data.magutah.gov/datasets/mountainland::station-area-planning-hb-462-status,https://services2.arcgis.com/EiGeaCDLpVDPqdJ5/arcgis/rest/services/Station_Area_Planning_HB_462_Status/FeatureServer/2,ArcGIS FeatureServer (query -> geojson/csv/shp/xlsx),2026 (HB 462 compliance status; updated 2026-06),Public - MAG ArcGIS Hub open data (no explicit license stated),high,156 features. Directly tracks state transit-oriented housing-density policy - high growth relevance.
MAG TAZ Population Forecast (TAZ_SE_RTP23),"Household population by traffic-analysis zone, ANNUAL 2019-2050, from the MAG 2023 RTP socioeconomic forecast. Per-TAZ fields HHPOP2019..HHPOP2050 plus forecast housing-unit and employment caps, city/county/district names.",Mountainland Association of Governments (MAG),https://data.magutah.gov/datasets/mountainland::population-projections-utah-county,https://services2.arcgis.com/EiGeaCDLpVDPqdJ5/arcgis/rest/services/Population_Projections_(Utah_County)/FeatureServer/1,ArcGIS FeatureServer (query -> geojson/csv/shp/xlsx),"MAG 2023 RTP SE Forecast, annual 2019-2050",Public - MAG ArcGIS Hub open data (no explicit license stated),high,"Utah County = 1,330 TAZ. Analog services exist per county: Population_Projections_(Summit_County) and _(Wasatch_County), each FeatureServer/1. TOO FINE to federate - the CITY-grain rollup is federated in projections/mag_mpo_projections.csv. This is the module-level fine-grain source."
MAG TAZ Employment Forecast (TAZ_SE_RTP23),"Jobs by traffic-analysis zone, annual 2019-2050, MAG 2023 RTP socioeconomic forecast (companion to the TAZ population forecast).",Mountainland Association of Governments (MAG),https://data.magutah.gov/datasets/mountainland::employment-projections-utah-county,https://services2.arcgis.com/EiGeaCDLpVDPqdJ5/arcgis/rest/services/Employment_Projections_(Utah_County)/FeatureServer/1,ArcGIS FeatureServer (query -> geojson/csv/shp/xlsx),"MAG 2023 RTP SE Forecast, annual 2019-2050",Public - MAG ArcGIS Hub open data (no explicit license stated),high,"Utah County TAZ. Analog services: Employment_Projections_(Summit_County)/_(Wasatch_County), FeatureServer/1. City-grain rollup (jobs metric) is federated; TAZ grain is reference-only."
MAG TAZ Household Forecast (TAZ_SE_RTP23),"Occupied households by traffic-analysis zone, annual 2019-2050, MAG 2023 RTP socioeconomic forecast.",Mountainland Association of Governments (MAG),https://data.magutah.gov/datasets/mountainland::household-projections-utah-county,https://services2.arcgis.com/EiGeaCDLpVDPqdJ5/arcgis/rest/services/Household_Projections_(Utah_County)/FeatureServer/1,ArcGIS FeatureServer (query -> geojson/csv/shp/xlsx),"MAG 2023 RTP SE Forecast, annual 2019-2050",Public - MAG ArcGIS Hub open data (no explicit license stated),medium,Utah County TAZ. Analog services: Household_Projections_(Summit_County)/_(Wasatch_County). Households NOT federated to city grain (MAG publishes no by-city household file - honest gap).
MAG Traffic Analysis Zones (geography),Traffic-analysis-zone polygon geography underlying the MAG travel-demand model and the 2023 RTP SE forecast.,Mountainland Association of Governments (MAG),https://data.magutah.gov/datasets/mountainland::traffic-analysis-zones-utah-county,https://services2.arcgis.com/EiGeaCDLpVDPqdJ5/arcgis/rest/services/Traffic_Analysis_Zones_(Utah_County)/FeatureServer/1,ArcGIS FeatureServer (query -> geojson/csv/shp/xlsx),2023 RTP TAZ geography,Public - MAG ArcGIS Hub open data (no explicit license stated),medium,"Utah County = 1,330 TAZ; analog services per county (Summit/Wasatch). The join geography for the TAZ SE forecast."
MAG Traffic Projections,"Modeled roadway traffic volumes (existing + future) from the MAG 2023 RTP travel-demand model, by segment.",Mountainland Association of Governments (MAG),https://data.magutah.gov/datasets/mountainland::traffic-projections-utah-county,https://services2.arcgis.com/EiGeaCDLpVDPqdJ5/arcgis/rest/services/Traffic_Projections_(Utah_County)/FeatureServer/2,ArcGIS FeatureServer (query -> geojson/csv/shp/xlsx),2023 RTP model (updated 2025-04),Public - MAG ArcGIS Hub open data (no explicit license stated),medium,"Utah County = 2,089 segments; analog services per county (Summit/Wasatch). Congestion/capacity context for growth."
UDOT Road Functional Classification,Federal functional classification of roadways (interstate/arterial/collector/local) in the MAG region.,Utah Department of Transportation (UDOT),https://data.magutah.gov/datasets/mountainland::udot-road-functional-classification,https://roads.udot.utah.gov/server/rest/services/Public/Functional_Class/MapServer/0,ArcGIS MapServer layer (query -> json/geojson),"Current (UDOT, updated 2026-07)",Public - MAG ArcGIS Hub open data (no explicit license stated),medium,"4,651 features. Hosted on UDOT's roads server, catalogued by MAG. Network-hierarchy context."
Transportation Master Plans (Utah County),Compiled municipal transportation master-plan roadway/network lines for Utah County (assembled with Envision Utah).,Mountainland Association of Governments (MAG),https://data.magutah.gov/datasets/mountainland::transportation-master-plans-utah-county,https://services2.arcgis.com/EiGeaCDLpVDPqdJ5/arcgis/rest/services/Transportation_Master_Plans_Utah_County/FeatureServer/0,ArcGIS FeatureServer (query -> geojson/csv/shp/xlsx),"2025 (assembled Mar 2025, updated Aug 2025)",Public - MAG ArcGIS Hub open data (no explicit license stated),medium,"2,186 lines. Locally-planned future roadway network - complements the RTP project list."
