election_year,candidate,office,filing_expected,reason,source_checked,evidence,as_of
2023,Patrick Daniel Schaeffer,Metro Township Council District 1,campaign-finance disclosure(s),"2023 is EasyVote-era (2022+); the SLCo EasyVote public portal is a reCAPTCHA/auth-gated Angular SPA - /authentication/getwebsiteuser/saltlakecountyut returns HTTP 500 to a polite GET, so filings cannot be retrieved under GET-only rules",SLCo EasyVote (ecf-api.easyvoteapp.com) + SLCo static metro-township-councils page (pre-2022 only) + state disclosures.utah.gov/Municipal 2023 (no Kearns) + Wayback,2023 District 1 = Schaeffer def. Valdez 212-209 (certified) - kearns_races.csv,2026-07-13
2023,Jesse Valdez,Metro Township Council District 1,campaign-finance disclosure(s),same as above (EasyVote reCAPTCHA/auth-gated),same,2023 District 1 runner-up (later 2025 Mayor),2026-07-13
2023,Chrystal Butterfield,Metro Township Council District 3,campaign-finance disclosure(s),same as above,same,2023 District 3 winner,2026-07-13
2023,Christopher James Geertsen,Metro Township Council District 3,campaign-finance disclosure(s),same as above,same,2023 District 3 runner-up,2026-07-13
2023,Kelly Bush,Metro Township Council District 5,campaign-finance disclosure(s),same as above (uncontested - may be Small-Budget-exempt),same,2023 District 5 winner (uncontested),2026-07-13
2025,Jesse Valdez,City of Kearns Mayor,campaign-finance disclosure(s),"2025 CITY-era filings are hosted ONLY on kearns.utah.gov (Cloudflare JS-challenge blocks every bot incl. browser UA; /media/<id> PDFs return 403). Not in county EasyVote (city, not metro-township). State disclosures.utah.gov/Municipal 2025 only link-farms to the blocked city pages. Wayback did not capture this candidate's page or PDFs",kearns.utah.gov (Cloudflare 403) + state Municipal 2025 link-farm + Wayback CDX,2025 Mayor winner (57.6%) - kearns_races.csv,2026-07-13
2025,Tina Marie Snow,City of Kearns Mayor,campaign-finance disclosure(s),same as above (Cloudflare-blocked city site),same,2025 Mayor runner-up,2026-07-13
2025,Lyndsay Longtin,City of Kearns Council District 2,"Primary Campaign Finance Disclosure + Oct. 7 General Election Campaign Finance Disclosure (2 filings CONFIRMED to exist)","City site Cloudflare-blocked. Wayback captured her landing page (kearns.utah.gov/township/page/campaign-finance-disclosure-lyndsay-longtin, 2025-11-04, HTTP 200) which LISTS two CF documents (/media/3531 2.21MB, /media/3756 2.17MB) - but Wayback did NOT archive the /media PDFs (captures stop at media id 3241) and live access is 403",kearns.utah.gov (Cloudflare 403) + Wayback (landing page only; PDFs uncaptured),Landing-page HTML retained at raw/2025_longtin_cf_landing_wayback.html; 2025 District 2 winner - kearns_races.csv,2026-07-13
2025,T. Jordan Hansen,City of Kearns Council District 2,campaign-finance disclosure(s),same as above (Cloudflare-blocked city site),same,2025 District 2 runner-up,2026-07-13
2025,Lorrin P. Colby Jr.,City of Kearns Council District 4,campaign-finance disclosure(s),same as above (Cloudflare-blocked city site),same,2025 District 4 winner,2026-07-13
2025,Roger C. Snow,City of Kearns Council District 4,campaign-finance disclosure(s),same as above (Cloudflare-blocked city site),same,2025 District 4 runner-up,2026-07-13
