city,candidate,election_year,office,seat,raised,spent,n_filings,n_live,basis,review_flag
kearns,H. Brett Helsten,2016,Metro Township Council Seat 1,,300.0,72.89,1,1,single,
kearns,Patrick Schaeffer,2016,Metro Township Council Seat 1,,0.0,0.0,1,1,single,
kearns,Alan Peterson,2016,Metro Township Council Seat 2,,50.0,50.0,1,1,single,
kearns,Steve Perry,2016,Metro Township Council Seat 3,,5730.0,4551.63,2,2,sum-interim,
kearns,Christopher James Geertsen,2016,Metro Township Council Seat 3,,947.14,968.61,2,1,single,
kearns,Jonatan Lefler,2016,Metro Township Council Seat 3,,100.0,101.0,2,2,sum-interim,
kearns,Dennis Walton,2016,Metro Township Council Seat 3,,150.0,50.0,1,1,single,
kearns,Matt Welch,2016,Metro Township Council Seat 3,,50.0,50.0,2,1,single,
kearns,Ruby Brown,2016,Metro Township Council Seat 3,,100.0,50.0,1,1,single,
kearns,Tina Snow,2016,Metro Township Council Seat 4,,0.0,50.0,1,1,single,
kearns,Kelly F. Bush,2016,Metro Township Council Seat 5,,745.94,442.9,1,1,single,
kearns,Brian Richards,2016,Metro Township Council Seat 5,,222.73,179.78,1,1,single,
kearns,Alan Peterson,2017,Metro Township Council Seat 2,,50.0,50.0,1,1,single,
kearns,Tina Snow,2017,Metro Township Council Seat 4,,0.0,0.0,1,1,single,
kearns,Samuel J. Higginson,2019,Metro Township Council District 1,,700.0,697.5,2,2,sum-interim,
kearns,Patrick Daniel Schaeffer,2019,Metro Township Council District 1,,100.0,170.0,2,2,sum-interim,
kearns,Chrystal Butterfield,2019,Metro Township Council District 3,,296.9,296.9,3,3,override,"OVERRIDE: per-period filer (regime detector: incremental) — her Dec-5 year-end 'summary'-typed final/dissolution report is ITSELF a period report carrying a genuine new gift (Reagan Outdoor Advertising $100, dated 11/6/2019), so cycle_totals' default max(interim-sum 196.90, summary-Col-A 100) undercounts by 100. RAISED: the Dec form's own Summary Page Column B (Year to Date) prints 296.90 = Aug 196.90 + Oct 0 + Dec 100 (exact). SPENT: cycle = sum of the period reports' itemized expenditures 296.90 (Aug SLCo 50 + Vista Print 146.90; Dec Hope Unlimited 100); NOTE the Dec form's printed expenditure Column-B YTD reads 295.90 — a verbatim $1 filer arithmetic slip on the cumulative carry, kept flagged, NOT adopted (the itemized period rows sum to 296.90)."
kearns,Christopher James Geertsen,2019,Metro Township Council District 3,,50.0,50.0,1,1,single,
kearns,Ruby Brown,2019,Metro Township Council District 3,,0.0,50.0,2,1,single,
kearns,Brian Richards,2019,Metro Township Council District 5,,1511.75,1511.75,2,2,sum-interim,
kearns,Kelly Bush,2019,Metro Township Council District 5,,1500.04,1477.92,2,1,summary,
kearns,Alan Peterson,2021,Metro Township Council District 2,,70.98,70.98,2,1,summary,
kearns,Royce Gibson,2021,Metro Township Council District 2,,50.0,50.0,2,1,summary,
kearns,Tina Snow,2021,Metro Township Council District 4,,0.0,50.0,2,1,summary,
