date,candidate,office,election_year,filing_type,reporting_period,title,source_url,retrieved_date,format,extraction_method,path,district,source,original_url,docid,date_precision,duplicate_of,matched_election_candidate,join_confidence
2021-08-03,Clint Smith,Mayor,2021,interim,Pre-Primary (due 2021-08-03),2021 Clint Smith (Mayor) — Pre-Primary (due 2021-08-03) campaign finance report,https://web.archive.org/web/20210807175207id_/https://www.herriman.org/uploads/files/2097/Smith-Clint.pdf,2026-07-13,scanned,none (raw acquisition; OCR/vision deferred),raw/2097_Smith-Clint.pdf,,wayback_herriman_org,https://www.herriman.org/uploads/files/2097/Smith-Clint.pdf,2097,est_report_class,,CLINT SMITH,high
2021-08-03,Jared Esselman,Mayor,2021,interim,Pre-Primary (due 2021-08-03),2021 Jared Esselman (Mayor) — Pre-Primary (due 2021-08-03) campaign finance report [candidate not in election_results — 2021 primary absent from county SOVC dataset],https://web.archive.org/web/20210807175145id_/https://www.herriman.org/uploads/files/2098/Esselman-Jared.pdf,2026-07-13,scanned,none (raw acquisition; OCR/vision deferred),raw/2098_Esselman-Jared.pdf,,wayback_herriman_org,https://www.herriman.org/uploads/files/2098/Esselman-Jared.pdf,2098,est_report_class,,,none
2021-08-03,Lorin Palmer,Mayor,2021,interim,Pre-Primary (due 2021-08-03),2021 Lorin Palmer (Mayor) — Pre-Primary (due 2021-08-03) campaign finance report,https://web.archive.org/web/20210807175155id_/https://www.herriman.org/uploads/files/2096/Palmer-Lorin.pdf,2026-07-13,scanned,none (raw acquisition; OCR/vision deferred),raw/2096_Palmer-Lorin.pdf,,wayback_herriman_org,https://www.herriman.org/uploads/files/2096/Palmer-Lorin.pdf,2096,est_report_class,,LORIN PALMER,high
2021-08-03,Nicole Grange,Mayor,2021,interim,Pre-Primary (due 2021-08-03),2021 Nicole Grange (Mayor) — Pre-Primary (due 2021-08-03) campaign finance report [candidate not in election_results — 2021 primary absent from county SOVC dataset],https://web.archive.org/web/20210807175150id_/https://www.herriman.org/uploads/files/2095/Grange-Nicole.pdf,2026-07-13,scanned,none (raw acquisition; OCR/vision deferred),raw/2095_Grange-Nicole.pdf,,wayback_herriman_org,https://www.herriman.org/uploads/files/2095/Grange-Nicole.pdf,2095,est_report_class,,,none
2021-10-21,Sherrie Ohrn,Council,2021,interim,Pre-General 7-day (due 2021-10-26),2021 Sherrie Ohrn (Council D3) — Pre-General 7-day (due 2021-10-26) campaign finance report,https://web.archive.org/web/20211120050939id_/https://www.herriman.org/uploads/files/2402/Sherrie-OhrnDistrict-3.pdf,2026-07-13,text,none (raw acquisition; born-digital text layer present),raw/2402_Sherrie-OhrnDistrict-3.pdf,3,wayback_herriman_org,https://www.herriman.org/uploads/files/2402/Sherrie-OhrnDistrict-3.pdf,2402,exact_signature,,SHERRIE OHRN,high
2021-10-26,Aly Escobar,Council,2021,interim,Pre-General 7-day (due 2021-10-26),2021 Aly Escobar (Council D2) — Pre-General 7-day (due 2021-10-26) campaign finance report,https://web.archive.org/web/20211120050936id_/https://www.herriman.org/uploads/files/2399/Aly-EscobarDistrict-2.pdf,2026-07-13,scanned,none (raw acquisition; OCR/vision deferred),raw/2399_Aly-EscobarDistrict-2.pdf,2,wayback_herriman_org,https://www.herriman.org/uploads/files/2399/Aly-EscobarDistrict-2.pdf,2399,est_report_class,,ALY ESCOBAR,high
2021-10-26,Clint Smith,Mayor,2021,interim,Pre-General 7-day (due 2021-10-26),2021 Clint Smith (Mayor) — Pre-General 7-day (due 2021-10-26) campaign finance report,https://web.archive.org/web/20211115134358id_/https://www.herriman.org/uploads/files/2400/Clint-SmithMayor.pdf,2026-07-13,scanned,none (raw acquisition; OCR/vision deferred),raw/2400_Clint-SmithMayor.pdf,,wayback_herriman_org,https://www.herriman.org/uploads/files/2400/Clint-SmithMayor.pdf,2400,est_report_class,,CLINT SMITH,high
2021-10-26,Lorin Palmer,Mayor,2021,interim,Pre-General 7-day (due 2021-10-26),2021 Lorin Palmer (Mayor) — Pre-General 7-day (due 2021-10-26) campaign finance report,https://web.archive.org/web/20211115134359id_/https://www.herriman.org/uploads/files/2401/Lorin-PalmerMayor.pdf,2026-07-13,scanned,none (raw acquisition; OCR/vision deferred),raw/2401_Lorin-PalmerMayor.pdf,,wayback_herriman_org,https://www.herriman.org/uploads/files/2401/Lorin-PalmerMayor.pdf,2401,est_report_class,,LORIN PALMER,high
2021-10-26,Teddy Hodges,Council,2021,interim,Pre-General 7-day (due 2021-10-26),2021 Teddy Hodges (Council D2) — Pre-General 7-day (due 2021-10-26) campaign finance report,https://web.archive.org/web/20211120050937id_/https://www.herriman.org/uploads/files/2403/TeddyHodgesDistrict-2.pdf,2026-07-13,scanned,none (raw acquisition; OCR/vision deferred),raw/2403_TeddyHodgesDistrict-2.pdf,2,wayback_herriman_org,https://www.herriman.org/uploads/files/2403/TeddyHodgesDistrict-2.pdf,2403,est_report_class,,TEDDY HODGES,high
2021-11-17,Sherrie Ohrn,Council,2021,summary,Final — 30 days after general (due 2021-12-02),2021 Sherrie Ohrn (Council D3) — Final — 30 days after general (due 2021-12-02) campaign finance report [filed on/before the 2021-11-17 Wayback capture],https://web.archive.org/web/20211117203411id_/https://www.herriman.org/uploads/files/2429/Sherrie-OhrnDistrict-3.pdf,2026-07-13,scanned,none (raw acquisition; OCR/vision deferred),raw/2429_Sherrie-OhrnDistrict-3.pdf,3,wayback_herriman_org,https://www.herriman.org/uploads/files/2429/Sherrie-OhrnDistrict-3.pdf,2429,est_capture_bound,,SHERRIE OHRN,high
2021-12-02,Aly Escobar,Council,2021,summary,Final — 30 days after general (due 2021-12-02),2021 Aly Escobar (Council D2) — Final — 30 days after general (due 2021-12-02) campaign finance report,https://web.archive.org/web/20211211000723id_/https://www.herriman.org/uploads/files/2452/Aly-EscobarDistrict-2.pdf,2026-07-13,text,none (raw acquisition; born-digital text layer present),raw/2452_Aly-EscobarDistrict-2.pdf,2,wayback_herriman_org,https://www.herriman.org/uploads/files/2452/Aly-EscobarDistrict-2.pdf,2452,est_report_class,,ALY ESCOBAR,high
