city,candidate,election_year,office,seat,raised,spent,n_filings,n_live,basis,review_flag
herriman,Teddy Hodges,2021,Council,2,4525.0,4492.07,2,2,sum-interim,
herriman,Aly Escobar,2021,Council,2,25.0,25.0,2,1,summary,
herriman,Sherrie Ohrn,2021,Council,3,25.0,25.0,2,2,sum-interim,
herriman,Lorin Palmer,2021,Mayor,,32038.06,31782.48,3,3,override,"OVERRIDE: ADJUDICATED 2026-07-18 (owner-authorized): per-period filer whose Dec-2 'summary' (docid 2453) is ITSELF a period report ($11420.88 raised / $11619.62 spent this period), so cycle_totals' max(summary, sum-interims) DROPPED the Dec period and undercounted — same structural fix as Hodges/Palmer 2025. Cycle = sum of all 3 stated period covers: raised 12732.18(Aug)+7885.00(Oct)+11420.88(Dec)=32038.06; spent 11990.88+8171.98+11619.62=31782.48 — these EXACTLY equal the filer's own final-report YTD (2453 Col B: 32038.06/31782.48). SELF-CONTRIBUTIONS from 'Lorin & Christi Palmer' have DISTINCT dates AND amounts across all 3 filings (7/16 $4700 + 7/30 $3500 Aug; 10/20 $5000 + 10/21 $2000 Oct; 11/5 $10800 Dec) — no repeated date+amount, genuine separate infusions, no deduction. (Oct interim itemized rows sum 7893 vs printed cover 7885; the city-verbatim cover 7885 is used, matching the filer's YTD.)"
herriman,Clint Smith,2021,Mayor,,28610.56,28635.96,3,3,override,"OVERRIDE: ADJUDICATED 2026-07-18 (owner-authorized): per-period filer whose Dec-2 'summary' (docid 2456) is ITSELF a period report ($7795 raised / $7892.79 spent this period), so cycle_totals' max(summary, sum-interims) DROPPED the Dec period and undercounted — same structural fix as Hodges/Palmer 2025. Cycle = sum of all 3 stated period covers: raised 10815.56(Aug)+10000.00(Oct)+7795.00(Dec)=28610.56; spent 9557.57+11185.60+7892.79=28635.96. Filer's own final-report YTD (2456 Col B) = 28610.96/28610.96, confirming within documented clerk slips (raised +0.40, spent -25.00). SELF-LOAN 'Clint Smith Loan' $5000 appears in the Aug (2097) AND Oct (2400) filings — NOT a restatement: the Oct period spent 11185.60 against a 1283.39 beginning balance, so 1283.39+10000-11185.60=97.79 (=stated close) proves the 2nd $5000 was real new cash. Two separate infusions, no deduction."
herriman,Jared Esselman,2021,Mayor,,8892.43,5226.98,1,1,single,
herriman,Nicole Grange,2021,Mayor,,25.0,25.0,1,1,single,
herriman,Chris Roberts,2023,Council,1,3703.5,3652.89,3,3,sum-interim,
herriman,Jared Henderson,2023,Council,1,2496.12,2496.12,3,1,summary,
herriman,Matt Bello,2023,Council,4,3500.87,3483.11,3,3,sum-interim,
herriman,Steven Shields,2023,Council,4,3110.0,2767.53,3,3,sum-interim,
herriman,Teddy Hodges,2025,Council,2,14350.0,13555.01,3,3,override,"OVERRIDE: per-period filer (regime detector: incremental; itemized expenditures DISJOINT across periods, verified) — the Dec-3 'summary'-typed filing is itself a period report ($0 contrib / $9585.93 spent this period), so cycle_totals' summary-vs-interims max() undercounts spend; cycle = sum of all 3 filings (14350+0+0 raised / 3969.08+0+9585.93 spent)"
herriman,Matt Basham,2025,Council,3,7824.0,7748.34,4,4,override,"OVERRIDE: ADJUDICATED 2026-07-19 (CF-STRUCTURING PACKAGE Basham x2 vision tranche): per-period incremental filer (regime detector: incremental — totals decrease across chain; expenditure dates DISJOINT across all 4 filings, script-verified) whose Nov-7 'summary'-typed Final (docid 5880) is ITSELF a period report ($0 contrib / $9.03 spent this period, a single 11/03/25 GSuite charge), so cycle_totals' max(summary, sum-interims) DROPPED that final period — the same structural defect adjudicated for Hodges/Palmer/Smith. Cycle = sum of all 4 filings' Column-A period covers: raised 5799.00(Aug-5 5784)+2025.00(Oct-7 5772)+0.00(Oct-27 5802)+0.00(Final 5880)=7824.00 (matches 5802 Summary Col B YTD contributions 7824.00); spent 4850.83+1194.70+1693.78+9.03=7748.34 (the 3-interim sum 7739.31 matches 5802 Summary Col B line-2 YTD expenditures 7739.31, +9.03 final period). NOTE 5784 (Aug-5) expenditure side does NOT reconcile: 30 itemized rows sum 4850.76 vs cover 4850.83 (a $0.07 filer arithmetic slip on the page-2 subtotal, verified verbatim at 400dpi incl. refund '($8.59)'); the city-verbatim cover 4850.83 is used here, matching the filer's own YTD."
herriman,Rodman Grimm,2025,Council,3,2525.0,1690.21,4,2,summary,
herriman,Heather Garcia,2025,Council,3,1661.72,1661.72,4,4,sum-interim,
herriman,Terrah Anderson,2025,Council,4,700.0,556.02,3,3,sum-interim,
herriman,Ty Brady,2025,Mayor,,17676.0,17484.78,3,3,summary,
herriman,Lorin Palmer,2025,Mayor,,5541.02,12138.39,3,3,override,"OVERRIDE: per-period filer (itemized donor rosters MUTUALLY DISJOINT across all 3 filings; detector mis-marked cumulative from growing period totals, corrected to incremental in build_finance.py) — Dec-4 'summary' is itself a period report; cycle = sum of stated period totals (406.02+1625.00+3510.00 raised / 3427.90+8710.49 spent). SPENT IS A LOWER BOUND: the Oct-7 filing (docid 5768) as published has only Schedule A pages (no Schedule B/cover), so its expenditures are unrecovered — see AVAILABILITY.md"
