date,body_id,kind,reason,verified_date
2020-01-06,720,wrong_date,"PMN file 676899 ('...1-6-20.pdf') internal header date is January 6, 2021 — already in repo (2021-01-06); filename year typo (coverage.md resolution table). Precautionary suppression keyed on the mislabeled date.",2026-07-06
2020-09-06,720,wrong_date,"PMN file 1022115 ('...9-6-20.pdf') internal header date is September 6, 2023 — already in repo (2023-09-06); filename year typo (coverage.md).",2026-07-06
2020-10-16,720,wrong_date,"PMN file 644559 ('...10-16-20.pdf') internal header date is September 16, 2020 — already in repo (2020-09-16); filename typo (coverage.md).",2026-07-06
2020-02-12,722,wrong_date,"PMN file 620783 ('02-12-2020.pdf') internal header date is May 12, 2020 — already in repo (2020-05-12); filename typo (coverage.md).",2026-07-06
2023-04-25,722,not_minutes,"the 2023-04-25 'minutes' attachment is 'PC Minutes - April 25, 2023.mp3' — an AUDIO recording, not a minutes document; the accompanying 'Approved PC Mins - Feb 28, 2023.pdf' is the already-held 2023-02-28 PC minutes. No text minutes DOCUMENT for 2023-04-25 on PMN (reviewer may check CivicEngage).",2026-07-17
2023-09-29,720,wrong_date,"attached 'Minutes - 9-20-23.pdf' is the already-held 2023-09-20 council minutes (notice date != meeting date); repo has 2023-09-20 (pdf-text).",2023-09-20
2026-05-12,722,draft,"attached 'Draft Minutes - April 28, 2026.pdf' is DRAFT minutes for 2026-04-28, already held (approved, RICOH ocr scan). Born-digital draft = text quality-upgrade candidate for 2026-04-28 but do NOT promote a draft over the approved version.",2026-04-28
2023-10-03,722,other,"'Amended Annual Meeting Notice' — yearly organizational notice, not a meeting.",2026-07-17
2024-12-16,722,other,"'2025 Schedule of Planning Commission Meetings' — meeting-schedule notice, not a meeting.",2026-07-17
2023-06-12,720,other,"'Candidate Orientation Meeting' — election-admin candidate orientation, not a council legislative meeting (out of scope).",2026-07-17
2020-02-11,722,other,"PMN notice 585887 BODY text states 'The regularly scheduled meeting for the Taylorsville Planning Commission on February 11, 2020 ... has been cancelled' (next meeting Feb 25). Only attachment is 'AGENDA 2-11-20.pdf'. Meeting did NOT occur — no minutes exist. Cancellation is in the notice body, not the title/filename, so the crosscheck's RE_CANCEL missed it (hardening candidate).",2026-07-17
2023-05-01,722,wrong_date,"PMN notice 829395 'Public Hearings' is the public-hearing notice for the 2023-05-09 PC meeting (attachment '3 Public Hearings - May 9, 2023.pdf': rezone 5758 S 1300 W, chicken-coop text amendment, water-efficient landscaping). 2023-05-09 PC minutes ALREADY held (pdf-text). PMN event date (05-01) is the posting date, not a separate meeting.",2026-07-17
2026-05-11,721,wrong_date,"PMN notice 1079547 RDA 'Public Hearing' is the FY2026-27 project-area budget hearing for the 2026-05-20 meeting (attachment 'SIGNED Public Hearing Notice_5.20.2026.pdf'). RDA convenes in-recess with Council; 2026-05-20 Council/RDA minutes ALREADY held. PMN event date (05-11) is the posting date, not a separate meeting.",2026-07-17
