date,body,pmn_body,pmn_file_id,pmn_source_url,pmn_filename,pmn_doc_status,repo_format,pmn_format,internal_date_verified,recommendation
2021-06-02,Council,720,736707,https://www.utah.gov/pmn/files/736707.pdf,Minutes - 6-2-21.pdf,unspecified,ocr,text,yes,NO-OP 2026-07-12: repo council doc already born-digital; the OCR doc this date is the separate RDA Board minutes (not on PMN)
2022-01-05,Council,720,802885,https://www.utah.gov/pmn/files/802885.pdf,Minutes - 1-5-22.pdf,unspecified,ocr,text,yes,NO-OP 2026-07-12: repo council doc already born-digital; the OCR doc this date is the separate RDA Board minutes (not on PMN)
2024-12-04,Council,720,1215077,https://www.utah.gov/pmn/files/1215077.pdf,Minutes - 12-4-24.pdf,unspecified,ocr,text,yes,PROMOTED 2026-07-12 (born-digital md swapped into the audited layer; scan retained; vote diff clean)
2025-01-22,Council,720,1226935,https://www.utah.gov/pmn/files/1226935.pdf,Minutes - 1-22-25.pdf,unspecified,ocr,text,yes,PROMOTED 2026-07-12 (born-digital md swapped into the audited layer; scan retained; vote diff clean; recovered Cochran Aye 2025-01-22 m5)
2025-05-07,Council,720,1273847,https://www.utah.gov/pmn/files/1273847.pdf,Minutes 5-7-25.pdf,unspecified,ocr,text,yes,PROMOTED 2026-07-12 (born-digital md swapped into the audited layer; scan retained; vote diff clean)
2021-08-24,PlanningCommission,722,780797,https://www.utah.gov/pmn/files/780797.pdf,PC Meeting - Aug 24; 2021.pdf,unspecified,ocr,text,yes,PROMOTED 2026-07-12 (born-digital md swapped into the audited layer; scan retained; vote diff clean)
2021-09-14,PlanningCommission,722,780799,https://www.utah.gov/pmn/files/780799.pdf,PC Meeting - Sept 14; 2021.pdf,unspecified,ocr,text,yes,PROMOTED 2026-07-12 (born-digital md swapped into the audited layer; scan retained; vote diff clean)
2022-04-26,PlanningCommission,722,852263,https://www.utah.gov/pmn/files/852263.pdf,PC Meeting - April 26 2022.pdf,unspecified,ocr,text,yes,PROMOTED 2026-07-12 (born-digital md swapped into the audited layer; scan retained; vote diff clean)
2024-03-12,PlanningCommission,722,1100671,https://www.utah.gov/pmn/files/1100671.pdf,DRAFT Mins - March 12; 2024.pdf,draft,ocr,text,yes,DRAFT — sidecar only (fetched 2026-07-12 into pmn_backfill/raw; repo's APPROVED scan stays canonical; do NOT swap)
2024-03-26,PlanningCommission,722,1106293,https://www.utah.gov/pmn/files/1106293.pdf,DRAFT Mins - March 26; 2024.pdf,draft,ocr,text,yes,DRAFT — sidecar only (fetched 2026-07-12 into pmn_backfill/raw; repo's APPROVED scan stays canonical; do NOT swap)
2025-01-28,PlanningCommission,722,1228927,https://www.utah.gov/pmn/files/1228927.pdf,Draft Minutes - January 28; 2025.pdf,draft,ocr,text,yes,DRAFT — sidecar only (fetched 2026-07-12 into pmn_backfill/raw; repo's APPROVED scan stays canonical; do NOT swap)
2025-07-22,PlanningCommission,722,1341397,https://www.utah.gov/pmn/files/1341397.pdf,DRAFT Mins - July 22; 2025.pdf,draft,ocr,text,yes,DRAFT — sidecar only (fetched 2026-07-12 into pmn_backfill/raw; repo's APPROVED scan stays canonical; do NOT swap)
2026-02-24,PlanningCommission,722,1408073,https://www.utah.gov/pmn/files/1408073.pdf,DRAFT Mins- February 24; 2026.pdf,draft,ocr,text,yes,DRAFT — sidecar only (fetched 2026-07-12 into pmn_backfill/raw; repo's APPROVED scan stays canonical; do NOT swap)
2026-03-10,PlanningCommission,722,1408071,https://www.utah.gov/pmn/files/1408071.pdf,DRAFT Mins - March 10; 2026.pdf,draft,ocr,text,yes,DRAFT — sidecar only (fetched 2026-07-12 into pmn_backfill/raw; repo's APPROVED scan stays canonical; do NOT swap)
2026-03-24,PlanningCommission,722,1423289,https://www.utah.gov/pmn/files/1423289.pdf,Draft Minutes - March 24; 2026.pdf,draft,ocr,text,yes,DRAFT — sidecar only (fetched 2026-07-12 into pmn_backfill/raw; repo's APPROVED scan stays canonical; do NOT swap)
