date,year,title,slug,body,path,source,source_url,notice_url,pmn_body_id,pmn_file_id,retrieved_date,format,extraction_method,notes
2020-01-29,2020,Let's Talk Taylorsville Town Hall,lets-talk-taylorsville,,raw/2020-01-29_lets-talk-taylorsville_569847.pdf,pmn,https://www.utah.gov/pmn/files/569847.pdf,,720,569847,2026-07-06,text,pdftotext-layout,5th-Wednesday informal constituent town hall; born-digital text PDF; not on city portal or in meeting_minutes/ index; NON-STANDARD (no formal roll-call votes)
2021-06-02,2021,City Council Meeting (minutes),city-council,Council,raw/2021-06-02_council-final_736707.pdf,pmn,https://www.utah.gov/pmn/files/736707.pdf,,720,736707,2026-07-12,text,pdftotext-layout (raw retained; converted only where promoted),"OCR-upgrade candidate resolved NO-OP 2026-07-12: this is the COUNCIL minutes (already born-digital in the repo); the repo's OCR doc on this date is the separate RDA Board minutes, which PMN does not carry (this file only references the RDA recess)"
2021-08-24,2021,Planning Commission Meeting (minutes),planning-commission,PlanningCommission,raw/2021-08-24_pc-final_780797.pdf,pmn,https://www.utah.gov/pmn/files/780797.pdf,,722,780797,2026-07-12,text,pdftotext-layout (raw retained; converted only where promoted),"OCR-upgrade SOURCE, PROMOTED 2026-07-12 into the audited layer (born-digital text replaced the repo's OCR markdown; city scan retained; vote diff clean)"
2021-09-14,2021,Planning Commission Meeting (minutes),planning-commission,PlanningCommission,raw/2021-09-14_pc-final_780799.pdf,pmn,https://www.utah.gov/pmn/files/780799.pdf,,722,780799,2026-07-12,text,pdftotext-layout (raw retained; converted only where promoted),"OCR-upgrade SOURCE, PROMOTED 2026-07-12 into the audited layer (born-digital text replaced the repo's OCR markdown; city scan retained; vote diff clean)"
2022-01-05,2022,City Council Meeting (minutes),city-council,Council,raw/2022-01-05_council-final_802885.pdf,pmn,https://www.utah.gov/pmn/files/802885.pdf,,720,802885,2026-07-12,text,pdftotext-layout (raw retained; converted only where promoted),"OCR-upgrade candidate resolved NO-OP 2026-07-12: this is the COUNCIL minutes (already born-digital in the repo); the repo's OCR doc on this date is the separate RDA Board minutes, which PMN does not carry (this file only references the RDA recess)"
2022-04-26,2022,Planning Commission Meeting (minutes),planning-commission,PlanningCommission,raw/2022-04-26_pc-final_852263.pdf,pmn,https://www.utah.gov/pmn/files/852263.pdf,,722,852263,2026-07-12,text,pdftotext-layout (raw retained; converted only where promoted),"OCR-upgrade SOURCE, PROMOTED 2026-07-12 into the audited layer (born-digital text replaced the repo's OCR markdown; city scan retained; vote diff clean)"
2024-01-31,2024,Let's Talk Taylorsville Town Hall,lets-talk-taylorsville,,raw/2024-01-31_lets-talk-taylorsville_1086765.pdf,pmn,https://www.utah.gov/pmn/files/1086765.pdf,,720,1086765,2026-07-06,scanned,ocr-tesseract,5th-Wednesday informal constituent town hall; scanned image PDF (OCR); not on city portal or in meeting_minutes/ index; NON-STANDARD (no formal roll-call votes)
2024-03-12,2024,Planning Commission Meeting (DRAFT minutes),planning-commission,PlanningCommission,raw/2024-03-12_pc-draft_1100671.pdf,pmn,https://www.utah.gov/pmn/files/1100671.pdf,,722,1100671,2026-07-12,text,pdftotext-layout (raw retained; converted only where promoted),DRAFT sidecar (PMN posts only the draft; the repo's APPROVED RICOH scan stays canonical — do NOT swap; kept per TODO T3.3(a))
2024-03-26,2024,Planning Commission Meeting (DRAFT minutes),planning-commission,PlanningCommission,raw/2024-03-26_pc-draft_1106293.pdf,pmn,https://www.utah.gov/pmn/files/1106293.pdf,,722,1106293,2026-07-12,text,pdftotext-layout (raw retained; converted only where promoted),DRAFT sidecar (PMN posts only the draft; the repo's APPROVED RICOH scan stays canonical — do NOT swap; kept per TODO T3.3(a))
2024-12-04,2024,City Council Meeting (minutes),city-council,Council,raw/2024-12-04_council-final_1215077.pdf,pmn,https://www.utah.gov/pmn/files/1215077.pdf,,720,1215077,2026-07-12,text,pdftotext-layout (raw retained; converted only where promoted),"OCR-upgrade SOURCE, PROMOTED 2026-07-12 into the audited layer (born-digital text replaced the repo's OCR markdown; city scan retained; vote diff clean)"
2025-01-22,2025,City Council Meeting (minutes),city-council,Council,raw/2025-01-22_council-final_1226935.pdf,pmn,https://www.utah.gov/pmn/files/1226935.pdf,,720,1226935,2026-07-12,text,pdftotext-layout (raw retained; converted only where promoted),"OCR-upgrade SOURCE, PROMOTED 2026-07-12 into the audited layer (born-digital text replaced the repo's OCR markdown; city scan retained; vote diff clean — recovered Cochran's dropped Aye on 2025-01-22 m5)"
2025-01-28,2025,Planning Commission Meeting (DRAFT minutes),planning-commission,PlanningCommission,raw/2025-01-28_pc-draft_1228927.pdf,pmn,https://www.utah.gov/pmn/files/1228927.pdf,,722,1228927,2026-07-12,text,pdftotext-layout (raw retained; converted only where promoted),DRAFT sidecar (PMN posts only the draft; the repo's APPROVED RICOH scan stays canonical — do NOT swap; kept per TODO T3.3(a))
2025-05-07,2025,City Council Meeting (minutes),city-council,Council,raw/2025-05-07_council-final_1273847.pdf,pmn,https://www.utah.gov/pmn/files/1273847.pdf,,720,1273847,2026-07-12,text,pdftotext-layout (raw retained; converted only where promoted),"OCR-upgrade SOURCE, PROMOTED 2026-07-12 into the audited layer (born-digital text replaced the repo's OCR markdown; city scan retained; vote diff clean)"
2025-07-22,2025,Planning Commission Meeting (DRAFT minutes),planning-commission,PlanningCommission,raw/2025-07-22_pc-draft_1341397.pdf,pmn,https://www.utah.gov/pmn/files/1341397.pdf,,722,1341397,2026-07-12,text,pdftotext-layout (raw retained; converted only where promoted),DRAFT sidecar (PMN posts only the draft; the repo's APPROVED RICOH scan stays canonical — do NOT swap; kept per TODO T3.3(a))
2026-02-24,2026,Planning Commission Meeting (DRAFT minutes),planning-commission,PlanningCommission,raw/2026-02-24_pc-draft_1408073.pdf,pmn,https://www.utah.gov/pmn/files/1408073.pdf,,722,1408073,2026-07-12,text,pdftotext-layout (raw retained; converted only where promoted),DRAFT sidecar (PMN posts only the draft; the repo's APPROVED RICOH scan stays canonical — do NOT swap; kept per TODO T3.3(a))
2026-03-10,2026,Planning Commission Meeting (DRAFT minutes),planning-commission,PlanningCommission,raw/2026-03-10_pc-draft_1408071.pdf,pmn,https://www.utah.gov/pmn/files/1408071.pdf,,722,1408071,2026-07-12,text,pdftotext-layout (raw retained; converted only where promoted),DRAFT sidecar (PMN posts only the draft; the repo's APPROVED RICOH scan stays canonical — do NOT swap; kept per TODO T3.3(a))
2026-03-24,2026,Planning Commission Meeting (DRAFT minutes),planning-commission,PlanningCommission,raw/2026-03-24_pc-draft_1423289.pdf,pmn,https://www.utah.gov/pmn/files/1423289.pdf,,722,1423289,2026-07-12,text,pdftotext-layout (raw retained; converted only where promoted),DRAFT sidecar (PMN posts only the draft; the repo's APPROVED RICOH scan stays canonical — do NOT swap; kept per TODO T3.3(a))
