city,candidate,election_year,office,seat,raised,spent,n_filings,n_live,basis,review_flag
holladay,Sabrina R. Petersen,2017,Council,1,0.0,0.0,1,1,single,
holladay,Dennis Roach,2017,Council,3,0.0,0.0,1,1,single,
holladay,Paul S. Fotheringham,2017,Council,3,0.0,0.0,1,1,single,
holladay,Robert M. Dahle,2017,Mayor,,0.0,0.0,1,1,single,
holladay,D. Ty Brewer,2021,Council,1,3365.91,3365.91,2,1,summary,
holladay,Melissa Blackham Hilton,2021,Council,1,600.0,2647.55,2,1,summary,
holladay,Paul S. Fotheringham,2021,Council,3,0.0,35.0,1,1,single,
holladay,Robert M. Dahle,2021,Mayor,,7248.75,7238.52,2,1,summary,
holladay,Drew B. Quinn,2023,Council,4,5244.45,5244.45,3,3,override,"OVERRIDE: per-period filer (regime detector: incremental; balances chain exactly across all 3 reports: -1433.26 -> -2406.95 -> 0.00) — the Nov-30 'summary'-typed filing is itself a period report, so the summary-vs-interims rule drops it; cycle = sum of all 3 filings' stated totals (2500+200+2544.45 / 3933.26+1173.69+137.50)"
holladay,Matthew Collin Tracy,2023,Council,4,4389.17,3924.19,3,3,override,"OVERRIDE: [2026-07-18 evidence pass] per-period filer; the 3 filings' balances chain Oct-24 $64.80 -> Nov-14 $230.83 -> Dec-21 Final $0.00 (within 2c), so all 3 are distinct periods and the Dec-21 Final is a real period, not a cumulative summary. ONE cross-report expenditure re-listing deduped: Michael McDonald (web page) Oct-23 $600 appears in BOTH the Oct-24 and Nov-14 covers. Womens Democratic Club Oct-16 $50 is also re-listed but is <=$50 (in neither Form-A >$50 cover total) so it is immaterial to raised. cycle raised = 3345+675+369.17 = 4389.17; cycle spent = (3315.20+608.99+600) - 600 (McDonald dup) = 3924.19. Supersedes prior sum-interim 4020/3924.19, which dropped the genuine Dec-21 Final period. Residual: the filer's stated $0 ending double-lists the $600, so the unique-transaction ending implies ~$600 surplus (filer bookkeeping; source values kept verbatim)."
holladay,Emily Gray,2023,Council,5,9297.0,4183.35,1,1,single,
holladay,David Sundwall,2025,Council,1,1450.0,1011.51,3,3,override,"OVERRIDE: per-period filer (incremental; balances chain 39.00 -> 7.49 -> 428.49, Final off by ~$10 filer typo on Form-B line 3) — Dec-3 'summary' is a period report; cycle = sum of 3 filings' stated totals (600+350+500 / 561+381.51+69); Final's printed $69 expense line under-adds its own itemized rows (~$79 by the balance chain) — kept verbatim, not corrected"
holladay,Grant Jacob Bilstad,2025,Council,1,200.0,78.52,3,3,override,OVERRIDE: per-period filer (incremental; balances chain exactly 141.41 -> 132.82 -> 171.48) — Dec-2 'summary' is a period report (0 contrib / 11.34 exp); cycle = sum of 3 filings (200+0+0 / 58.59+8.59+11.34); Final's $50 <=$50 aggregate is unitemized and uncounted
holladay,Natalie Bellamy Bradley,2025,Council,3,2000.0,1824.88,3,3,override,OVERRIDE: per-period filer (incremental; balances chain exactly 454.61 -> 469.16 -> 250.12) — Dec-5 'summary' is a period report (0 contrib / 269.04 exp); cycle = sum of 3 filings (1950+50(itemized)+0 / 1520.39+35.45+269.04); Final's $50 <=$50 aggregate is unitemized and uncounted
holladay,Bailee Jones,2025,Council,3,1800.0,1816.61,3,3,override,"OVERRIDE: per-period filer (incremental; Oct-7 & Final balances chain, Oct-28 off by the $50 filing fee the filer lists but never totals) — Dec-4 'summary' is a period report; cycle = sum of 3 filings (1750+50(itemized)+0 / 989.91+660+166.70)"
holladay,Daren A. Watts,2025,Mayor,,65135.33,62880.49,4,4,override,"OVERRIDE: [2026-07-18 evidence pass] MIXED resolved. Per-period filer (each report's ending = its own raised-spent from 0). Cycle = sum of all 4 filings' covers minus EXACT cross-report re-listings (same date+name+amount). Contributions 66,335.33 - 1,200 = 65,135.33: re-listings = Tom Rosenberg 8/3 $200 (Aug=Oct-7) + Chris Bowler 10/23 $1,000 (Oct-28=Final); the ~7 other recurring donors (Russ/Brent/Greg Watts, Ellis Ivory, Brian Hall, John Dunn, Shane Topham, Brad Reynolds) recur on DIFFERENT dates = genuine repeat gifts, kept. Expenditures 76,109.21 - 13,228.72 = 62,880.49: overcount = the Oct-7/Oct-28 10/1-10/6 re-listed block $13,045.37 + Aug/Oct-7 boundary $63.10 + Oct-28/Final boundary $120.25. Supersedes prior sum-interim 64,735.33/70,370.76 (which double-counted the $13k overlap and dropped the Final). Residual: within-Aug Greg Watts 7/10 $950 listed twice, kept verbatim (reconciles to the Aug $31,163.33 cover)."
holladay,Paul S. Fotheringham,2025,Mayor,,49825.0,50242.65,4,4,override,"OVERRIDE: per-period filer (incremental; balances chain exactly across all 4 reports: 3057.59 -> 8160.48 -> 1338.02 -> 857.98) — the Dec-4 'summary'-typed filing is itself a ~$17k period report, so summary-vs-interims badly undercounts; cycle = sum of all 4 filings' stated cover totals (20684.43+9675+2300+17165.57 / 17926.84+5022.11+9192.46+18101.24)"
holladay,Zac Wilson,2025,Mayor,,38914.37,27017.01,2,2,override,"OVERRIDE: [2026-07-18 evidence pass] MIXED resolved, Final INCLUDED. The Sept-11 Final is a genuine NEW period, not a restatement: its sole contribution is Zac Wilson's $10,001 self-loan dated 8/1 (absent from the Aug filing) and all its expenses date 7/31..9/1, entirely AFTER the Aug filing's last expense (7/30) — zero row overlap (verified). raised = 28,913.37 + 10,001.00 (itemized self-loan; the cover prints 10,000.10, a documented transposition typo) = 38,914.37; spent = 24,201.89 + 2,815.12 = 27,017.01. Supersedes prior exclusion of the Final (28,913.37 / 24,201.89). Residual: the Final's stated ending $11,469.74 is ~$542.62 short of a clean cumulative chain from Aug's $4,826.48 ending (filer ending-balance bookkeeping; the disjoint contribution/expense totals summed here are unaffected)."
