date,candidate,office,election_year,filing_type,reporting_period,title,source_url,retrieved_date,format,extraction_method,path,district,source,is_incremental,date_precision,in_election_results,matched_election_candidate,join_confidence,sha256
2017-08-08,Sabrina R. Petersen,Council,2017,interim,Aug 8 2017,Sabrina R. Petersen — Holladay 2017 District 1 campaign financial disclosure (Aug 8 2017),https://municipal.utah.gov/salt%20lake/2017/Holladay/Petersen-Aug-8.pdf,2026-07-13,scanned,"none (acquisition-only; scanned image PDF, OCR/vision deferred)",raw/2017_state_petersen-aug-8.pdf,1,state_lg_municipal_disclosures,no,label_date,yes,SABRINA R. PETERSEN,exact,7cd8571f6a5b1ec75b1012fe1b2d1fdd9270bc0fb51bbb693e49cdf8fe172dd0
2017-08-08,Dennis Roach,Council,2017,interim,Aug 8 2017,Dennis Roach — Holladay 2017 District 3 campaign financial disclosure (Aug 8 2017),https://municipal.utah.gov/salt%20lake/2017/Holladay/Roach-Aug.-8.pdf,2026-07-13,scanned,"none (acquisition-only; scanned image PDF, OCR/vision deferred)",raw/2017_state_roach-aug-8.pdf,3,state_lg_municipal_disclosures,no,label_date,yes,DENNIS ROACH,exact,89d7af1799f274c35f0947ccdd5649a338597edfcd794a14a1ecf8246ec7690c
2017-08-08,Paul S. Fotheringham,Council,2017,interim,2017 primary declaration,Paul S. Fotheringham — Holladay 2017 District 3 campaign financial disclosure (2017 primary declaration),https://municipal.utah.gov/salt%20lake/2017/Holladay/Fotheringham-Primary.pdf,2026-07-13,scanned,"none (acquisition-only; scanned image PDF, OCR/vision deferred)",raw/2017_state_fotheringham-primary.pdf,3,state_lg_municipal_disclosures,no,label_period,yes,PAUL S. FOTHERINGHAM,exact,a9290c1846e4696de3f5591d86931a4cfb2bfe4b0e8b3314d33e6d0e50e6275f
2017-08-08,Robert M. Dahle,Mayor,2017,interim,Aug 8 2017 (pre-primary/declaration),Robert M. Dahle — Holladay 2017 Mayor campaign financial disclosure (Aug 8 2017 (pre-primary/declaration)),https://municipal.utah.gov/salt%20lake/2017/Holladay/Dahle-Aug-8.pdf,2026-07-13,scanned,"none (acquisition-only; scanned image PDF, OCR/vision deferred)",raw/2017_state_dahle-aug-8.pdf,,state_lg_municipal_disclosures,no,label_date,yes,ROBERT M. DAHLE,exact,15a3d318373a87f6945b4346f60dcce065b8fea7e46fccc924b4ecb1b90de420
2021-10-26,D. Ty Brewer,Council,2021,interim,Oct 2021 (pre-general),D. Ty Brewer — Holladay 2021 District 1 campaign financial disclosure (Oct 2021 (pre-general)),https://municipal.utah.gov/salt%20lake/2021/Holladay%20City/Brewer.Oct.pdf,2026-07-13,text,none (acquisition-only; born-digital text PDF),raw/2021_state_brewer-oct.pdf,1,state_lg_municipal_disclosures,no,inferred_pre_general,yes,D. TY BREWER,exact,97f1f14938258211ed507630836e177df054f4c2f0a9dcf8aba365a27db86524
2021-11-30,D. Ty Brewer,Council,2021,summary,2021 year-end final,D. Ty Brewer — Holladay 2021 District 1 campaign financial disclosure (2021 year-end final),https://municipal.utah.gov/salt%20lake/2021/Holladay%20City/Brewer%20-%20Final.pdf,2026-07-13,text,none (acquisition-only; born-digital text PDF),raw/2021_state_brewer-final.pdf,1,state_lg_municipal_disclosures,no,inferred_final,yes,D. TY BREWER,exact,aa80b532f157bfdca65014d8775aa78c074fed1578be1841bdb52adfbd97a0a4
2021-10-26,Melissa Blackham Hilton,Council,2021,interim,Oct 2021 (pre-general),Melissa Blackham Hilton — Holladay 2021 District 1 campaign financial disclosure (Oct 2021 (pre-general)),https://municipal.utah.gov/salt%20lake/2021/Holladay%20City/hilton.Oct.pdf,2026-07-13,scanned,"none (acquisition-only; scanned image PDF, OCR/vision deferred)",raw/2021_state_hilton-oct.pdf,1,state_lg_municipal_disclosures,no,inferred_pre_general,yes,MELISSA BLACKHAM HILTON,exact,d9db4c71c96749be37467da7a0179b78259cf109744d79768b24e7a726a25435
2021-11-30,Melissa Blackham Hilton,Council,2021,summary,2021 year-end final,Melissa Blackham Hilton — Holladay 2021 District 1 campaign financial disclosure (2021 year-end final),https://municipal.utah.gov/salt%20lake/2021/Holladay%20City/Hilton%20-%20Final.pdf,2026-07-13,scanned,"none (acquisition-only; scanned image PDF, OCR/vision deferred)",raw/2021_state_hilton-final.pdf,1,state_lg_municipal_disclosures,no,inferred_final,yes,MELISSA BLACKHAM HILTON,exact,cb9bca2dfd7c2ce415a80826a618baee0489e66833a1504977e113b1ca2bcf31
2021-10-26,Paul S. Fotheringham,Council,2021,interim,Oct 2021 (pre-general; unopposed),Paul S. Fotheringham — Holladay 2021 District 3 campaign financial disclosure (Oct 2021 (pre-general; unopposed)),https://municipal.utah.gov/salt%20lake/2021/Holladay%20City/Fotheringham.Oct.pdf,2026-07-13,scanned,"none (acquisition-only; scanned image PDF, OCR/vision deferred)",raw/2021_state_fotheringham-oct.pdf,3,state_lg_municipal_disclosures,no,inferred_pre_general,yes,PAUL S. FOTHERINGHAM,exact,2ddaba46eb307655f7f0662d6dab8be060592b07d52d4e54aedd1cb556890aab
2021-10-26,Robert M. Dahle,Mayor,2021,interim,Oct 2021 (pre-general),Robert M. Dahle — Holladay 2021 Mayor campaign financial disclosure (Oct 2021 (pre-general)),https://municipal.utah.gov/salt%20lake/2021/Holladay%20City/Dahle.Oct.pdf,2026-07-13,scanned,"none (acquisition-only; scanned image PDF, OCR/vision deferred)",raw/2021_state_dahle-oct.pdf,,state_lg_municipal_disclosures,no,inferred_pre_general,yes,ROBERT M. DAHLE,exact,f1fc0deffd2c5cfe694d843ffde482439248cd0ddc3095962112638370ec4f23
