candidate,office,election_year,filing_date,reporting_period,filing_type,stated_total_contributions,stated_total_expenditures,stated_beginning_balance,stated_ending_balance,itemized_contrib_sum,itemized_expend_sum,reconciles_contrib,reconciles_expend,recon_delta_contrib,recon_delta_expend,self_funded_amount,n_contrib_rows,n_expend_rows,source_filing,document_id,extraction_confidence,notes,filing_regime
Sabrina R. Petersen,Council,2017,2017-08-08,Aug 8 2017,interim,,,,,,,,,,,0.00,0,0,raw/2017_state_petersen-aug-8.pdf,ae67a6bf,low,"not transcribed (below-2020-floor 2017 bonus acquisition; scanned state declaration form — inventory-only, cf-structuring 2026-07-17)",
Dennis Roach,Council,2017,2017-08-08,Aug 8 2017,interim,,,,,,,,,,,0.00,0,0,raw/2017_state_roach-aug-8.pdf,fab78a1a,low,"not transcribed (below-2020-floor 2017 bonus acquisition; scanned state declaration form — inventory-only, cf-structuring 2026-07-17)",
Paul S. Fotheringham,Council,2017,2017-08-08,2017 primary declaration,interim,,,,,,,,,,,0.00,0,0,raw/2017_state_fotheringham-primary.pdf,4f6c314b,low,"not transcribed (below-2020-floor 2017 bonus acquisition; scanned state declaration form — inventory-only, cf-structuring 2026-07-17)",
Robert M. Dahle,Mayor,2017,2017-08-08,Aug 8 2017 (pre-primary/declaration),interim,,,,,,,,,,,0.00,0,0,raw/2017_state_dahle-aug-8.pdf,56d438be,low,"not transcribed (below-2020-floor 2017 bonus acquisition; scanned state declaration form — inventory-only, cf-structuring 2026-07-17)",
D. Ty Brewer,Council,2021,2021-10-26,Oct 2021 (pre-general),interim,3305.85,3305.85,,0.00,3305.85,3305.85,True,True,0.00,0.00,0.00,2,10,raw/2021_state_brewer-oct.pdf,c5f7fdb3,high,vision-transcribed(read-tool); superseded (cumulative snapshot; cycle total = latest report),
D. Ty Brewer,Council,2021,2021-11-30,2021 year-end final,summary,3365.91,3365.91,,0.00,3365.91,3365.91,True,True,0.00,0.00,0.00,3,11,raw/2021_state_brewer-final.pdf,952c0c2a,high,vision-transcribed(read-tool),
Melissa Blackham Hilton,Council,2021,2021-10-26,Oct 2021 (pre-general),interim,600.00,2647.55,,-1997.55,650.00,2647.55,False,True,50.00,0.00,0.00,6,14,raw/2021_state_hilton-oct.pdf,f6ce8701,low,vision-transcribed(read-tool); contrib!=stated; superseded (cumulative snapshot; cycle total = latest report),
Melissa Blackham Hilton,Council,2021,2021-11-30,2021 year-end final,summary,600.00,2647.55,,-1962.55,685.00,2647.55,False,True,85.00,0.00,0.00,7,14,raw/2021_state_hilton-final.pdf,96bee2ad,low,vision-transcribed(read-tool); contrib!=stated,
Paul S. Fotheringham,Council,2021,2021-10-26,Oct 2021 (pre-general; unopposed),interim,0.00,35.00,,0.00,0.00,35.00,True,True,0.00,0.00,0.00,0,1,raw/2021_state_fotheringham-oct.pdf,7b4e73b8,medium,vision-transcribed(read-tool),
Robert M. Dahle,Mayor,2021,2021-10-26,Oct 2021 (pre-general),interim,6600.00,2432.00,,4168.00,6600.00,2432.00,True,True,0.00,0.00,6000.00,3,3,raw/2021_state_dahle-oct.pdf,4ffeb1b5,medium,vision-transcribed(read-tool); superseded (cumulative snapshot; cycle total = latest report),
