member,first_seen,last_seen,n_votes
Commissioner Adams,2020-12-10,2026-05-28,163
Commissioner Best,2026-05-14,2026-05-28,18
Commissioner Bingham,2020-11-19,2023-04-27,128
Commissioner Fidler,2023-09-14,2026-05-28,277
Commissioner Fowler,2020-01-23,2026-05-28,503
Commissioner Green,2024-03-14,2026-05-28,244
Commissioner Gundersen,2020-02-13,2020-06-25,52
Commissioner Hawker,2020-01-23,2023-08-10,225
Commissioner Nixon,2021-07-08,2026-05-28,479
Commissioner Ogden,2020-02-27,2026-05-28,497
Commissioner Player,2020-01-23,2021-02-25,121
Commissioner Shah,2024-02-08,2025-11-20,188
Commissioner Shirey,2022-06-23,2026-05-28,299
Commissioner Squire,2020-01-23,2026-05-28,558
Commissioner Tonks,2020-01-23,2023-06-22,172
Commissioner Van Hoff,2020-02-13,2022-04-14,190
