slug,url,file,bytes,sha256,retrieved,note
2023-genola-city-council-1,https://www.rcvis.com/v/2023-genola-city-council-1,2023-genola-city-council-1.json,1107,cd3786a2d4335409bc646f64357f67231386ce4659f82c5656050b79869a71ce,2026-07-20,embedded rawDataId JSON archived from the rcvis page
2023-genola-city-council-2,https://www.rcvis.com/v/2023-genola-city-council-2,2023-genola-city-council-2.json,1547,22e6eeae2f5beb3d45417b2f34466e5cc9431859241cd07e91c9d509dca4aec4,2026-07-20,embedded rawDataId JSON archived from the rcvis page
2023-genola-city-council,https://www.rcvis.com/v/2023-genola-city-council,2023-genola-city-council.json,1547,a90a335a4c921bc47b9d5e528d815eae6354cd8ff55f9dabe265196512fca2cd,2026-07-20,embedded rawDataId JSON archived from the rcvis page
2023-lehi-city-council-1,https://www.rcvis.com/v/2023-lehi-city-council-1,2023-lehi-city-council-1.json,1685,dec473006e3a4d09c925c5691dadbf2dafe6e8ae175fb159368fea209daf6b6e,2026-07-20,embedded rawDataId JSON archived from the rcvis page
2023-lehi-city-council-2,https://www.rcvis.com/v/2023-lehi-city-council-2,2023-lehi-city-council-2.json,1179,c8ef6e24c8f1ee50073d752dd0da4ca7c8cc37b2b056649bafbc8ede08aaab75,2026-07-20,embedded rawDataId JSON archived from the rcvis page
2023-lehi-city-council-3,https://www.rcvis.com/v/2023-lehi-city-council-3,2023-lehi-city-council-3.json,2226,9a346c25a62485d68db54c5ed88b9ecde10e64dbcbcc8dd361cd06acc0cc05f1,2026-07-20,embedded rawDataId JSON archived from the rcvis page
2023-lehi-city-council-4,https://www.rcvis.com/v/2023-lehi-city-council-4,2023-lehi-city-council-4.json,1685,9489e466c44d47d432960ed7b4945f0303859d99e05c5bb2a5b30f40a80683d8,2026-07-20,embedded rawDataId JSON archived from the rcvis page
2023-lehi-city-council-primary-12,https://www.rcvis.com/v/2023-lehi-city-council-primary-12,2023-lehi-city-council-primary-12.json,6741,86c3ab1a2f397d0175df1c965bfcccc086d44d361e428e6281a275ad0ba82077,2026-07-20,embedded rawDataId JSON archived from the rcvis page
2023-lehi-city-council,https://www.rcvis.com/v/2023-lehi-city-council,2023-lehi-city-council.json,2226,a4b98b11745bf78033423fa587f2c7d1ccccb4973e0a18edfa1f6176c7d6eebf,2026-07-20,embedded rawDataId JSON archived from the rcvis page
2023-payson-city-council-1,https://www.rcvis.com/v/2023-payson-city-council-1,2023-payson-city-council-1.json,3366,c4b0799605a9de982a1c9a431437ace096bd19887e91a6567291e288ffd97e63,2026-07-20,embedded rawDataId JSON archived from the rcvis page
2023-payson-city-council-2,https://www.rcvis.com/v/2023-payson-city-council-2,2023-payson-city-council-2.json,2713,ae78ea211af4b1d10528d6c998a38516fefa67b1b02ee5417849f2211375a677,2026-07-20,embedded rawDataId JSON archived from the rcvis page
2023-payson-city-council-3,https://www.rcvis.com/v/2023-payson-city-council-3,2023-payson-city-council-3.json,4044,eb8b5240b76210a1cf24d934b09613d3f93883abaf682c1ed48e685068ed7ca2,2026-07-20,embedded rawDataId JSON archived from the rcvis page
2023-payson-city-council,https://www.rcvis.com/v/2023-payson-city-council,2023-payson-city-council.json,4043,3a1490c9629db7a938358c3d86f5735d2a53bf88d09b92fe6f5695d1fabea5b1,2026-07-20,embedded rawDataId JSON archived from the rcvis page
2023-vineyard-city-council-1,https://www.rcvis.com/v/2023-vineyard-city-council-1,2023-vineyard-city-council-1.json,491,dc002003529413bcb9ed1a1788689f9952ae2c22ff762110f80c2ae0f89c92fd,2026-07-20,embedded rawDataId JSON archived from the rcvis page
2023-vineyard-city-council-2,https://www.rcvis.com/v/2023-vineyard-city-council-2,2023-vineyard-city-council-2.json,2555,2f4dbff11441bf6a1901515b52d817921a479e935f4eb91612d506de0136ac9d,2026-07-20,embedded rawDataId JSON archived from the rcvis page
2023-vineyard-city-council-3,https://www.rcvis.com/v/2023-vineyard-city-council-3,2023-vineyard-city-council-3.json,491,1dee1bcc49ac1bd6c52403a8542e6f8c0b39c769510003a3fd771e3907a68977,2026-07-20,embedded rawDataId JSON archived from the rcvis page
2023-vineyard-city-council,https://www.rcvis.com/v/2023-vineyard-city-council,2023-vineyard-city-council.json,2551,611fff13efc324262f8a18187bfa225b36656639ee51e18f3b1d2d89e377296c,2026-07-20,embedded rawDataId JSON archived from the rcvis page
