entity,plan_kind,plan_vintage,project_id,name,mode,improvement_type,jurisdiction,county,phase_or_year,cost,status,description,source_layer,source_url
wfrc_mpo,tip,2020-2025,15665,1200 South; 3600 E to 6400 E (Lake Creek Road),,,,Wasatch,2022,2145232,Scoping,Non-Urban,TIP20202025_gdb/FeatureServer/0 (lines),https://services1.arcgis.com/taguadKoI1XFwivx/ArcGIS/rest/services/TIP20202025_gdb/FeatureServer/0/query?where=OBJECTID%3D13446&outFields=*&f=json
wfrc_mpo,tip,2020-2025,10859,1900 East Price Phase II: 300 N to 600 North,,,,Carbon,2017,888000,Close Out,Small Urban,TIP20202025_gdb/FeatureServer/0 (lines),https://services1.arcgis.com/taguadKoI1XFwivx/ArcGIS/rest/services/TIP20202025_gdb/FeatureServer/0/query?where=OBJECTID%3D13447&outFields=*&f=json
wfrc_mpo,tip,2020-2025,15661,2500 West; 1500 N to 2500 N Vernal,,,,Uintah,2021,1291000,Scoping,"Reconstruct 2500 West in Vernal to improve pavement condition and safety. Widen the roadway to 40 feet wide to include 12 ft. travel lanes and 8 ft. shoulders. Improve drainage, signing, and side slopes. Construction is scheduled during 2021.",TIP20202025_gdb/FeatureServer/0 (lines),https://services1.arcgis.com/taguadKoI1XFwivx/ArcGIS/rest/services/TIP20202025_gdb/FeatureServer/0/query?where=OBJECTID%3D13448&outFields=*&f=json
wfrc_mpo,tip,2020-2025,14338,Santaquin Safe Routes to School,,,,Utah,2018,664383.59,Awarded,"This project will build sidewalk improvents on 300 West between 100 North and 560 North.  This will provide students attending the Santaquin Elementary school a safe route to school.


UDOT is committed to providing the highest degree of accessibility and safety for pedestrian and bicyclists. Through the construction of sidewalks and ADA ramps, trails, bike paths and striping of shoulders where appropriate for bike lanes.",TIP20202025_gdb/FeatureServer/0 (lines),https://services1.arcgis.com/taguadKoI1XFwivx/ArcGIS/rest/services/TIP20202025_gdb/FeatureServer/0/query?where=OBJECTID%3D13449&outFields=*&f=json
wfrc_mpo,tip,2020-2025,14765,400 North & US-191 Intersection Improvements,,,,Grand,2021,1157000,Scoping,,TIP20202025_gdb/FeatureServer/0 (lines),https://services1.arcgis.com/taguadKoI1XFwivx/ArcGIS/rest/services/TIP20202025_gdb/FeatureServer/0/query?where=OBJECTID%3D13450&outFields=*&f=json
wfrc_mpo,tip,2020-2025,15984,Orem 400 South Active Warnings,,,,Utah,2018,327859,Active,The existing crossbucks and stop signs at the spur crossing on Orem 400 S will be upgraded to active warnings - lights and gates.  This will minimize the delay for the traveling public and will improve the safety for trains and vehicles using 400 S,TIP20202025_gdb/FeatureServer/0 (lines),https://services1.arcgis.com/taguadKoI1XFwivx/ArcGIS/rest/services/TIP20202025_gdb/FeatureServer/0/query?where=OBJECTID%3D13451&outFields=*&f=json
wfrc_mpo,tip,2020-2025,17368,4705 S; 1380-1450 E sidewalk (state TAP),,,,Salt Lake,2019,70325,Scoping,Converted TAP,TIP20202025_gdb/FeatureServer/0 (lines),https://services1.arcgis.com/taguadKoI1XFwivx/ArcGIS/rest/services/TIP20202025_gdb/FeatureServer/0/query?where=OBJECTID%3D13452&outFields=*&f=json
wfrc_mpo,tip,2020-2025,17372,8600 South; 1530-1676 East sidewalk state tap,,,,Salt Lake,2019,239459,Scoping,Converted TAP,TIP20202025_gdb/FeatureServer/0 (lines),https://services1.arcgis.com/taguadKoI1XFwivx/ArcGIS/rest/services/TIP20202025_gdb/FeatureServer/0/query?where=OBJECTID%3D13453&outFields=*&f=json
wfrc_mpo,tip,2020-2025,13074,"200 S Multimodal Improvements, American Fork",,,,Utah,2020,4877000,Scoping,"This project consists of constructing a portion of the trail system in American Fork.  The project starts at the intersecion of 200 South and Center Street and runs along the south side of 200 South to 500 West, then along the RR tracks to the Frontrunner station, then back to 200 South and west to 850 East.",TIP20202025_gdb/FeatureServer/0 (lines),https://services1.arcgis.com/taguadKoI1XFwivx/ArcGIS/rest/services/TIP20202025_gdb/FeatureServer/0/query?where=OBJECTID%3D13454&outFields=*&f=json
wfrc_mpo,tip,2020-2025,14768,Ashley Valley & Uintah County Trails Master Plan,,,,Uintah,2017,350000,Close Out,"Develop a countywide pedestrian and bicycle trails master plan. The master plan will allow for combining of Uintah County, Vernal City, Naples City, Ballard City, Utah State Parks, U.S. Forest Service, and BLM trail plans into a single document. The document will identify locations where trails can be improved as well as potential future corridors. Completed master plan will be available by mid Summer 2018.",TIP20202025_gdb/FeatureServer/0 (lines),https://services1.arcgis.com/taguadKoI1XFwivx/ArcGIS/rest/services/TIP20202025_gdb/FeatureServer/0/query?where=OBJECTID%3D13455&outFields=*&f=json
wfrc_mpo,tip,2020-2025,14702,Bike/ Ped Structure over SR-92 in Lehi,,,,Utah,2017,1232936,Scoping,This is the design for the Bike Structure over SR-92 in Lehi. The structure will be built as part of the Tiger Grant acquired by UTA.,TIP20202025_gdb/FeatureServer/0 (lines),https://services1.arcgis.com/taguadKoI1XFwivx/ArcGIS/rest/services/TIP20202025_gdb/FeatureServer/0/query?where=OBJECTID%3D13456&outFields=*&f=json
wfrc_mpo,tip,2020-2025,16603,Burmester Road Improvement,,,,Tooele,2023,2383700,Scoping,Non-Urban,TIP20202025_gdb/FeatureServer/0 (lines),https://services1.arcgis.com/taguadKoI1XFwivx/ArcGIS/rest/services/TIP20202025_gdb/FeatureServer/0/query?where=OBJECTID%3D13457&outFields=*&f=json
wfrc_mpo,tip,2020-2025,16598,600 North; Main St. to 650 East,,,,Beaver,2022,2383000,STIP,Non-Urban,TIP20202025_gdb/FeatureServer/0 (lines),https://services1.arcgis.com/taguadKoI1XFwivx/ArcGIS/rest/services/TIP20202025_gdb/FeatureServer/0/query?where=OBJECTID%3D13458&outFields=*&f=json
wfrc_mpo,tip,2020-2025,17016,Beaver Safe Routes to School FY19,,,,Beaver,2019,149225,Active,"Beaver City is constructing 3,260 linear feet of sidewalk along 600 North to increase safety of students traveling to and from Belknap Elementary School.  UDOT is participating financially, Beaver City will procure design and construction contracts and manage the project.",TIP20202025_gdb/FeatureServer/0 (lines),https://services1.arcgis.com/taguadKoI1XFwivx/ArcGIS/rest/services/TIP20202025_gdb/FeatureServer/0/query?where=OBJECTID%3D13459&outFields=*&f=json
wfrc_mpo,tip,2020-2025,13518,I-84; MP 4 to MP 18 Bridge Preservation,,,,Box Elder,2018,2595000,Under Construction,"Removal of existing asphalt, pothole repair and resurfacing of bridge decks.",TIP20202025_gdb/FeatureServer/0 (lines),https://services1.arcgis.com/taguadKoI1XFwivx/ArcGIS/rest/services/TIP20202025_gdb/FeatureServer/0/query?where=OBJECTID%3D13460&outFields=*&f=json
wfrc_mpo,tip,2020-2025,15129,R1 TAP; Forest Street Railroad Pedestrian Crossing,,,,Box Elder,2019,222000,Scoping,This project will connect the trail along Forest St from Brigham City Main St to the Bear River Bird Refuge by constructing an 8 ft wide sidewalk across the 4 rail lines near 900 W.,TIP20202025_gdb/FeatureServer/0 (lines),https://services1.arcgis.com/taguadKoI1XFwivx/ArcGIS/rest/services/TIP20202025_gdb/FeatureServer/0/query?where=OBJECTID%3D13461&outFields=*&f=json
wfrc_mpo,tip,2020-2025,14777,Iowa String Box Culverts,,,,Box Elder,2019,1606000,Physically Complete,,TIP20202025_gdb/FeatureServer/0 (lines),https://services1.arcgis.com/taguadKoI1XFwivx/ArcGIS/rest/services/TIP20202025_gdb/FeatureServer/0/query?where=OBJECTID%3D13462&outFields=*&f=json
wfrc_mpo,tip,2020-2025,15124,"R1 Tap; 700 South Sidewalk, River Heights",,,,Cache,2017,80000,Close Out,This project is to place sidewalk on the North side of 700 S from 100 E to 600 E in River Heights.,TIP20202025_gdb/FeatureServer/0 (lines),https://services1.arcgis.com/taguadKoI1XFwivx/ArcGIS/rest/services/TIP20202025_gdb/FeatureServer/0/query?where=OBJECTID%3D13463&outFields=*&f=json
wfrc_mpo,tip,2020-2025,17097,Smithfield Safe Routes to School FY20,,,,Cache,2019,38191,Scoping,"This project will improve safety around schools. It begins with traffic engineers evaluating current safety levels in school zones and making recommendations for improvements. Additionally, UDOT works to educate school administrators, parents and students on safely walking and bicycling to and from school.",TIP20202025_gdb/FeatureServer/0 (lines),https://services1.arcgis.com/taguadKoI1XFwivx/ArcGIS/rest/services/TIP20202025_gdb/FeatureServer/0/query?where=OBJECTID%3D13464&outFields=*&f=json
wfrc_mpo,tip,2020-2025,12939,"1900 East Phase III, 600 North to 800 North",,,,Carbon,2019,919000,Advertised,Small Urban,TIP20202025_gdb/FeatureServer/0 (lines),https://services1.arcgis.com/taguadKoI1XFwivx/ArcGIS/rest/services/TIP20202025_gdb/FeatureServer/0/query?where=OBJECTID%3D13465&outFields=*&f=json
wfrc_mpo,tip,2020-2025,16601,Brown's Park Road Phase 5,,,,Daggett,2022,2481900,Scoping,Non-Urban,TIP20202025_gdb/FeatureServer/0 (lines),https://services1.arcgis.com/taguadKoI1XFwivx/ArcGIS/rest/services/TIP20202025_gdb/FeatureServer/0/query?where=OBJECTID%3D13466&outFields=*&f=json
wfrc_mpo,tip,2020-2025,10880,Browns Park Road Phase 3,,,,Daggett,2019,1823447.39,Substantially Compl,Local Government project will improve approximately 7 miles of Brown's Park Road. Construction will occur during 2017.,TIP20202025_gdb/FeatureServer/0 (lines),https://services1.arcgis.com/taguadKoI1XFwivx/ArcGIS/rest/services/TIP20202025_gdb/FeatureServer/0/query?where=OBJECTID%3D13467&outFields=*&f=json
wfrc_mpo,tip,2020-2025,15130,"R1 TAP; Orchard Drive Sidewalk-n. segment, N. SLC",,,,Davis,2019,257000,Scoping,This project is to add a sidewalk along the East side of Orchard Dr from Center Street to approximately 83 South Orchard Dr.,TIP20202025_gdb/FeatureServer/0 (lines),https://services1.arcgis.com/taguadKoI1XFwivx/ArcGIS/rest/services/TIP20202025_gdb/FeatureServer/0/query?where=OBJECTID%3D13468&outFields=*&f=json
wfrc_mpo,tip,2020-2025,15704,1100 N (NSL) RR Xing Improvements,,,,Davis,2017,250000,Scoping,"Railway-Highway Grade Crossing
Construction of new and updating existing railroad crossings. Guard arms, vehicle and train detection, improved signing and striping regulating and promoting safety at all locations in the state where public roads cross railroad tracks.",TIP20202025_gdb/FeatureServer/0 (lines),https://services1.arcgis.com/taguadKoI1XFwivx/ArcGIS/rest/services/TIP20202025_gdb/FeatureServer/0/query?where=OBJECTID%3D13469&outFields=*&f=json
wfrc_mpo,tip,2020-2025,13526,North Salt Lake Center St Queue Cutter,,,,Davis,2016,950000,Scoping,"Railway-Highway Grade Crossing
Construction of new and updating existing railroad crossings. Guard arms, vehicle and train detection, improved signing and striping regulating and promoting safety at all locations in the state where public roads cross railroad tracks.",TIP20202025_gdb/FeatureServer/0 (lines),https://services1.arcgis.com/taguadKoI1XFwivx/ArcGIS/rest/services/TIP20202025_gdb/FeatureServer/0/query?where=OBJECTID%3D13470&outFields=*&f=json
wfrc_mpo,tip,2020-2025,15713,R1 TAP;West Bountiful - Pages Ln Pedestrian Access,,,,Davis,2018,175000,Scoping,This project is the second phase of a bike/pedestrian access project to link the East side of Bountiful and Centerville with the Legacy Trail Corridor along 1600 N from 800 W to 1100 W.,TIP20202025_gdb/FeatureServer/0 (lines),https://services1.arcgis.com/taguadKoI1XFwivx/ArcGIS/rest/services/TIP20202025_gdb/FeatureServer/0/query?where=OBJECTID%3D13471&outFields=*&f=json
wfrc_mpo,tip,2020-2025,17013,Kaysville Safe Routes to School FY19,,,,Davis,2019,39500,Active,"This project will improve safety around schools. It begins with traffic engineers evaluating current safety levels in school zones and making recommendations for improvements. Additionally, UDOT works to educate school administrators, parents and students on safely walking and bicycling to and from school.",TIP20202025_gdb/FeatureServer/0 (lines),https://services1.arcgis.com/taguadKoI1XFwivx/ArcGIS/rest/services/TIP20202025_gdb/FeatureServer/0/query?where=OBJECTID%3D13472&outFields=*&f=json
wfrc_mpo,tip,2020-2025,17365,Adams Ave over I-84 Deck Replacement (0C 644),,,,Davis,2023,6100000,Funding,,TIP20202025_gdb/FeatureServer/0 (lines),https://services1.arcgis.com/taguadKoI1XFwivx/ArcGIS/rest/services/TIP20202025_gdb/FeatureServer/0/query?where=OBJECTID%3D13473&outFields=*&f=json
wfrc_mpo,tip,2020-2025,15662,"800 South in Roosevelt, Utah",,,,Duchesne,2018,426226,Under Construction,"Local Government Project to construct curb, gutter, and sidewalk along both sides of 800 South in Roosevelt between State Street and 500 East. Construct in 2019.",TIP20202025_gdb/FeatureServer/0 (lines),https://services1.arcgis.com/taguadKoI1XFwivx/ArcGIS/rest/services/TIP20202025_gdb/FeatureServer/0/query?where=OBJECTID%3D13474&outFields=*&f=json
wfrc_mpo,tip,2020-2025,16587,"State Street; 800 South to 300 South, Roosevelt",,,,Duchesne,2022,1882000,Scoping,Small Urban,TIP20202025_gdb/FeatureServer/0 (lines),https://services1.arcgis.com/taguadKoI1XFwivx/ArcGIS/rest/services/TIP20202025_gdb/FeatureServer/0/query?where=OBJECTID%3D13475&outFields=*&f=json
wfrc_mpo,tip,2020-2025,16590,1500 East Improvements in Ballard,,,,Uintah,2022,2163000,Scoping,Small Urban,TIP20202025_gdb/FeatureServer/0 (lines),https://services1.arcgis.com/taguadKoI1XFwivx/ArcGIS/rest/services/TIP20202025_gdb/FeatureServer/0/query?where=OBJECTID%3D13476&outFields=*&f=json
wfrc_mpo,tip,2020-2025,16600,Myton Main Street,,,,Duchesne,2022,2493000,Scoping,Non-Urban,TIP20202025_gdb/FeatureServer/0 (lines),https://services1.arcgis.com/taguadKoI1XFwivx/ArcGIS/rest/services/TIP20202025_gdb/FeatureServer/0/query?where=OBJECTID%3D13477&outFields=*&f=json
wfrc_mpo,tip,2020-2025,16602,Woods Road,,,,Uintah,2022,2776000,Scoping,Non-Urban,TIP20202025_gdb/FeatureServer/0 (lines),https://services1.arcgis.com/taguadKoI1XFwivx/ArcGIS/rest/services/TIP20202025_gdb/FeatureServer/0/query?where=OBJECTID%3D13478&outFields=*&f=json
wfrc_mpo,tip,2020-2025,14774,Mountain Home Road,,,,Duchesne,2021,2145232,Scoping,"Local Government project will widen the existing Mountain Home Road by 6 feet to provide paved shoulders. The existing pavement will receive a 3"" overlay. The project is located between SR-87 and the Town of Mountain Home. Construction is scheduled for 2021.",TIP20202025_gdb/FeatureServer/0 (lines),https://services1.arcgis.com/taguadKoI1XFwivx/ArcGIS/rest/services/TIP20202025_gdb/FeatureServer/0/query?where=OBJECTID%3D13479&outFields=*&f=json
wfrc_mpo,tip,2020-2025,14340,Moab Safe Routes to School,,,,Grand,2018,477864,Close Out,"This project will improve safety around schools. It will construct sidewalk in locations where no sidewalk, replace sections of sidewalk that no longer meet ADA requirements and construct accessible pedestrian ramps as part of the project.Additionally, UDOT works to educate school administrators, parents and students on safely walking and bicycling to and from school.",TIP20202025_gdb/FeatureServer/0 (lines),https://services1.arcgis.com/taguadKoI1XFwivx/ArcGIS/rest/services/TIP20202025_gdb/FeatureServer/0/query?where=OBJECTID%3D13480&outFields=*&f=json
wfrc_mpo,tip,2020-2025,17661,New Harmony Salt Shed Parcel,,,,Various,2019,110000,Close Out,Purchase of land for the UDOT New Harmony Salt Shed.,TIP20202025_gdb/FeatureServer/0 (lines),https://services1.arcgis.com/taguadKoI1XFwivx/ArcGIS/rest/services/TIP20202025_gdb/FeatureServer/0/query?where=OBJECTID%3D13481&outFields=*&f=json
wfrc_mpo,tip,2020-2025,15666,Parowan Bridge Rehabilitation,,,,Iron,2022,1222000,STIP,Off-System Bridge,TIP20202025_gdb/FeatureServer/0 (lines),https://services1.arcgis.com/taguadKoI1XFwivx/ArcGIS/rest/services/TIP20202025_gdb/FeatureServer/0/query?where=OBJECTID%3D13482&outFields=*&f=json
wfrc_mpo,tip,2020-2025,16614,Sheep Lane (Nephi) RR Crossing Improvements,,,,Juab,2018,410000,Active,Railway-Highway Grade Crossing,TIP20202025_gdb/FeatureServer/0 (lines),https://services1.arcgis.com/taguadKoI1XFwivx/ArcGIS/rest/services/TIP20202025_gdb/FeatureServer/0/query?where=OBJECTID%3D13483&outFields=*&f=json
wfrc_mpo,tip,2020-2025,16599,Old Hwy 91 (Phase 5),,,,Juab,2022,2431000,Scoping,Non-Urban,TIP20202025_gdb/FeatureServer/0 (lines),https://services1.arcgis.com/taguadKoI1XFwivx/ArcGIS/rest/services/TIP20202025_gdb/FeatureServer/0/query?where=OBJECTID%3D13484&outFields=*&f=json
wfrc_mpo,tip,2020-2025,17111,Juab County Frontage Road Improvements,,,,Juab,2019,50000,Close Out,Frontage road repair.,TIP20202025_gdb/FeatureServer/0 (lines),https://services1.arcgis.com/taguadKoI1XFwivx/ArcGIS/rest/services/TIP20202025_gdb/FeatureServer/0/query?where=OBJECTID%3D13485&outFields=*&f=json
