member,role,first_seen,last_seen,n_votes
Adam Jacobson,,2020-01-02,2026-06-03,406
Andrea Bradford,,2020-01-02,2025-07-16,393
Andy Powell,,2020-01-02,2026-06-03,217
Brody Rypien,,2020-01-02,2026-06-03,429
Heather Garcia,,2020-01-02,2026-06-03,393
Jackson Ferguson,,2020-01-02,2026-06-03,413
Lorin Palmer,,2020-02-20,2021-11-04,131
Chris Berbert,,2020-03-05,2022-08-04,6
Joy Kaseke,,2020-04-02,2021-05-20,40
Lorin Powell,,2020-08-20,2020-12-03,5
Darryl Fenn,,2021-06-17,2026-06-03,327
Forest Sickles,,2021-06-17,2026-06-03,230
Terrah Anderson,,2023-02-01,2025-04-16,81
Preston Oberg,,2023-03-15,2026-06-03,151
