date,year,title,slug,body,path,source,source_url,notice_url,pmn_body_id,pmn_file_id,retrieved_date,format,extraction_method,recovery_source,wayback_url
2020-01-07,2020,Planning Commission Meeting,planning-commission,PlanningCommission,raw/pc_2020-01-07_minutes.pdf,wayback,http://cityofholladay.com/file/2020/12/010720-PC-Mtg.pdf,,389,,2026-07-14,text,pdftotext-layout,revize-wordpress (cityofholladay.com /file/) via Wayback Machine,https://web.archive.org/web/20210808212833id_/http://cityofholladay.com/file/2020/12/010720-PC-Mtg.pdf
2020-01-21,2020,Planning Commission Meeting,planning-commission,PlanningCommission,raw/pc_2020-01-21_minutes.pdf,wayback,http://cityofholladay.com/file/2020/12/012120-PC-Mtg.pdf,,389,,2026-07-14,text,pdftotext-layout,revize-wordpress (cityofholladay.com /file/) via Wayback Machine,https://web.archive.org/web/20210808212948id_/http://cityofholladay.com/file/2020/12/012120-PC-Mtg.pdf
2020-02-04,2020,Planning Commission Meeting,planning-commission,PlanningCommission,raw/pc_2020-02-04_minutes.pdf,wayback,http://cityofholladay.com/file/2020/12/020420-PC-Mtg.pdf,,389,,2026-07-14,text,pdftotext-layout,revize-wordpress (cityofholladay.com /file/) via Wayback Machine,https://web.archive.org/web/20210808213025id_/http://cityofholladay.com/file/2020/12/020420-PC-Mtg.pdf
2020-02-18,2020,Planning Commission Meeting,planning-commission,PlanningCommission,raw/pc_2020-02-18_minutes.pdf,wayback,http://cityofholladay.com/file/2020/12/021820-PC-Mtg-.pdf,,389,,2026-07-14,text,pdftotext-layout,revize-wordpress (cityofholladay.com /file/) via Wayback Machine,https://web.archive.org/web/20210808214739id_/http://cityofholladay.com/file/2020/12/021820-PC-Mtg-.pdf
2020-03-03,2020,Planning Commission Meeting,planning-commission,PlanningCommission,raw/pc_2020-03-03_minutes.pdf,wayback,http://cityofholladay.com/file/2020/12/030320-PC-Mtg.pdf,,389,,2026-07-14,text,pdftotext-layout,revize-wordpress (cityofholladay.com /file/) via Wayback Machine,https://web.archive.org/web/20210808215745id_/http://cityofholladay.com/file/2020/12/030320-PC-Mtg.pdf
2020-04-21,2020,Planning Commission Meeting,planning-commission,PlanningCommission,raw/pc_2020-04-21_minutes.pdf,wayback,http://cityofholladay.com/file/2020/12/042120-PC-Mtg.pdf,,389,,2026-07-14,text,pdftotext-layout,revize-wordpress (cityofholladay.com /file/) via Wayback Machine,https://web.archive.org/web/20210808221338id_/http://cityofholladay.com/file/2020/12/042120-PC-Mtg.pdf
2020-05-05,2020,Planning Commission Meeting,planning-commission,PlanningCommission,raw/pc_2020-05-05_minutes.pdf,wayback,http://cityofholladay.com/file/2020/12/050520-PC-Mtg.pdf,,389,,2026-07-14,text,pdftotext-layout,revize-wordpress (cityofholladay.com /file/) via Wayback Machine,https://web.archive.org/web/20210808221345id_/http://cityofholladay.com/file/2020/12/050520-PC-Mtg.pdf
2020-05-19,2020,Planning Commission Meeting,planning-commission,PlanningCommission,raw/pc_2020-05-19_minutes.pdf,wayback,http://cityofholladay.com/file/2020/12/051920-PC-Mtg.pdf,,389,,2026-07-14,text,pdftotext-layout,revize-wordpress (cityofholladay.com /file/) via Wayback Machine,https://web.archive.org/web/20210808221356id_/http://cityofholladay.com/file/2020/12/051920-PC-Mtg.pdf
2020-06-02,2020,Planning Commission Meeting,planning-commission,PlanningCommission,raw/pc_2020-06-02_minutes.pdf,wayback,http://cityofholladay.com/file/2020/12/060220-PC-Mtg.pdf,,389,,2026-07-14,text,pdftotext-layout,revize-wordpress (cityofholladay.com /file/) via Wayback Machine,https://web.archive.org/web/20210808221428id_/http://cityofholladay.com/file/2020/12/060220-PC-Mtg.pdf
2020-06-16,2020,Planning Commission Meeting,planning-commission,PlanningCommission,raw/pc_2020-06-16_minutes.pdf,wayback,http://cityofholladay.com/file/2020/12/061620-PC-Mtg.pdf,,389,,2026-07-14,text,pdftotext-layout,revize-wordpress (cityofholladay.com /file/) via Wayback Machine,https://web.archive.org/web/20210808212918id_/http://cityofholladay.com/file/2020/12/061620-PC-Mtg.pdf
2020-07-07,2020,Planning Commission Meeting,planning-commission,PlanningCommission,raw/pc_2020-07-07_minutes.pdf,wayback,http://cityofholladay.com/file/2020/12/070720-PC-Mtg.pdf,,389,,2026-07-14,text,pdftotext-layout,revize-wordpress (cityofholladay.com /file/) via Wayback Machine,https://web.archive.org/web/20210808213010id_/http://cityofholladay.com/file/2020/12/070720-PC-Mtg.pdf
2020-07-21,2020,Planning Commission Meeting,planning-commission,PlanningCommission,raw/pc_2020-07-21_minutes.pdf,wayback,http://cityofholladay.com/file/2020/12/072120-PC-Mtg.pdf,,389,,2026-07-14,text,pdftotext-layout,revize-wordpress (cityofholladay.com /file/) via Wayback Machine,https://web.archive.org/web/20210808213041id_/http://cityofholladay.com/file/2020/12/072120-PC-Mtg.pdf
2020-08-04,2020,Planning Commission Meeting,planning-commission,PlanningCommission,raw/pc_2020-08-04_minutes.pdf,wayback,http://cityofholladay.com/file/2020/12/080420-PC-Mtg.pdf,,389,,2026-07-14,text,pdftotext-layout,revize-wordpress (cityofholladay.com /file/) via Wayback Machine,https://web.archive.org/web/20210808214744id_/http://cityofholladay.com/file/2020/12/080420-PC-Mtg.pdf
2020-08-18,2020,Planning Commission Meeting,planning-commission,PlanningCommission,raw/pc_2020-08-18_minutes.pdf,wayback,http://cityofholladay.com/file/2020/12/081820-PC-Mtg.pdf,,389,,2026-07-14,text,pdftotext-layout,revize-wordpress (cityofholladay.com /file/) via Wayback Machine,https://web.archive.org/web/20210808215747id_/http://cityofholladay.com/file/2020/12/081820-PC-Mtg.pdf
2020-09-01,2020,Planning Commission Meeting,planning-commission,PlanningCommission,raw/pc_2020-09-01_minutes.pdf,wayback,http://cityofholladay.com/file/2020/12/090120-PC-Mtg.pdf,,389,,2026-07-14,text,pdftotext-layout,revize-wordpress (cityofholladay.com /file/) via Wayback Machine,https://web.archive.org/web/20210808215751id_/http://cityofholladay.com/file/2020/12/090120-PC-Mtg.pdf
2020-09-15,2020,Planning Commission Meeting,planning-commission,PlanningCommission,raw/pc_2020-09-15_minutes.pdf,wayback,http://cityofholladay.com/file/2020/12/091520-PC-Mtg.pdf,,389,,2026-07-14,text,pdftotext-layout,revize-wordpress (cityofholladay.com /file/) via Wayback Machine,https://web.archive.org/web/20210808221334id_/http://cityofholladay.com/file/2020/12/091520-PC-Mtg.pdf
2021-01-05,2021,Planning Commission Meeting,planning-commission,PlanningCommission,raw/pc_2021-01-05_minutes.pdf,wayback,http://cityofholladay.com/file/2021/05/010521-PC-Mtg.pdf,,389,,2026-07-14,text,pdftotext-layout,revize-wordpress (cityofholladay.com /file/) via Wayback Machine,https://web.archive.org/web/20211201073534id_/http://cityofholladay.com/file/2021/05/010521-PC-Mtg.pdf
2021-01-19,2021,Planning Commission Meeting,planning-commission,PlanningCommission,raw/pc_2021-01-19_minutes.pdf,wayback,http://cityofholladay.com/file/2021/05/011921-PC-Mtg.pdf,,389,,2026-07-14,text,pdftotext-layout,revize-wordpress (cityofholladay.com /file/) via Wayback Machine,https://web.archive.org/web/20211201114600id_/http://cityofholladay.com/file/2021/05/011921-PC-Mtg.pdf
2021-02-09,2021,Planning Commission Meeting,planning-commission,PlanningCommission,raw/pc_2021-02-09_minutes.pdf,wayback,http://cityofholladay.com/file/2021/05/020921-PC-Mtg.pdf,,389,,2026-07-14,text,pdftotext-layout,revize-wordpress (cityofholladay.com /file/) via Wayback Machine,https://web.archive.org/web/20211201063720id_/http://cityofholladay.com/file/2021/05/020921-PC-Mtg.pdf
