year,election_type,office,district,contest,candidate,votes,pct,rank,is_winner
2007,municipal general,Council,1,Riverton City Council District 1,ROY TINGEY,783,54.64,1,True
2007,municipal general,Council,1,Riverton City Council District 1,SHELDON STEWART,647,45.15,2,False
2007,municipal general,Council,1,Riverton City Council District 1,Write-in,3,0.21,3,False
2007,municipal general,Council,2,Riverton City Council District 2,KARMA BENTSON,1009,97.68,1,True
2007,municipal general,Council,2,Riverton City Council District 2,Write-in,24,2.32,2,False
2007,municipal general,Council,5,Riverton City Council District 5,RANDY BRINKERHOFF,568,50.27,1,True
2007,municipal general,Council,5,Riverton City Council District 5,GALEN K. MILLS,557,49.29,2,False
2007,municipal general,Council,5,Riverton City Council District 5,Write-in,5,0.44,3,False
2007,municipal primary,Council,1,Riverton City Council District 1,ROY TINGEY,131,37.32,1,True
2007,municipal primary,Council,1,Riverton City Council District 1,SHELDON STEWART,128,36.47,2,False
2007,municipal primary,Council,1,Riverton City Council District 1,DERRICK R BROOKS,88,25.07,3,False
2007,municipal primary,Council,1,Riverton City Council District 1,JON BURRIDGE,4,1.14,4,False
2007,municipal primary,Council,5,Riverton City Council District 5,GALEN K. MILLS,109,33.96,1,True
2007,municipal primary,Council,5,Riverton City Council District 5,RANDY BRINKERHOFF,95,29.6,2,False
2007,municipal primary,Council,5,Riverton City Council District 5,BRENT C. RICHARDS,72,22.43,3,False
2007,municipal primary,Council,5,Riverton City Council District 5,JULIE ANNE AHLSTROM,45,14.02,4,False
2009,municipal general,Council,3,Riverton City Council District 3,TRACY C. THAXTON,424,62.26,1,True
2009,municipal general,Council,3,Riverton City Council District 3,MARK C. MILLS,257,37.74,2,False
2009,municipal general,Council,3,Riverton City Council District 3,Write-in,0,0.0,3,False
2009,municipal general,Council,4,Riverton City Council District 4,AL LEAVITT,744,97.51,1,True
2009,municipal general,Council,4,Riverton City Council District 4,Write-in,19,2.49,2,False
2009,municipal general,Mayor,,Riverton City Mayor,BILL APPLEGARTH,3041,80.68,1,True
2009,municipal general,Mayor,,Riverton City Mayor,WILLIAM MARK NEWMAN,717,19.02,2,False
2009,municipal general,Mayor,,Riverton City Mayor,Write-in,11,0.29,3,False
2009,municipal primary,Council,3,Riverton City Council District 3,TRACY C. THAXTON,218,41.52,1,True
2009,municipal primary,Council,3,Riverton City Council District 3,MARK C. MILLS,114,21.71,2,False
2009,municipal primary,Council,3,Riverton City Council District 3,BRANDON DEW,73,13.9,3,False
