year,election_type,office,district,contest,contest_verbatim,n_seats,n_candidates,voting_method,total_votes,total_first_choice_votes,winner,winner_votes,winner_pct,runner_up,runner_up_votes,margin_votes,margin_pct,registered_voters,ballots_cast,turnout_pct,uncontested,suppressed_precincts,note,source_file
2007,municipal general,Council,1,Riverton City Council District 1,RIVERTON CITY COUNCIL 1,1,3,plurality,1433,,ROY TINGEY,783,54.64,SHELDON STEWART,647,136,9.49,4330,,,False,False,,2007-11-06-municipal-general-sovc.xls
2007,municipal general,Council,2,Riverton City Council District 2,RIVERTON CITY COUNCIL 2,1,2,plurality,1033,,KARMA BENTSON,1009,97.68,Write-in,24,985,95.35,3151,,,False,False,,2007-11-06-municipal-general-sovc.xls
2007,municipal general,Council,5,Riverton City Council District 5,RIVERTON CITY COUNCIL 5,1,3,plurality,1130,,RANDY BRINKERHOFF,568,50.27,GALEN K. MILLS,557,11,0.97,2765,,,False,False,,2007-11-06-municipal-general-sovc.xls
2007,municipal primary,Council,1,Riverton City Council District 1,RIVERTON CITY COUNCIL #1,1,4,plurality,351,,ROY TINGEY,131,37.32,SHELDON STEWART,128,3,0.85,4179,,,False,False,,2007-09-11-municipal-primary-sovc.xls
2007,municipal primary,Council,5,Riverton City Council District 5,RIVERTON CITY COUNCIL #5,1,4,plurality,321,,GALEN K. MILLS,109,33.96,RANDY BRINKERHOFF,95,14,4.36,2746,,,False,False,,2007-09-11-municipal-primary-sovc.xls
2009,municipal general,Council,3,Riverton City Council District 3,RIVERTON CITY COUNCIL DIST 3,1,2,plurality,681,,TRACY C. THAXTON,424,62.26,MARK C. MILLS,257,167,24.52,,,,False,False,,2009-11-03-municipal-general-sovc.xls
2009,municipal general,Council,4,Riverton City Council District 4,RIVERTON CITY COUNCIL DIST 4,1,2,plurality,763,,AL LEAVITT,744,97.51,Write-in,19,725,95.02,,,,False,False,,2009-11-03-municipal-general-sovc.xls
2009,municipal general,Mayor,,Riverton City Mayor,RIVERTON CITY MAYOR,1,3,plurality,3769,,BILL APPLEGARTH,3041,80.68,WILLIAM MARK NEWMAN,717,2324,61.66,,,,False,False,,2009-11-03-municipal-general-sovc.xls
2009,municipal primary,Council,3,Riverton City Council District 3,RIVERTON CITY COUNCIL DIST 3,1,5,plurality,525,,TRACY C. THAXTON,218,41.52,MARK C. MILLS,114,104,19.81,,,,False,False,,2009-09-15-municipal-primary-sovc.xls
2009,municipal primary,Mayor,,Riverton City Mayor,RIVERTON CITY MAYOR,1,4,plurality,2503,,BILL APPLEGARTH,2004,80.06,WILLIAM MARK NEWMAN,347,1657,66.2,,,,False,False,,2009-09-15-municipal-primary-sovc.xls
2011,municipal general,Council,1,Riverton City Council District 1,Riverton City Council 1,1,3,plurality,535,,SHELDON B. STEWART,400,74.77,DOUGLAS R. CARLILE,133,267,49.91,2873,,,False,False,,2011-11-08-municipal-general-sovc.xlsx
2011,municipal general,Council,2,Riverton City Council District 2,Riverton City Council 2,1,3,plurality,849,,ROY TINGEY,491,57.83,TERRY L. CLAWSON,352,139,16.37,3921,,,False,False,,2011-11-08-municipal-general-sovc.xlsx
2011,municipal general,Council,5,Riverton City Council District 5,Riverton City Council 5,1,3,plurality,1090,,BRENT JOHNSON,678,62.2,SCOTT SILCOX,406,272,24.95,4095,,,False,False,,2011-11-08-municipal-general-sovc.xlsx
2011,municipal primary,Council,1,Riverton City Council District 1,RIVERTON CITY COUNCIL 1,1,4,plurality,314,,SHELDON B. STEWART,169,53.82,DOUGLAS R. CARLILE,79,90,28.66,2871,,,False,False,,2011-09-13-municipal-primary-sovc.xlsx
2011,municipal primary,Council,5,Riverton City Council District 5,RIVERTON CITY COUNCIL 5,1,6,plurality,774,,SCOTT SILCOX,188,24.29,BRENT JOHNSON,180,8,1.03,4085,,,False,False,,2011-09-13-municipal-primary-sovc.xlsx
2013,municipal general,Council,3,Riverton City Council District 3,RIVERTON CITY COUNCIL DIST 3,1,3,plurality,1127,,PAUL WAYMAN,591,52.44,TRACY C. THAXTON,527,64,5.68,3584,,,False,False,,2013-11-05-municipal-general-sovc.xlsx
2013,municipal general,Council,4,Riverton City Council District 4,RIVERTON CITY COUNCIL DIST 4,1,3,plurality,1674,,TRENT STAGGS,887,52.99,AL LEAVITT,782,105,6.27,4295,,,False,False,,2013-11-05-municipal-general-sovc.xlsx
2013,municipal general,Mayor,,Riverton City Mayor,RIVERTON CITY MAYOR,1,3,plurality,6193,,BILL APPLEGARTH,4940,79.77,Write-in,935,4005,64.67,19027,,,False,False,,2013-11-05-municipal-general-sovc.xlsx
2015,municipal general,Council,1,Riverton City Council District 1,RIVERTON CITY COUNCIL DIST 1,1,1,plurality,660,,SHELDON B. STEWART,660,100.0,,0,660,100.0,2984,,,True,False,,2015-11-03-municipal-general-election-statement-of-votes-cast.zip
