ordinance_no,variant,date,motion_no,body,verb,outcome,is_adoption,motion
336,A,2020-01-07,3,Council,approve,pass,True,"MOTION: Council Member Bracken moved to approve Ordinance 336-A. The motion was seconded by Council Member Mikell. Vote on motion: Council Member Bracken-Aye, C"
337,,2020-01-21,2,Council,adopt,pass,True,"MOTION: Council Member Bruce moved to adopt Ordinance 337. Council Member Bracken seconded the motion. Vote on motion: Council Member Petersen-Aye, Council Memb"
338,,2020-01-21,3,Council,adopt,pass,True,"MOTION: Council Member Bracken moved to adopt Ordinance 338. Council Member Bruce seconded the motion. Vote on motion: Council Member Petersen-Aye, Council Memb"
339,A,2020-02-04,2,Council,adopt,pass,True,MOTION: Council Member Bruce moved to adopt Ordinance 339-A. Council Member Mikell seconded the motion
340,,2020-02-18,2,Council,approve,pass,True,MOTION: Council Member Mikell moved to approve Ordinance 340 granting a Telecommunications Franchise to UTOPIA. The motion was seconded by Council Member Peters
341,,2020-06-16,2,Council,approve,pass,True,"MOTION: Council Member Bracken moved to approve Ordinance 341. Council Member Petersen seconded the motion. Vote on motion: Council Member Bruce-Aye, Council Me"
342,,2020-06-16,3,Council,approve,pass,True,"MOTION: Council Member Bracken moved to approve Ordinance 342. Council Member Petersen seconded the motion. Vote on motion: Council Member Bruce-Nay, Council Me"
343,,2020-07-07,2,Council,approve,pass,True,"MOTION: Council Member Bruce moved to approve Ordinance 343. Council Member Petersen seconded the motion. Vote on motion: Council Member Bruce-Aye, Council Memb"
344,,2020-10-06,2,Council,approve,pass,True,"MOTION: Council Member Mikell moved to approve Ordinance 344. The motion was seconded by Council Member Bruce. Vote on motion: Council Member Petersen-Aye, Coun"
345,,2020-10-06,3,Council,approve,pass,True,"MOTION: Council Member Bruce moved to approve Ordinance 345. The motion was seconded by Council Member Petersen. Vote on motion: Council Member Petersen-Aye, Co"
346,,2020-10-20,5,Council,approve,pass,True,"MOTION: Council Member Mikell moved to approve Ordinance 346. The motion was seconded by Council Member Bruce. Vote on motion: Council Member Petersen-Aye, Coun"
347,,2020-10-20,6,Council,approve,pass,True,"MOTION: Council Member Bracken moved to approve Ordinance 347. The motion was seconded by Council Member Petersen. Vote on motion: Council Member Petersen-Aye, "
348,,2020-11-17,2,Council,approve,pass,True,"MOTION: Council Member Bracken moved to approve Ordinance 348. The motion was seconded by Council Member Petersen. Vote on motion: Council Member Mikell-Aye, Co"
349,,2020-11-17,3,Council,approve,pass,True,"MOTION: Council Member Petersen moved to approve Ordinance 349. The motion was seconded by Council Member Bruce. Vote on motion: Council Member Mikell-Aye, Coun"
350,,2020-12-01,2,Council,approve,pass,True,"MOTION: Council Member Bracken moved to approve Ordinance 350. The motion was seconded by Council Member Bruce. Vote on motion: Council Member Mikell-Aye, Counc"
351,,2020-12-15,3,Council,approve,pass,True,"MOTION: Council Member Bracken moved to approve Ordinance 351. The motion was seconded by Council Member Petersen. Vote on motion: Council Member Mikell-Aye, Co"
352,,2021-01-19,2,Council,approve,pass,True,"MOTION: Council Member Mikell moved to approve Ordinance 352. The motion was seconded by Council Member Petersen. Vote on motion: Council Member Mikell-Aye, Cou"
353,,2021-01-19,3,Council,approve,pass,True,"MOTION: Council Member Bracken moved to approve Ordinance 353. The motion was seconded by Council Member Petersen. Vote on motion: Council Member Mikell-Aye, Co"
354,,2021-01-19,4,Council,approve,pass,True,"MOTION: Council Member Petersen moved to approve Ordinance 354. The motion was seconded by Council Member Mikell. Vote on motion: Council Member Mikell-Aye, Cou"
355,,2021-02-16,3,Council,adopt,pass,True,"MOTION: Council Member Petersen moved to adopt Ordinance 355, Amending Section 19.51.060 Regarding Affordable Housing in the PDD Zone. The motion was seconded b"
356,,2021-06-01,2,Council,approve,pass,True,MOTION: Council Member Mikell moved to APPROVE Ordinance 356 Approving an Amendment to the 2020-2021 Budget. The motion was seconded by Council Member Petersen.
357,D,2021-06-01,3,Council,continue,pass,False,"MOTION: Council Member Bracken moved to CONTINUE Ordinance 357-D until the June 15, 2021, City Council Business Meeting. The motion was seconded by Council Memb"
357,A,2021-06-15,2,Council,approve,pass,True,"MOTION: Council Member Bracken moved to approve Ordinance 357-A. The motion was seconded by Council Member Petersen. Vote on motion: Council Member Mikell-Aye, "
358,,2021-06-15,3,Council,approve,pass,True,"MOTION: Council Member Bracken moved to approve Ordinance 358. The motion was seconded by Council Member Mikell. Vote on motion: Council Member Mikell-Aye, Coun"
