ord_num,key,filename,last_modified,size,url
365,cottonwoodheights/ordinances/documents/1634228400_Ord365 - R-1-6.pdf,1634228400_Ord365 - R-1-6.pdf,2021-10-14T16:20:01.000Z,170204,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/cottonwoodheights/ordinances/documents/1634228400_Ord365%20-%20R-1-6.pdf
368,cottonwoodheights/ordinances/documents/1634228851_Ordinance368 - ADU.pdf,1634228851_Ordinance368 - ADU.pdf,2021-10-14T16:27:32.000Z,452402,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/cottonwoodheights/ordinances/documents/1634228851_Ordinance368%20-%20ADU.pdf
370,cottonwoodheights/ordinances/documents/1635367066_Ord 370 (Amending Chapter 19.89 of the CWH Code of Ordinances Regarding Short-Term Rentals).pdf,1635367066_Ord 370 (Amending Chapter 19.89 of the CWH Code of Ordinances Regarding Short-Term Rentals).pdf,2021-10-27T20:37:48.000Z,864488,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/cottonwoodheights/ordinances/documents/1635367066_Ord%20370%20%28Amending%20Chapter%2019.89%20of%20the%20CWH%20Code%20of%20Ordinances%20Regarding%20Short-Term%20Rentals%29.pdf
355,cottonwoodheights/ordinances/documents/1635368271_Ord 355 (Amending Section 19.51.060 of the CWH Code of Ordinances Regarding Affordable Housing in the PDD Zone).pdf,1635368271_Ord 355 (Amending Section 19.51.060 of the CWH Code of Ordinances Regarding Affordable Housing in the PDD Zone).pdf,2021-10-27T20:57:52.000Z,1715884,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/cottonwoodheights/ordinances/documents/1635368271_Ord%20355%20%28Amending%20Section%2019.51.060%20of%20the%20CWH%20Code%20of%20Ordinances%20Regarding%20Affordable%20Housing%20in%20the%20PDD%20Zone%29.pdf
354,cottonwoodheights/ordinances/documents/1635872299_Ord 354 (Amending Sections 11.22.130 and 11.22.140 of the CWH Code of Ordinances Concerning Guest Permits in Permit Parking Areas).pdf,1635872299_Ord 354 (Amending Sections 11.22.130 and 11.22.140 of the CWH Code of Ordinances Concerning Guest Permits in Permit Parking Areas).pdf,2021-11-02T16:58:22.000Z,227197,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/cottonwoodheights/ordinances/documents/1635872299_Ord%20354%20%28Amending%20Sections%2011.22.130%20and%2011.22.140%20of%20the%20CWH%20Code%20of%20Ordinances%20Concerning%20Guest%20Permits%20in%20Permit%20Parking%20Areas%29.pdf
343,cottonwoodheights/ordinances/documents/1638225769_Ord 343 (Amending the CH Code of Ordinances regarding Trees and Park Strips).pdf,1638225769_Ord 343 (Amending the CH Code of Ordinances regarding Trees and Park Strips).pdf,2021-11-29T22:42:50.000Z,3814764,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/cottonwoodheights/ordinances/documents/1638225769_Ord%20343%20%28Amending%20the%20CH%20Code%20of%20Ordinances%20regarding%20Trees%20and%20Park%20Strips%29.pdf
,cottonwoodheights/ordinances/documents/1640801137_ZTA-20-005 Final Approval.pdf,1640801137_ZTA-20-005 Final Approval.pdf,2021-12-29T18:05:39.000Z,187296,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/cottonwoodheights/ordinances/documents/1640801137_ZTA-20-005%20Final%20Approval.pdf
,cottonwoodheights/ordinances/documents/1640801554_331 (Amending the CH Code of Ordinances Regarding Outdoor Lighting).pdf,1640801554_331 (Amending the CH Code of Ordinances Regarding Outdoor Lighting).pdf,2021-12-29T18:12:35.000Z,1199008,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/cottonwoodheights/ordinances/documents/1640801554_331%20%28Amending%20the%20CH%20Code%20of%20Ordinances%20Regarding%20Outdoor%20Lighting%29.pdf
374,cottonwoodheights/ordinances/documents/1642609649_Ordinance 374.pdf,1642609649_Ordinance 374.pdf,2022-01-19T16:27:31.000Z,385776,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/cottonwoodheights/ordinances/documents/1642609649_Ordinance%20374.pdf
378,cottonwoodheights/ordinances/documents/1649286691_Ordinance No. 378 - Waterwise Landscaping Ordinance.pdf,1649286691_Ordinance No. 378 - Waterwise Landscaping Ordinance.pdf,2022-04-06T23:11:33.000Z,3589830,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/cottonwoodheights/ordinances/documents/1649286691_Ordinance%20No.%20378%20-%20Waterwise%20Landscaping%20Ordinance.pdf
381,cottonwoodheights/ordinances/documents/1650482920_Ordinance 381.pdf,1650482920_Ordinance 381.pdf,2022-04-20T19:28:42.000Z,3549410,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/cottonwoodheights/ordinances/documents/1650482920_Ordinance%20381.pdf
382,cottonwoodheights/ordinances/documents/1650491095_Ordinance 382.pdf,1650491095_Ordinance 382.pdf,2022-04-20T21:44:57.000Z,954731,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/cottonwoodheights/ordinances/documents/1650491095_Ordinance%20382.pdf
375,"cottonwoodheights/ordinances/documents/1664561873_Ord 375 (Amending Section 8.32.050, CWH Code of Ordinances, Concerning Animals in and upon Vehicles).pdf","1664561873_Ord 375 (Amending Section 8.32.050, CWH Code of Ordinances, Concerning Animals in and upon Vehicles).pdf",2022-09-30T18:17:55.000Z,429269,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/cottonwoodheights/ordinances/documents/1664561873_Ord%20375%20%28Amending%20Section%208.32.050%2C%20CWH%20Code%20of%20Ordinances%2C%20Concerning%20Animals%20in%20and%20upon%20Vehicles%29.pdf
395,cottonwoodheights/ordinances/documents/1681414048_Ordinance 395.pdf,1681414048_Ordinance 395.pdf,2023-04-13T19:27:30.000Z,2111135,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/cottonwoodheights/ordinances/documents/1681414048_Ordinance%20395.pdf
390,cottonwoodheights/ordinances/documents/1682607568_Ord 390 Amending Sections .pdf,1682607568_Ord 390 Amending Sections .pdf,2023-04-27T14:59:30.000Z,616459,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/cottonwoodheights/ordinances/documents/1682607568_Ord%20390%20Amending%20Sections%20.pdf
397,"cottonwoodheights/ordinances/documents/1689200917_Ordinance 397 (Amending Titles 5, 11, 12, 14 and 19 of the CWH Code of Ordinances).pdf","1689200917_Ordinance 397 (Amending Titles 5, 11, 12, 14 and 19 of the CWH Code of Ordinances).pdf",2023-07-12T22:28:38.000Z,5482991,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/cottonwoodheights/ordinances/documents/1689200917_Ordinance%20397%20%28Amending%20Titles%205%2C%2011%2C%2012%2C%2014%20and%2019%20of%20the%20CWH%20Code%20of%20Ordinances%29.pdf
402,cottonwoodheights/ordinances/documents/1694545738_Ordinance 402 (Establishing Temporary Land Use Regulations for Outdoor Non-Vegetative Playing Surfaces and Commencing Proceedings to Amed Ordinances).pdf,1694545738_Ordinance 402 (Establishing Temporary Land Use Regulations for Outdoor Non-Vegetative Playing Surfaces and Commencing Proceedings to Amed Ordinances).pdf,2023-09-12T19:08:59.000Z,405835,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/cottonwoodheights/ordinances/documents/1694545738_Ordinance%20402%20%28Establishing%20Temporary%20Land%20Use%20Regulations%20for%20Outdoor%20Non-Vegetative%20Playing%20Surfaces%20and%20Commencing%20Proceedings%20to%20Amed%20Ordinances%29.pdf
403,cottonwoodheights/ordinances/documents/1696948355_Ordinance 403.pdf,1696948355_Ordinance 403.pdf,2023-10-10T14:32:37.000Z,10043309,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/cottonwoodheights/ordinances/documents/1696948355_Ordinance%20403.pdf
407,cottonwoodheights/ordinances/documents/1705947596_Ordinance 407.pdf,1705947596_Ordinance 407.pdf,2024-01-22T18:19:57.000Z,773709,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/cottonwoodheights/ordinances/documents/1705947596_Ordinance%20407.pdf
409,cottonwoodheights/ordinances/documents/1709050886_Ordinance 409.pdf,1709050886_Ordinance 409.pdf,2024-02-27T16:21:28.000Z,704556,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/cottonwoodheights/ordinances/documents/1709050886_Ordinance%20409.pdf
411,cottonwoodheights/ordinances/documents/1709928493_Ordinance 411.pdf,1709928493_Ordinance 411.pdf,2024-03-08T20:08:14.000Z,786017,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/cottonwoodheights/ordinances/documents/1709928493_Ordinance%20411.pdf
