ordinance_no,adoption_date,date,title,source_url,retrieved_date,format,extraction_method,path,land_use,result,matched_motion_date,matched_motion_no,match_confidence,doc_source,variant_adopted,pmn_notice_id,pmn_notice_url,adoption_date_source,n_docs,linkage_note
336,2020-01-07,2020-01-07,"MOTION: Council Member Bracken moved to approve Ordinance 336-A. The motion was seconded by Council Member Mikell. Vote on motion: Council Member Bracken-Aye, Council Member Bruce-Aye, Council Member ",https://www.utah.gov/pmn/files/567223.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (scanned/image PDF),raw/pmn_f567223_Ord336.pdf,no,Passed unanimously,2020-01-07,3,high,pmn,A,579589,https://www.utah.gov/pmn/sitemap/notice/579589.html,motion,1,adopted via approve motion 3 on 2020-01-07; variant 336-A
337,2020-01-21,2020-01-21,"MOTION: Council Member Bruce moved to adopt Ordinance 337. Council Member Bracken seconded the motion. Vote on motion: Council Member Petersen-Aye, Council Member Bracken- Aye, Council Member Bruce-Ay",https://www.utah.gov/pmn/files/567733.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (scanned/image PDF),raw/pmn_f567733_Ord337.pdf,no,Passed unanimously,2020-01-21,2,high,pmn,,582914,https://www.utah.gov/pmn/sitemap/notice/582914.html,motion,1,adopted via adopt motion 2 on 2020-01-21
338,2020-01-21,2020-01-21,"MOTION: Council Member Bracken moved to adopt Ordinance 338. Council Member Bruce seconded the motion. Vote on motion: Council Member Petersen-Aye, Council Member Bracken- Aye, Council Member Bruce-Ay",https://www.utah.gov/pmn/files/567735.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (scanned/image PDF),raw/pmn_f567735_Ord338.pdf,no,Passed unanimously,2020-01-21,3,high,pmn,,582914,https://www.utah.gov/pmn/sitemap/notice/582914.html,motion,1,adopted via adopt motion 3 on 2020-01-21
339,2020-02-04,2020-02-04,MOTION: Council Member Bruce moved to adopt Ordinance 339-A. Council Member Mikell seconded the motion,https://www.utah.gov/pmn/files/572941.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (scanned/image PDF),raw/pmn_f572941_Ord339-A.pdf,yes,Passed (unanimous consent),2020-02-04,2,high,pmn,A,585349,https://www.utah.gov/pmn/sitemap/notice/585349.html,motion,1,adopted via adopt motion 2 on 2020-02-04; variant 339-A
340,2020-02-18,2020-02-18,MOTION: Council Member Mikell moved to approve Ordinance 340 granting a Telecommunications Franchise to UTOPIA. The motion was seconded by Council Member Petersen. Vote on motion: Council Member Peter,https://www.utah.gov/pmn/files/577269.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (scanned/image PDF),raw/pmn_f577269_Ord340.pdf,no,Passed unanimously,2020-02-18,2,high,pmn,,588793,https://www.utah.gov/pmn/sitemap/notice/588793.html,motion,1,adopted via approve motion 2 on 2020-02-18
341,2020-06-16,2020-06-16,"MOTION: Council Member Bracken moved to approve Ordinance 341. Council Member Petersen seconded the motion. Vote on motion: Council Member Bruce-Aye, Council Member Bracken-Aye, Council Member Peterse",https://www.utah.gov/pmn/files/611879.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (scanned/image PDF),raw/pmn_f611879_Ord341.pdf,no,Passed unanimously,2020-06-16,2,high,pmn,,611313,https://www.utah.gov/pmn/sitemap/notice/611313.html,motion,1,adopted via approve motion 2 on 2020-06-16
342,2020-06-16,2020-06-16,"MOTION: Council Member Bracken moved to approve Ordinance 342. Council Member Petersen seconded the motion. Vote on motion: Council Member Bruce-Nay, Council Member Bracken-Aye, Council Member Peterse",https://www.utah.gov/pmn/files/611881.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (scanned/image PDF),raw/pmn_f611881_Ord342.pdf,no,Passed 3-to-1,2020-06-16,3,high,pmn,,611313,https://www.utah.gov/pmn/sitemap/notice/611313.html,motion,1,adopted via approve motion 3 on 2020-06-16
343,2020-07-07,2020-07-07,"MOTION: Council Member Bruce moved to approve Ordinance 343. Council Member Petersen seconded the motion. Vote on motion: Council Member Bruce-Aye, Council Member Mikell- Aye, Council Member Bracken-A",https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/cottonwoodheights/ordinances/documents/1638225769_Ord%20343%20%28Amending%20the%20CH%20Code%20of%20Ordinances%20regarding%20Trees%20and%20Park%20Strips%29.pdf,2026-07-13,text,pdftotext -layout (born-digital),raw/s3_1638225769_Ord343.pdf,no,Passed unanimously,2020-07-07,2,high,s3,,,,motion,1,adopted via approve motion 2 on 2020-07-07
344,2020-10-06,2020-10-06,"MOTION: Council Member Mikell moved to approve Ordinance 344. The motion was seconded by Council Member Bruce. Vote on motion: Council Member Petersen-Aye, Council Member Bruce-Aye, Council Member Mik",https://www.utah.gov/pmn/files/645847.pdf,2026-07-13,text,pdftotext -layout (born-digital),raw/pmn_f645847_Ord344.pdf,no,Passed unanimously,2020-10-06,2,high,pmn,,632361,https://www.utah.gov/pmn/sitemap/notice/632361.html,motion,2,"adopted via approve motion 2 on 2020-10-06; 2 PDFs (pmn,s3)"
345,2020-10-06,2020-10-06,"MOTION: Council Member Bruce moved to approve Ordinance 345. The motion was seconded by Council Member Petersen. Vote on motion: Council Member Petersen-Aye, Council Member Bruce-Aye, Council Member M",https://www.utah.gov/pmn/files/645849.pdf,2026-07-13,text,pdftotext -layout (born-digital),raw/pmn_f645849_Ord345.pdf,yes,Passed unanimously,2020-10-06,3,high,pmn,,632361,https://www.utah.gov/pmn/sitemap/notice/632361.html,motion,1,adopted via approve motion 3 on 2020-10-06
346,2020-10-20,2020-10-20,"MOTION: Council Member Mikell moved to approve Ordinance 346. The motion was seconded by Council Member Bruce. Vote on motion: Council Member Petersen-Aye, Council Member Bruce-Aye, Council Member Mik",https://www.utah.gov/pmn/files/651559.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (scanned/image PDF),raw/pmn_f651559_Ord346.pdf,no,Passed unanimously,2020-10-20,5,high,pmn,,634919,https://www.utah.gov/pmn/sitemap/notice/634919.html,motion,1,adopted via approve motion 5 on 2020-10-20
347,2020-10-20,2020-10-20,"MOTION: Council Member Bracken moved to approve Ordinance 347. The motion was seconded by Council Member Petersen. Vote on motion: Council Member Petersen-Aye, Council Member Bruce-Aye, Council Member",https://www.utah.gov/pmn/files/651561.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (scanned/image PDF),raw/pmn_f651561_Ord347.pdf,no,Passed unanimously,2020-10-20,6,high,pmn,,634919,https://www.utah.gov/pmn/sitemap/notice/634919.html,motion,1,adopted via approve motion 6 on 2020-10-20
348,2020-11-17,2020-11-17,"MOTION: Council Member Bracken moved to approve Ordinance 348. The motion was seconded by Council Member Petersen. Vote on motion: Council Member Mikell-Aye, Council Member Bruce-Aye, Council Member B",https://www.utah.gov/pmn/files/659773.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (scanned/image PDF),raw/pmn_f659773_Ord348.pdf,no,Passed unanimously,2020-11-17,2,high,pmn,,640749,https://www.utah.gov/pmn/sitemap/notice/640749.html,motion,1,adopted via approve motion 2 on 2020-11-17
349,2020-11-17,2020-11-17,"MOTION: Council Member Petersen moved to approve Ordinance 349. The motion was seconded by Council Member Bruce. Vote on motion: Council Member Mikell-Aye, Council Member Bruce-Aye, Council Member Bra",https://www.utah.gov/pmn/files/659775.pdf,2026-07-13,text,pdftotext -layout (born-digital),raw/pmn_f659775_Ord349.pdf,yes,Passed unanimously,2020-11-17,3,high,pmn,,640749,https://www.utah.gov/pmn/sitemap/notice/640749.html,motion,1,adopted via approve motion 3 on 2020-11-17
350,2020-12-01,2020-12-01,"MOTION: Council Member Bracken moved to approve Ordinance 350. The motion was seconded by Council Member Bruce. Vote on motion: Council Member Mikell-Aye, Council Member Bruce-Aye, Council Member Brac",https://www.utah.gov/pmn/files/663867.pdf,2026-07-13,text,pdftotext -layout (born-digital),raw/pmn_f663867_Ord350.pdf,no,Passed unanimously,2020-12-01,2,high,pmn,,642721,https://www.utah.gov/pmn/sitemap/notice/642721.html,motion,1,adopted via approve motion 2 on 2020-12-01
351,2020-12-15,2020-12-15,"MOTION: Council Member Bracken moved to approve Ordinance 351. The motion was seconded by Council Member Petersen. Vote on motion: Council Member Mikell-Aye, Council Member Bruce-Aye, Council Member B",https://www.utah.gov/pmn/files/669715.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (scanned/image PDF),raw/pmn_f669715_Ord351.pdf,no,Passed unanimously,2020-12-15,3,high,pmn,,646111,https://www.utah.gov/pmn/sitemap/notice/646111.html,motion,1,adopted via approve motion 3 on 2020-12-15
352,2021-01-19,2021-01-19,"MOTION: Council Member Mikell moved to approve Ordinance 352. The motion was seconded by Council Member Petersen. Vote on motion: Council Member Mikell-Aye, Council Member Bracken-Aye, Council Member ",https://www.utah.gov/pmn/files/678045.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (scanned/image PDF),raw/pmn_f678045_Ord352.pdf,no,Passed unanimously,2021-01-19,2,high,pmn,,651728,https://www.utah.gov/pmn/sitemap/notice/651728.html,motion,1,adopted via approve motion 2 on 2021-01-19
353,2021-01-19,2021-01-19,"MOTION: Council Member Bracken moved to approve Ordinance 353. The motion was seconded by Council Member Petersen. Vote on motion: Council Member Mikell-Aye, Council Member Bracken-Aye, Council Member",https://www.utah.gov/pmn/files/677549.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (scanned/image PDF),raw/pmn_f677549_Ord353.pdf,no,Passed unanimously,2021-01-19,3,high,pmn,,651728,https://www.utah.gov/pmn/sitemap/notice/651728.html,motion,1,adopted via approve motion 3 on 2021-01-19
